verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ROM.1.1	1	1	Paul, a servant of Jesus Christ, called {to be} an apostle, separated unto the gospel of God,	0.0	neutral	PABLO, siervo de Jesucristo, llamado á ser apóstol, apartado para el evangelio de Dios,
ROM.1.2	1	2	(Which he had promised afore by his prophets in the holy scriptures,)	0.0	neutral	Que él había antes prometido por sus profetas en las santas Escrituras,
ROM.1.3	1	3	Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;	0.0	neutral	Acerca de su Hijo, (que fué hecho de la simiente de David según la carne;
ROM.1.4	1	4	And declared {to be} the Son of God with power, according to the spirit of holiness, by the resurrection from the dead: {declared: Gr. determined}	-0.475	negative	El cual fué declarado Hijo de Dios con potencia, según el espíritu de santidad, por la resurrección de los muertos), de Jesucristo Señor nuestro,
ROM.1.5	1	5	By whom we have received grace and apostleship, for obedience to the faith among all nations, for his name: {for obedience...: or, to the obedience of faith}	-0.75	negative	Por el cual recibimos la gracia y el apostolado, para la obediencia de la fe en todas las naciones en su nombre,
ROM.1.6	1	6	Among whom are ye also the called of Jesus Christ:	0.0	neutral	Entre las cuales sois también vosotros, llamados de Jesucristo:
ROM.1.7	1	7	To all that be in Rome, beloved of God, called {to be} saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.	0.7	positive	A todos los que estáis en Roma, amados de Dios, llamados santos: Gracia y paz tengáis de Dios nuestro Padre, y del Señor Jesucristo.
ROM.1.8	1	8	First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.	0.225	positive	Primeramente, doy gracias á mi Dios por Jesucristo acerca de todos vosotros, de que vuestra fe es predicada en todo el mundo.
ROM.1.9	1	9	For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make mention of you always in my prayers; {with: or, in}	0.0	neutral	Porque testigo me es Dios, al cual sirvo en mi espíritu en el evangelio de su Hijo, que sin cesar me acuerdo de vosotros siempre en mis oraciones,
ROM.1.10	1	10	Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.	0.0	neutral	Rogando, si al fin algún tiempo haya de tener, por la voluntad de Dios, próspero viaje para ir á vosotros.
ROM.1.11	1	11	For I long to see you, that I may impart unto you some spiritual gift, to the end ye may be established;	-0.025	neutral	Porque os deseo ver, para repartir con vosotros algún don espiritual, para confirmaros;
ROM.1.12	1	12	That is, that I may be comforted together with you by the mutual faith both of you and me. {with: or, in}	0.0	neutral	Es á saber, para ser juntamente consolado con vosotros por la común fe vuestra y juntamente mía.
ROM.1.13	1	13	Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles. {among: or, in}	-0.125	negative	Mas no quiero, hermanos, que ingnoréis que muchas veces me he propuesto ir á vosotros (empero hasta ahora he sido estorbado), para tener también entre vosotros algún fruto, como entre los demás Gentiles.
ROM.1.14	1	14	I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.	0.7	positive	A Griegos y á bárbaros, á sabios y á no sabios soy deudor.
ROM.1.15	1	15	So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.	0.2	positive	Así que, cuanto á mí, presto estoy á anunciar el evangelio también á vosotros que estáis en Roma.
ROM.1.16	1	16	For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.	0.125	positive	Porque no me avergüenzo del evangelio: porque es potencia de Dios para salud á todo aquel que cree; al Judío primeramente y también al Griego.
ROM.1.17	1	17	For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.	0.1364	positive	Porque en él la justicia de Dios se descubre de fe en fe; como está escrito: Mas el justo vivirá por la fe.
ROM.1.18	1	18	For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;	0.0	neutral	Porque manifiesta es la ira de Dios del cielo contra toda impiedad é injusticia de los hombres, que detienen la verdad con injusticia:
ROM.1.19	1	19	Because that which may be known of God is manifest in them; for God hath shewed {it} unto them. {in them: or, to them}	0.0	neutral	Porque lo que de Dios se conoce, á ellos es manifiesto; porque Dios se lo manifestó.
ROM.1.20	1	20	For the invisible things of him from the creation of the world are clearly seen, being understood by the things that are made, {even} his eternal power and Godhead; so that they are without excuse: {so...: or, that they may be}	-0.2333	negative	Porque las cosas invisibles de él, su eterna potencia y divinidad, se echan de ver desde la creación del mundo, siendo entendidas por las cosas que son hechas; de modo que son inexcusables:
ROM.1.21	1	21	Because that, when they knew God, they glorified {him} not as God, neither were thankful; but became vain in their imaginations, and their foolish heart was darkened.	0.0	neutral	Porque habiendo conocido á Dios, no le glorificaron como á Dios, ni dieron gracias; antes se desvanecieron en sus discursos, y el necio corazón de ellos fué entenebrecido.
ROM.1.22	1	22	Professing themselves to be wise, they became fools,	0.7	positive	Diciéndose ser sabios, se hicieron fatuos,
ROM.1.23	1	23	And changed the glory of the uncorruptible God into an image made like to corruptible man, and to birds, and fourfooted beasts, and creeping things.	-0.6	negative	Y trocaron la gloria del Dios incorruptible en semejanza de imagen de hombre corruptible, y de aves, y de animales de cuatro pies, y de serpientes.
ROM.1.24	1	24	Wherefore God also gave them up to uncleanness through the lusts of their own hearts, to dishonour their own bodies between themselves:	0.6	positive	Por lo cual también Dios los entregó á inmundicia, en las concupiscencias de sus corazones, de suerte que contaminaron sus cuerpos entre sí mismos:
ROM.1.25	1	25	Who changed the truth of God into a lie, and worshipped and served the creature more than the Creator, who is blessed for ever. Amen. {more: or, rather}	0.5	positive	Los cuales mudaron la verdad de Dios en mentira, honrando y sirviendo á las criaturas antes que al Criador, el cual es bendito por los siglos. Amén.
ROM.1.26	1	26	For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:	0.1	neutral	Por esto Dios los entregó á afectos vergonzosos; pues aun sus mujeres mudaron el natural uso en el uso que es contra naturaleza:
ROM.1.27	1	27	And likewise also the men, leaving the natural use of the woman, burned in their lust one toward another; men with men working that which is unseemly, and receiving in themselves that recompence of their error which was meet.	0.1	neutral	Y del mismo modo también los hombres, dejando el uso natural de las mujeres, se encendieron en sus concupiscencias los unos con los otros, cometiendo cosas nefandas hombres con hombres, y recibiendo en sí mismos la recompensa que convino á su extravío.
ROM.1.28	1	28	And even as they did not like to retain God in {their} knowledge, God gave them over to a reprobate mind, to do those things which are not convenient; {to retain: or, to acknowledge} {a reprobate...: or, a mind void of judgment or, an unapproving mind}	0.0	neutral	Y como á ellos no les pareció tener á Dios en su noticia, Dios los entregó á una mente depravada, para hacer lo que no conviene,
ROM.1.29	1	29	Being filled with all unrighteousness, fornication, wickedness, covetousness, maliciousness; full of envy, murder, debate, deceit, malignity; whisperers,	0.375	positive	Estando atestados de toda iniquidad, de fornicación, de malicia, de avaricia, de maldad; llenos de envidia, de homicidios, de contiendas, de engaños, de malignidades;
ROM.1.30	1	30	Backbiters, haters of God, despiteful, proud, boasters, inventors of evil things, disobedient to parents,	-0.1	neutral	Murmuradores, detractores, aborrecedores de Dios, injuriosos, soberbios, altivos, inventores de males, desobedientes á los padres,
ROM.1.31	1	31	Without understanding, covenantbreakers, without natural affection, implacable, unmerciful: {without natural...: or unsociable}	-0.1833	negative	Necios, desleales, sin afecto natural, implacables, sin misericordia:
