verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
2SA.1.1	1	1	Now it came to pass after the death of Saul, when David was returned from the slaughter of the Amalekites, and David had abode two days in Ziklag;	0.0	neutral	Depois da morte de Saul, Davi retornou de sua vitória sobre os amalequitas. Fazia dois dias que ele estava em Ziclague
2SA.1.2	1	2	It came even to pass on the third day, that, behold, a man came out of the camp from Saul with his clothes rent, and earth upon his head: and {so} it was, when he came to David, that he fell to the earth, and did obeisance.	0.0	neutral	quando, no terceiro dia, chegou um homem que vinha do acampamento de Saul, com as roupas rasgadas e terra na cabeça. Ao aproximar-se de Davi, prostrou-se em terra, em sinal de respeito.
2SA.1.3	1	3	And David said unto him, From whence comest thou? And he said unto him, Out of the camp of Israel am I escaped.	0.0	neutral	"Davi então lhe perguntou: ""De onde você vem? "" Ele respondeu: ""Fugi do acampamento israelita""."
2SA.1.4	1	4	And David said unto him, How went the matter? I pray thee, tell me. And he answered, That the people are fled from the battle, and many of the people also are fallen and dead; and Saul and Jonathan his son are dead also. {How...: Heb. What was, etc}	0.0333	neutral	"Disse Davi: ""Conte-me o que aconteceu? "" E o homem contou: ""O nosso exército fugiu da batalha, e muitos morreram. Saul e Jônatas também estão mortos""."
2SA.1.5	1	5	And David said unto the young man that told him, How knowest thou that Saul and Jonathan his son be dead?	-0.05	neutral	"Então Davi perguntou ao jovem que lhe trouxera as notícias: ""Como você sabe que Saul e Jônatas estão mortos? """
2SA.1.6	1	6	And the young man that told him said, As I happened by chance upon mount Gilboa, behold, Saul leaned upon his spear; and, lo, the chariots and horsemen followed hard after him.	-0.0958	neutral	"O jovem respondeu: ""Cheguei por acaso ao monte Gilboa, e lá estava Saul, apoiado em sua lança. Os carros de guerra e os oficiais da cavalaria estavam a ponto de alcançá-lo."
2SA.1.7	1	7	And when he looked behind him, he saw me, and called unto me. And I answered, Here {am} I. {Here...: Heb. Behold me}	-0.4	negative	"Quando ele se virou e me viu, chamou-me, gritando, e eu disse: 'Estou aqui' ""."
2SA.1.8	1	8	And he said unto me, Who {art} thou? And I answered him, I {am} an Amalekite.	0.0	neutral	"""Ele me perguntou: 'Quem é você? ' "" 'Sou um amalequita', respondi."
2SA.1.9	1	9	He said unto me again, Stand, I pray thee, upon me, and slay me: for anguish is come upon me, because my life {is} yet whole in me. {anguish...: or, my coat of mail (or, my embroidered coat) hindereth me, that my, etc}	0.2	positive	"""Então ele me ordenou: 'Venha aqui e mate-me! Estou na angústia da morte, mas ainda vivo'."
2SA.1.10	1	10	So I stood upon him, and slew him, because I was sure that he could not live after that he was fallen: and I took the crown that {was} upon his head, and the bracelet that {was} on his arm, and have brought them hither unto my lord.	0.2159	positive	"""Por isso aproximei-me dele e o matei, pois sabia que ele não sobreviveria ao ferimento. Peguei a coroa e o bracelete dele e trouxe-os para ti, meu senhor. """
2SA.1.11	1	11	Then David took hold on his clothes, and rent them; and likewise all the men that {were} with him:	0.0	neutral	Então Davi rasgou suas vestes; e os homens que estavam com ele fizeram o mesmo.
2SA.1.12	1	12	And they mourned, and wept, and fasted until even, for Saul, and for Jonathan his son, and for the people of the LORD, and for the house of Israel; because they were fallen by the sword.	0.0	neutral	E lamentaram, chorando e jejuando até o fim da tarde, por Saul e por seu filho Jônatas, pelo exército do Senhor e pelo povo de Israel, porque muitos haviam sido mortos à espada.
2SA.1.13	1	13	And David said unto the young man that told him, Whence {art} thou? And he answered, I {am} the son of a stranger, an Amalekite.	0.1	neutral	"E Davi perguntou ao jovem que lhe trouxera as notícias: ""De onde você é? "" E ele respondeu: ""Sou filho de um estrangeiro, sou amalequita""."
2SA.1.14	1	14	And David said unto him, How wast thou not afraid to stretch forth thine hand to destroy the LORD'S anointed?	0.05	neutral	"Davi lhe perguntou: ""Como você não temeu levantar a mão para matar o ungido do Senhor? """
2SA.1.15	1	15	And David called one of the young men, and said, Go near, {and} fall upon him. And he smote him that he died.	0.1	neutral	"Então Davi chamou um dos seus soldados e disse-lhe: ""Venha aqui e mate-o! "" O servo o feriu, e o homem morreu."
