verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JON.1.1	1	1	Now the word of the LORD came unto Jonah the son of Amittai, saying, {Jonah: Gr. Jonas}	0.0	neutral	Y FUÉ palabra de Jehová á Jonás, hijo de Amittai, diciendo:
JON.1.2	1	2	Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.	0.8	positive	Levántate, y ve á Nínive, ciudad grande, y pregona contra ella; porque su maldad ha subido delante de mí.
JON.1.3	1	3	But Jonah rose up to flee unto Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.	0.0963	neutral	Y Jonás se levantó para huir de la presencia de Jehová á Tarsis, y descendió á Joppe; y halló un navío que partía para Tarsis; y pagando su pasaje entró en él, para irse con ellos á Tarsis de delante de Jehová.
JON.1.4	1	4	But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken. {sent out: Heb. cast forth} {was like...: Heb. thought to be broken}	0.1	neutral	Mas Jehová hizo levantar un gran viento en la mar, é hízose una tan gran tempestad en la mar, que pensóse se rompería la nave.
JON.1.5	1	5	Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that {were} in the ship into the sea, to lighten {it} of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.	-0.1852	negative	Y los marineros tuvieron miedo, y cada uno llamaba á su dios: y echaron á la mar los enseres que había en la nave, para descargarla de ellos. Jonás empero se había bajado á los lados del buque, y se había echado á dormir.
JON.1.6	1	6	So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.	0.0	neutral	Y el maestre de la nave se llegó á él, y le dijo: ¿Qué tienes, dormilón? Levántate, y clamá á tu Dios; quizá él tendrá compasión de nosotros, y no pereceremos.
JON.1.7	1	7	And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil {is} upon us. So they cast lots, and the lot fell upon Jonah.	-1.0	negative	Y dijeron cada uno á su compañero: Venid, y echemos suertes, para saber por quién nos ha venido este mal. Y echaron suertes, y la suerte cayó sobre Jonás.
JON.1.8	1	8	Then said they unto him, Tell us, we pray thee, for whose cause this evil {is} upon us; What {is} thine occupation? and whence comest thou? what {is} thy country? and of what people {art} thou?	-1.0	negative	Entonces le dijeron ellos: Decláranos ahora por qué nos ha venido este mal. ¿Qué oficio tienes, y de dónde vienes? ¿cuál es tu tierra, y de qué pueblo eres?
JON.1.9	1	9	And he said unto them, I {am} an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry {land}. {the LORD: or, JEHOVAH}	-0.0667	neutral	Y él les respondió: Hebreo soy, y temo á Jehová, Dios de los cielos, que hizo la mar y la tierra.
JON.1.10	1	10	Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the LORD, because he had told them. {exceedingly...: Heb. with great fear}	0.1	neutral	Y aquellos hombres temieron sobremanera, y dijéronle: ¿Por qué has hecho esto? Porque ellos entendieron que huía de delante de Jehová, porque se lo había declarado.
JON.1.11	1	11	Then said they unto him, What shall we do unto thee, that the sea may be calm unto us? for the sea wrought, and was tempestuous. {may...: Heb. may be silent from us} {wrought...: or, grew more and more tempestuous: Heb. went}	0.325	positive	Y dijéronle: ¿Qué te haremos, para que la mar se nos quiete? porque la mar iba á más, y se embravecía.
JON.1.12	1	12	And he said unto them, Take me up, and cast me forth into the sea; so shall the sea be calm unto you: for I know that for my sake this great tempest {is} upon you.	0.55	positive	El les respondió: Tomadme, y echadme á la mar, y la mar se os quietará: porque yo sé que por mí ha venido esta grande tempestad sobre vosotros.
JON.1.13	1	13	Nevertheless the men rowed hard to bring {it} to the land; but they could not: for the sea wrought, and was tempestuous against them. {rowed: Heb. digged} {wrought...: or, grew more and more tempestuous: Heb. went}	0.2361	positive	Y aquellos hombres trabajaron por tornar la nave á tierra; mas no pudieron, porque la mar iba á más, y se embravecía sobre ellos.
JON.1.14	1	14	Wherefore they cried unto the LORD, and said, We beseech thee, O LORD, we beseech thee, let us not perish for this man's life, and lay not upon us innocent blood: for thou, O LORD, hast done as it pleased thee.	0.5	positive	Entonces clamaron á Jehová, y dijeron: Rogámoste ahora, Jehová, que no perezcamos nosotros por la vida de aqueste hombre, ni pongas sobre nosotros la sangre inocente: porque tú, Jehová, has hecho como has querido.
JON.1.15	1	15	So they took up Jonah, and cast him forth into the sea: and the sea ceased from her raging. {ceased: Heb. stood}	0.0	neutral	Y tomaron á Jonás, y echáronlo á la mar; y la mar se quietó de su furia.
JON.1.16	1	16	Then the men feared the LORD exceedingly, and offered a sacrifice unto the LORD, and made vows. {offered...: Heb. sacrifice unto the LORD, and vowed vows}	0.0	neutral	Y temieron aquellos hombres á Jehová con gran temor; y ofrecieron sacrificio á Jehová, y prometieron votos.
JON.1.17	1	17	Now the LORD had prepared a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights. {belly: Heb. bowels}	0.8	positive	(2-1) MAS Jehová había prevenido un gran pez que tragase á Jonás: y estuvo Jonás en el vientre del pez tres días y tres noches.
JON.2.1	2	1	Then Jonah prayed unto the LORD his God out of the fish's belly,	0.0	neutral	(2-2) Y oró Jonás desde el vientre del pez á Jehová su Dios.
JON.2.2	2	2	And said, I cried by reason of mine affliction unto the LORD, and he heard me; out of the belly of hell cried I, {and} thou heardest my voice. {by...: or, out of mine affliction} {hell: or, the grave}	0.0	neutral	(2-3) Y dijo: Clamé de mi tribulación á Jehová, Y él me oyó; Del vientre del sepulcro clamé, Y mi voz oiste.
JON.2.3	2	3	For thou hadst cast me into the deep, in the midst of the seas; and the floods compassed me about: all thy billows and thy waves passed over me. {midst: Heb. heart}	0.0	neutral	(2-4) Echásteme en el profundo, en medio de los mares, Y rodeóme la corriente; Todas tus ondas y tus olas pasaron sobre mí.
JON.2.4	2	4	Then I said, I am cast out of thy sight; yet I will look again toward thy holy temple.	0.0	neutral	(2-5) Y yo dije: Echado soy de delante de tus ojos: Mas aun veré tu santo templo.
JON.2.5	2	5	The waters compassed me about, {even} to the soul: the depth closed me round about, the weeds were wrapped about my head.	-0.15	negative	(2-6) Las aguas me rodearon hasta el alma, Rodeóme el abismo; La ova se enredó á mi cabeza.
JON.2.6	2	6	I went down to the bottoms of the mountains; the earth with her bars {was} about me for ever: yet hast thou brought up my life from corruption, O LORD my God. {bottoms: Heb. cuttings off} {corruption: or, the pit}	-0.1556	negative	(2-7) Descendí á las raíces de los montes; La tierra echó sus cerraduras sobre mí para siempre: Mas tú sacaste mi vida de la sepultura, oh Jehová Dios mío.
JON.2.7	2	7	When my soul fainted within me I remembered the LORD: and my prayer came in unto thee, into thine holy temple.	0.0	neutral	(2-8) Cuando mi alma desfallecía en mí, acordéme de Jehová; Y mi oración entró hasta ti en tu santo templo.
JON.2.8	2	8	They that observe lying vanities forsake their own mercy.	0.6	positive	(2-9) Los que guardan las vanidades ilusorias, Su misericordia abandonan.
JON.2.9	2	9	But I will sacrifice unto thee with the voice of thanksgiving; I will pay {that} that I have vowed. Salvation {is} of the LORD.	0.0	neutral	(2-10) Yo empero con voz de alabanza te sacrificaré; Pagaré lo que prometí. La salvación pertenece á Jehová.
JON.2.10	2	10	And the LORD spake unto the fish, and it vomited out Jonah upon the dry {land}.	-0.0667	neutral	(2-11) Y mandó Jehová al pez, y vomitó á Jonás en tierra.
JON.3.1	3	1	And the word of the LORD came unto Jonah the second time, saying,	0.0	neutral	Y FUÉ palabra de Jehová segunda vez á Jonás, diciendo:
JON.3.2	3	2	Arise, go unto Nineveh, that great city, and preach unto it the preaching that I bid thee.	0.8	positive	Levántate, y ve á Nínive, aquella gran ciudad, y publica en ella el pregón que yo te diré.
JON.3.3	3	3	So Jonah arose, and went unto Nineveh, according to the word of the LORD. Now Nineveh was an exceeding great city of three days' journey. {exceeding: Heb. of God}	0.8	positive	Y levantóse Jonás, y fué á Nínive, conforme á la palabra de Jehová. Y era Nínive ciudad sobremanera grande, de tres días de camino.
JON.3.4	3	4	And Jonah began to enter into the city a day's journey, and he cried, and said, Yet forty days, and Nineveh shall be overthrown.	0.0	neutral	Y comenzó Jonás á entrar por la ciudad, camino de un día, y pregonaba diciendo: De aquí á cuarenta días Nínive será destruida.
JON.3.5	3	5	So the people of Nineveh believed God, and proclaimed a fast, and put on sackcloth, from the greatest of them even to the least of them.	0.3	positive	Y los hombres de Nínive creyeron á Dios, y pregonaron ayuno, y vistiéronse de sacos desde el mayor de ellos hasta el menor de ellos.
JON.3.6	3	6	For word came unto the king of Nineveh, and he arose from his throne, and he laid his robe from him, and covered {him} with sackcloth, and sat in ashes.	0.0	neutral	Y llegó el negocio hasta el rey de Nínive, y levantóse de su silla, y echó de sí su vestido, y cubrióse de saco, y se sentó sobre ceniza.
JON.3.7	3	7	And he caused {it} to be proclaimed and published through Nineveh by the decree of the king and his nobles, saying, Let neither man nor beast, herd nor flock, taste any thing: let them not feed, nor drink water: {published: Heb. said} {nobles: Heb. great men}	0.025	neutral	E hizo pregonar y anunciar en Nínive, por mandado del rey y de sus grandes, diciendo: Hombres y animales, bueyes y ovejas, no gusten cosa alguna, no se les dé alimento, ni beban agua:
JON.3.8	3	8	But let man and beast be covered with sackcloth, and cry mightily unto God: yea, let them turn every one from his evil way, and from the violence that {is} in their hands.	-0.3	negative	Y que se cubran de saco los hombres y los animales, y clamen á Dios fuertemente: y conviértase cada uno de su mal camino, de la rapiña que está en sus manos.
JON.3.9	3	9	Who can tell {if} God will turn and repent, and turn away from his fierce anger, that we perish not?	-0.7	negative	¿Quién sabe si se volverá y arrepentirá Dios, y se apartará del furor de su ira, y no pereceremos?
JON.3.10	3	10	And God saw their works, that they turned from their evil way; and God repented of the evil, that he had said that he would do unto them; and he did {it} not.	-1.0	negative	Y vió Dios lo que hicieron, que se convirtieron de su mal camino: y arrepintióse del mal que había dicho les había de hacer, y no lo hizo.
JON.4.1	4	1	But it displeased Jonah exceedingly, and he was very angry.	-0.65	negative	PERO Jonás se apesadumbró en extremo, y enojóse.
JON.4.2	4	2	And he prayed unto the LORD, and said, I pray thee, O LORD, {was} not this my saying, when I was yet in my country? Therefore I fled before unto Tarshish: for I knew that thou {art} a gracious God, and merciful, slow to anger, and of great kindness, and repentest thee of the evil.	-0.3	negative	Y oró á Jehová, y dijo: Ahora, oh Jehová, ¿no es esto lo que yo decía estando aún en mi tierra? Por eso me precaví huyendo á Tarsis; porque sabía yo que tú eres Dios clemente y piadoso, tardo á enojarte, y de grande misericordia, y que te arrepientes del mal.
JON.4.3	4	3	Therefore now, O LORD, take, I beseech thee, my life from me; for {it is} better for me to die than to live.	0.3182	positive	Ahora pues, oh Jehová, ruégote que me mates; porque mejor me es la muerte que la vida.
JON.4.4	4	4	Then said the LORD, Doest thou well to be angry? {Doest...: or, Art thou greatly angry?}	-0.5	negative	Y Jehová le dijo: ¿Haces tú bien en enojarte tanto?
JON.4.5	4	5	So Jonah went out of the city, and sat on the east side of the city, and there made him a booth, and sat under it in the shadow, till he might see what would become of the city.	0.0	neutral	Y salióse Jonás de la ciudad, y asentó hacia el oriente de la ciudad, é hízose allí una choza, y se sentó debajo de ella á la sombra, hasta ver qué sería de la ciudad.
