verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
RUT.1.1	1	1	Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Bethlehemjudah went to sojourn in the country of Moab, he, and his wife, and his two sons. {ruled: Heb. judged}	0.2143	positive	Y ACONTECIO en los días que gobernaban los jueces, que hubo hambre en la tierra. Y un varón de Beth-lehem de Judá, fué á peregrinar en los campos de Moab, él y su mujer, y dos hijos suyos.
RUT.1.2	1	2	And the name of the man {was} Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Bethlehemjudah. And they came into the country of Moab, and continued there. {continued: Heb. were}	0.0	neutral	El nombre de aquel varón era Elimelech, y el de su mujer Noemi; y los nombres de sus dos hijos eran, Mahalón y Chelión, Ephrateos de Beth-lehem de Judá. Llegaron pues á los campos de Moab, y asentaron allí.
RUT.1.3	1	3	And Elimelech Naomi's husband died; and she was left, and her two sons.	0.0	neutral	Y murió Elimelech, marido de Noemi, y quedó ella con sus dos hijos;
RUT.1.4	1	4	And they took them wives of the women of Moab; the name of the one {was} Orpah, and the name of the other Ruth: and they dwelled there about ten years.	-0.0625	neutral	Los cuales tomaron para sí mujeres de Moab, el nombre de la una Orpha, y el nombre de la otra Ruth; y habitaron allí unos diez años.
RUT.1.5	1	5	And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.	0.0	neutral	Y murieron también los dos, Mahalón y Chelión, quedando así la mujer desamparada de sus dos hijos y de su marido.
RUT.1.6	1	6	Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the LORD had visited his people in giving them bread.	0.0	neutral	Entonces se levantó con sus nueras, y volvióse de los campos de Moab: porque oyó en el campo de Moab que Jehová había visitado á su pueblo para darles pan.
RUT.1.7	1	7	Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.	0.0	neutral	Salió pues del lugar donde había estado, y con ella sus dos nueras, y comenzaron á caminar para volverse á la tierra de Judá.
RUT.1.8	1	8	And Naomi said unto her two daughters in law, Go, return each to her mother's house: the LORD deal kindly with you, as ye have dealt with the dead, and with me.	0.2	positive	Y Noemi dijo á sus dos nueras: Andad, volveos cada una á la casa de su madre: Jehová haga con vosotras misericordia, como la habéis hecho con los muertos y conmigo.
RUT.1.9	1	9	The LORD grant you that ye may find rest, each {of you} in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.	0.0	neutral	Déos Jehová que halléis descanso, cada una en casa de su marido: besólas luego, y ellas lloraron á voz en grito.
RUT.1.10	1	10	And they said unto her, Surely we will return with thee unto thy people.	0.5	positive	Y dijéronle: Ciertamente nosotras volveremos contigo á tu pueblo.
RUT.1.11	1	11	And Naomi said, Turn again, my daughters: why will ye go with me? {are} there yet {any more} sons in my womb, that they may be your husbands?	0.5	positive	Y Noemi respondió: Volveos, hijas mías: ¿para qué habéis de ir conmigo? ¿tengo yo más hijos en el vientre, que puedan ser vuestros maridos?
