verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
GAL.1.1	1	1	Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)	0.025	neutral	PABLO, apóstol, (no de los hombres ni por hombre, mas por Jesucristo y por Dios el Padre, que lo resucitó de los muertos),
GAL.1.2	1	2	And all the brethren which are with me, unto the churches of Galatia:	0.0	neutral	Y todos los hermanos que están conmigo, á las iglesias de Galacia:
GAL.1.3	1	3	Grace {be} to you and peace from God the Father, and {from} our Lord Jesus Christ,	0.0	neutral	Gracia sea á vosotros, y paz de Dios el Padre, y de nuestro Señor Jesucristo,
GAL.1.4	1	4	Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:	-0.5	negative	El cual se dió á sí mismo por nuestros pecados para librarnos de este presente siglo malo, conforme á la voluntad de Dios y Padre nuestro;
GAL.1.5	1	5	To whom {be} glory for ever and ever. Amen.	0.0	neutral	Al cual sea la gloria por siglos de siglos. Amén.
GAL.1.6	1	6	I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:	0.0	neutral	Estoy maravillado de que tan pronto os hayáis traspasado del que os llamó á la gracia de Cristo, á otro evangelio:
GAL.1.7	1	7	Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.	-0.2	negative	No que hay otro, sino que hay algunos que os inquietan, y quieren pervertir el evangelio de Cristo.
GAL.1.8	1	8	But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.	-0.125	negative	Mas aun si nosotros ó un ángel del cielo os anunciare otro evangelio del que os hemos anunciado, sea anatema.
GAL.1.9	1	9	As we said before, so say I now again, If any {man} preach any other gospel unto you than that ye have received, let him be accursed.	-0.125	negative	Como antes hemos dicho, también ahora decimos otra vez: Si alguno os anunciare otro evangelio del que habéis recibido, sea anatema.
GAL.1.10	1	10	For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.	0.5	positive	Porque, ¿persuado yo ahora á hombres ó á Dios? ¿ó busco de agradar á hombres? Cierto, que si todavía agradara á los hombres, no sería siervo de Cristo.
GAL.1.11	1	11	But I certify you, brethren, that the gospel which was preached of me is not after man.	0.0	neutral	Mas os hago saber, hermanos, que el evangelio que ha sido anunciado por mí, no es según hombre;
GAL.1.12	1	12	For I neither received it of man, neither was I taught {it}, but by the revelation of Jesus Christ.	0.0	neutral	Pues ni yo lo recibí, ni lo aprendí de hombre, sino por revelación de Jesucristo.
GAL.1.13	1	13	For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:	-0.225	negative	Porque ya habéis oído acerca de mi conducta otro tiempo en el Judaismo, que perseguía sobremanera la iglesia de Dios, y la destruía;
GAL.1.14	1	14	And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers. {equals: Gr. equals in years}	0.4	positive	Y aprovechaba en el Judaismo sobre muchos de mis iguales en mi nación, siendo muy más celador que todos de las tradiciones de mis padres.
