verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
SNG.1.1	1	1	The song of songs, which {is} Solomon's.	0.0	neutral	CANCION de canciones, la cual es de Salomón.
SNG.1.2	1	2	Let him kiss me with the kisses of his mouth: for thy love {is} better than wine. {thy...: Heb. thy loves}	0.5	positive	¡Oh si él me besara con ósculos de su boca! Porque mejores son tus amores que el vino.
SNG.1.3	1	3	Because of the savour of thy good ointments thy name {is as} ointment poured forth, therefore do the virgins love thee.	0.6	positive	Por el olor de tus suaves unguüentos, (Ungüento derramado es tu nombre,) Por eso las doncellas te amaron.
SNG.1.4	1	4	Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee. {the upright...: or, they love thee uprightly}	0.5	positive	Llévame en pos de ti, correremos. Metióme el rey en sus cámaras: Nos gozaremos y alegraremos en ti; Acordarémonos de tus amores más que del vino: Los rectos te aman.
SNG.1.5	1	5	I {am} black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.	-0.1667	negative	Morena soy, oh hijas de Jerusalem, Mas codiciable; Como las cabañas de Cedar, Como las tiendas de Salomón.
SNG.1.6	1	6	Look not upon me, because I {am} black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; {but} mine own vineyard have I not kept.	-0.0222	neutral	No miréis en que soy morena, Porque el sol me miró. Los hijos de mi madre se airaron contra mí, Hiciéronme guarda de viñas; Y mi viña, que era mía, no guardé.
SNG.1.7	1	7	Tell me, O thou whom my soul loveth, where thou feedest, where thou makest {thy flock} to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions? {as one...: or, as one that is veiled}	0.0	neutral	Hazme saber, ó tú á quien ama mi alma, Dónde repastas, dónde haces tener majada al medio día: Porque, ¿por qué había yo de estar como vagueando Tras los rebaños de tus compañeros?
SNG.1.8	1	8	If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents.	0.0	neutral	Si tú no lo sabes, oh hermosa entre las mujeres, Sal, yéndote por las huellas del rebaño, Y apacienta tus cabritas junto á las cabañas de los pastores.
SNG.1.9	1	9	I have compared thee, O my love, to a company of horses in Pharaoh's chariots.	0.5	positive	A yegua de los carros de Faraón Te he comparado, amiga mía.
SNG.1.10	1	10	Thy cheeks are comely with rows {of jewels}, thy neck with chains {of gold}.	0.0	neutral	Hermosas son tus mejillas entre los pendientes, Tu cuello entre los collares.
SNG.1.11	1	11	We will make thee borders of gold with studs of silver.	0.0	neutral	Zarcillos de oro te haremos, Con clavos de plata.
SNG.1.12	1	12	While the king {sitteth} at his table, my spikenard sendeth forth the smell thereof.	0.0	neutral	Mientras que el rey estaba en su reclinatorio, Mi nardo dió su olor.
SNG.1.13	1	13	A bundle of myrrh {is} my wellbeloved unto me; he shall lie all night betwixt my breasts.	0.0	neutral	Mi amado es para mí un manojito de mirra, Que reposa entre mis pechos.
SNG.1.14	1	14	My beloved {is} unto me {as} a cluster of camphire in the vineyards of Engedi. {camphire: or, cypress}	0.7	positive	Racimo de copher en las viñas de Engadi Es para mí mi amado.
SNG.1.15	1	15	Behold, thou {art} fair, my love; behold, thou {art} fair; thou {hast} doves' eyes. {my love: or, my companion}	0.6	positive	He aquí que tú eres hermosa, amiga mía; He aquí que eres bella: tus ojos de paloma.
SNG.1.16	1	16	Behold, thou {art} fair, my beloved, yea, pleasant: also our bed {is} green.	0.4833	positive	He aquí que tú eres hermoso, amado mío, y suave: Nuestro lecho también florido.
SNG.1.17	1	17	The beams of our house {are} cedar, {and} our rafters of fir. {rafters: or, galleries}	0.0	neutral	Las vigas de nuestra casa son de cedro, Y de ciprés los artesonados.
SNG.2.1	2	1	I {am} the rose of Sharon, {and} the lily of the valleys.	0.6	positive	YO soy la rosa de Sarón, Y el lirio de los valles.
SNG.2.2	2	2	As the lily among thorns, so {is} my love among the daughters.	0.5	positive	Como el lirio entre las espinas, Así es mi amiga entre las doncellas.
SNG.2.3	2	3	As the apple tree among the trees of the wood, so {is} my beloved among the sons. I sat down under his shadow with great delight, and his fruit {was} sweet to my taste. {I sat...: Heb. I delighted and sat down, etc} {taste: Heb. palate}	0.3731	positive	Como el manzano entre los árboles silvestres, Así es mi amado entre los mancebos: Bajo la sombra del deseado me senté, Y su fruto fué dulce en mi paladar.
SNG.2.4	2	4	He brought me to the banqueting house, and his banner over me {was} love. {banqueting...: Heb. house of wine}	0.5	positive	Llevóme á la cámara del vino, Y su bandera sobre mí fué amor.
SNG.2.5	2	5	Stay me with flagons, comfort me with apples: for I {am} sick of love. {comfort...: Heb. straw me with apples}	-0.1071	negative	Sustentadme con frascos, corroboradme con manzanas; Porque estoy enferma de amor.
SNG.2.6	2	6	His left hand {is} under my head, and his right hand doth embrace me.	0.1429	positive	Su izquierda esté debajo de mi cabeza, Y su derecha me abrace.
SNG.2.7	2	7	I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake {my} love, till he please. {I charge...: Heb. I adjure you}	0.5	positive	Yo os conjuro, oh doncellas de Jerusalem, Por las gamas y por las ciervas del campo, Que no despertéis ni hagáis velar al amor Hasta que quiera.
SNG.2.8	2	8	The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills.	0.875	positive	¡La voz de mi amado! He aquí él viene Saltando sobre los montes, brincando sobre los collados.
SNG.2.9	2	9	My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice. {shewing...: Heb. flourishing}	0.1333	positive	Mi amado es semejante al gamo, ó al cabrito de los ciervos. Helo aquí, está tras nuestra pared, Mirando por las ventanas, Mostrándose por las rejas.
SNG.2.10	2	10	My beloved spake, and said unto me, Rise up, my love, my fair one, and come away.	0.6333	positive	Mi amado habló, y me dijo: Levántate, oh amiga mía, hermosa mía, y vente.
SNG.2.11	2	11	For, lo, the winter is past, the rain is over {and} gone;	-0.25	negative	Porque he aquí ha pasado el invierno, Hase mudado, la lluvia se fué;
SNG.2.12	2	12	The flowers appear on the earth; the time of the singing {of birds} is come, and the voice of the turtle is heard in our land;	0.0	neutral	Hanse mostrado las flores en la tierra, El tiempo de la canción es venido, Y en nuestro país se ha oído la voz de la tórtola;
SNG.2.13	2	13	The fig tree putteth forth her green figs, and the vines {with} the tender grape give a {good} smell. Arise, my love, my fair one, and come away.	0.425	positive	La higuera ha echado sus higos, Y las vides en cierne Dieron olor: Levántate, oh amiga mía, hermosa mía, y vente.
SNG.2.14	2	14	O my dove, {that art} in the clefts of the rock, in the secret {places} of the stairs, let me see thy countenance, let me hear thy voice; for sweet {is} thy voice, and thy countenance {is} comely.	-0.025	neutral	Paloma mía, que estás en los agujeros de la peña, en lo escondido de escarpados parajes, Muéstrame tu rostro, hazme oir tu voz; Porque dulce es la voz tuya, y hermoso tu aspecto.
SNG.2.15	2	15	Take us the foxes, the little foxes, that spoil the vines: for our vines {have} tender grapes.	-0.1875	negative	Cazadnos las zorra, las zorras pequeñas, que echan á perder las viñas; Pues que nuestras viñas están en cierne.
SNG.2.16	2	16	My beloved {is} mine, and I {am} his: he feedeth among the lilies.	0.7	positive	Mi amado es mío, y yo suya; El apacienta entre lirios.
SNG.2.17	2	17	Until the day break, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether. {of Bether: or, of division}	0.4	positive	Hasta que apunte el día, y huyan las sombras, Tórnate, amado mío; sé semejante al gamo, ó al cabrito de los ciervos, Sobre los montes de Bether.
SNG.3.1	3	1	By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.	0.0	neutral	POR las noches busqué en mi lecho al que ama mi alma: Busquélo, y no lo hallé.
