verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
HAB.1.1	1	1	The burden which Habakkuk the prophet did see.	0.0	neutral	LA carga que vió Habacuc profeta.
HAB.1.2	1	2	O LORD, how long shall I cry, and thou wilt not hear! {even} cry out unto thee {of} violence, and thou wilt not save!	-0.0781	neutral	¿Hasta cuándo, oh Jehová, clamaré, y no oirás; y daré voces á ti á causa de la violencia, y no salvarás?
HAB.1.3	1	3	Why dost thou shew me iniquity, and cause {me} to behold grievance? for spoiling and violence {are} before me: and there are {that} raise up strife and contention.	0.0	neutral	¿Por qué me haces ver iniquidad, y haces que mire molestia, y saco y violencia delante de mí, habiendo además quien levante pleito y contienda?
HAB.1.4	1	4	Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth. {wrong: or, wrested}	-0.5	negative	Por lo cual la ley es debilitada, y el juicio no sale verdadero: por cuanto el impío asedia al justo, por eso sale torcido el juicio.
HAB.1.5	1	5	Behold ye among the heathen, and regard, and wonder marvellously: for {I} will work a work in your days, {which} ye will not believe, though it be told {you}.	0.0	neutral	Mirad en las gentes, y ved, y maravillaos pasmosamente; porque obra será hecha en vuestros días, que aun cuando se os contare, no la creeréis.
HAB.1.6	1	6	For, lo, I raise up the Chaldeans, {that} bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces {that are} not theirs. {breadth: Heb. breadths}	-0.1	neutral	Porque he aquí, yo levanto los Caldeos, gente amarga y presurosa, que camina por la anchura de la tierra para poseer las habitaciones ajenas.
HAB.1.7	1	7	They {are} terrible and dreadful: their judgment and their dignity shall proceed of themselves. {their judgment...: or, from them shall proceed the judgment of these, and the captivity of these}	-1.0	negative	Espantosa es y terrible: de ella misma saldrá su derecho y su grandeza.
HAB.1.8	1	8	Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle {that} hasteth to eat. {fierce: Heb. sharp}	0.3187	positive	Y serán sus caballos más ligeros que tigres, y más agudos que lobos de tarde; y sus jinetes se multiplicarán: vendrán de lejos sus caballeros, y volarán como águilas que se apresuran á la comida.
HAB.1.9	1	9	They shall come all for violence: their faces shall sup up {as} the east wind, and they shall gather the captivity as the sand. {their...: or, the supping up of their faces, etc: or, their faces shall look (Heb. the opposition of their faces) toward the east}	0.0	neutral	Toda ella vendrá á la presa: delante su sus caras viento solano; y juntará cautivos como arena.
HAB.1.10	1	10	And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.	0.4333	positive	Y escarnecerá de los reyes, y de los príncipes hará burla: reiráse de toda fortaleza, y amontonará polvo, y la tomará.
