verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JDG.9.56	9	56	Thus God rendered the wickedness of Abimelech, which he did unto his father, in slaying his seventy brethren:	0.0	neutral	Así pues pagó Dios á Abimelech el mal que hizo contra su padre matando á sus setenta hermanos.
JDG.9.57	9	57	And all the evil of the men of Shechem did God render upon their heads: and upon them came the curse of Jotham the son of Jerubbaal.	-1.0	negative	Y aun todo el mal de los hombres de Sichêm tornó Dios sobre sus cabezas: y la maldición de Jotham, hijo de Jerobaal, vino sobre ellos.
JDG.10.1	10	1	And after Abimelech there arose to defend Israel Tola the son of Puah, the son of Dodo, a man of Issachar; and he dwelt in Shamir in mount Ephraim. {defend: or, deliver: Heb. save}	0.0	neutral	Y DESPUÉS de Abimelech levantóse para librar á Israel, Tola hijo de Púa, hijo de Dodo, varón de Issachâr, el cual habitaba en Samir, en el monte de Ephraim.
JDG.10.2	10	2	And he judged Israel twenty and three years, and died, and was buried in Shamir.	0.0	neutral	Y juzgó á Israel veintitrés años, y murió, y fué sepultado en Samir.
JDG.10.3	10	3	And after him arose Jair, a Gileadite, and judged Israel twenty and two years.	0.0	neutral	Tras él se levantó Jair, Galaadita, el cual juzgó á Israel veintidós años.
JDG.10.4	10	4	And he had thirty sons that rode on thirty ass colts, and they had thirty cities, which are called Havothjair unto this day, which {are} in the land of Gilead. {Havothjair: or, the villages of Jair}	0.0	neutral	Este tuvo treinta hijos que cabalgaban sobre treinta asnos, y tenían treinta villas, que se llamaron las villas de Jair hasta hoy, las cuales están en la tierra de Galaad.
JDG.10.5	10	5	And Jair died, and was buried in Camon.	0.0	neutral	Y murió Jair, y fué sepultado en Camón.
JDG.10.6	10	6	And the children of Israel did evil again in the sight of the LORD, and served Baalim, and Ashtaroth, and the gods of Syria, and the gods of Zidon, and the gods of Moab, and the gods of the children of Ammon, and the gods of the Philistines, and forsook the LORD, and served not him.	-1.0	negative	Mas los hijos de Israel tornaron á hacer lo malo en los ojos de Jehová, y sirvieron á los Baales y á Astaroth, y á los dioses de Siria, y á los dioses de Sidón, y á los dioses de Moab, y á los dioses de los hijos de Ammón, y á los dioses de los Filisteos: y dejaron á Jehová, y no le sirvieron.
JDG.10.7	10	7	And the anger of the LORD was hot against Israel, and he sold them into the hands of the Philistines, and into the hands of the children of Ammon.	-0.225	negative	Y Jehová se airó contra Israel, y vendiólos en mano de los Filisteos, y en mano de los hijos de Ammón:
JDG.10.8	10	8	And that year they vexed and oppressed the children of Israel: eighteen years, all the children of Israel that {were} on the other side Jordan in the land of the Amorites, which {is} in Gilead. {oppressed: Heb. crushed}	-0.1125	negative	Los cuales molieron y quebrantaron á los hijos de Israel en aquel tiempo dieciocho años, á todos los hijos de Israel que estaban de la otra parte del Jordán en la tierra del Amorrheo, que es en Galaad.
