verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
NEH.11.9	11	9	And Joel the son of Zichri {was} their overseer: and Judah the son of Senuah {was} second over the city.	0.0	neutral	Y Joel hijo de Zichri, era prefecto de ellos, y Jehudas hijo de Senua, el segundo de la ciudad.
NEH.11.10	11	10	Of the priests: Jedaiah the son of Joiarib, Jachin.	0.0	neutral	De los sacerdotes: Jedaías hijo de Joiarib, Jachîn,
NEH.11.11	11	11	Seraiah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, {was} the ruler of the house of God.	0.0	neutral	Seraías hijo de Hilcías, hijo de Mesullam, hijo de Sadoc, hijo de Meraioth, hijo de Ahitub, príncipe de la casa de Dios,
NEH.11.12	11	12	And their brethren that did the work of the house {were} eight hundred twenty and two: and Adaiah the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashur, the son of Malchiah,	0.0	neutral	Y sus hermanos los que hacían la obra de la casa, ochocientos veintidós: y Adaías hijo de Jeroham, hijo de Pelalías, hijo de Amsi, hijo de Zacarías, hijo de Pashur, hijo de Malachías,
NEH.11.13	11	13	And his brethren, chief of the fathers, two hundred forty and two: and Amashai the son of Azareel, the son of Ahasai, the son of Meshillemoth, the son of Immer,	0.0	neutral	Y sus hermanos, príncipes de familias, doscientos cuarenta y dos: y Amasai hijo de Azarael, hijo de Azai, hijo de Mesillemoth, hijo de Immer,
NEH.11.14	11	14	And their brethren, mighty men of valour, an hundred twenty and eight: and their overseer {was} Zabdiel, the son of {one of} the great men. {the son...: or, the son of Haggedolim}	0.6	positive	Y sus hermanos, hombres de grande vigor, ciento veintiocho: jefe de los cuales era Zabdiel, hijo de Gedolim.
NEH.11.15	11	15	Also of the Levites: Shemaiah the son of Hashub, the son of Azrikam, the son of Hashabiah, the son of Bunni;	0.0	neutral	Y de los Levitas: Semaías hijo de Hassub, hijo de Azricam, hijo de Hasabías, hijo de Buni;
NEH.11.16	11	16	And Shabbethai and Jozabad, of the chief of the Levites, {had} the oversight of the outward business of the house of God. {had...: Heb. were over}	0.0	neutral	Y Sabethai y Jozabad, de los principales de los Levitas, sobrestantes de la obra exterior de la casa de Dios;
NEH.11.17	11	17	And Mattaniah the son of Micha, the son of Zabdi, the son of Asaph, {was} the principal to begin the thanksgiving in prayer: and Bakbukiah the second among his brethren, and Abda the son of Shammua, the son of Galal, the son of Jeduthun.	0.0	neutral	Y Mattanías hijo de Michâ, hijo de Zabdi, hijo de Asaph, el principal, el que empezaba las alabanzas y acción de gracias al tiempo de la oración; y Bacbucías el segundo de entre sus hermanos; y Abda hijo de Samua, hijo de Galal, hijo de Jeduthún.
NEH.11.18	11	18	All the Levites in the holy city {were} two hundred fourscore and four.	0.0	neutral	Todos los Levitas en la santa ciudad fueron doscientos ochenta y cuatro.
NEH.11.19	11	19	Moreover the porters, Akkub, Talmon, and their brethren that kept the gates, {were} an hundred seventy and two. {the gates: Heb. at the gates}	0.0	neutral	Y los porteros, Accub, Talmón, y sus hermanos, guardas en las puertas, ciento setenta y dos.
NEH.11.20	11	20	And the residue of Israel, of the priests, {and} the Levites, {were} in all the cities of Judah, every one in his inheritance.	0.0	neutral	Y el resto de Israel, de los sacerdotes, de los Levitas, en todas las ciudades de Judá, cada uno en su heredad.
NEH.11.21	11	21	But the Nethinims dwelt in Ophel: and Ziha and Gispa {were} over the Nethinims. {Ophel: or, the tower}	0.0	neutral	Y los Nethineos habitaban en Ophel; y Siha y Gispa eran sobre los Nethineos.
NEH.11.22	11	22	The overseer also of the Levites at Jerusalem {was} Uzzi the son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Micha. Of the sons of Asaph, the singers {were} over the business of the house of God.	0.0	neutral	Y el prepósito de los Levitas en Jerusalem era Uzzi hijo de Bani, hijo de Hasabías, hijo de Mattanías, hijo de Michâ de los cantores los hijos de Asaph, sobre la obra de la casa de Dios.
NEH.11.23	11	23	For {it was} the king's commandment concerning them, that a certain portion should be for the singers, due for every day. {a certain...: or, a sure ordinance}	0.2009	positive	Porque había mandamiento del rey acerca de ellos, y determinación acerca de los cantores para cada día.
NEH.11.24	11	24	And Pethahiah the son of Meshezabeel, of the children of Zerah the son of Judah, {was} at the king's hand in all matters concerning the people. {Zerah: also called, Zarah}	0.0	neutral	Y Pethahías hijo de Mesezabel, de los hijos de Zerah hijo de Judá, estaba á la mano del rey en todo negocio del pueblo.
NEH.11.25	11	25	And for the villages, with their fields, {some} of the children of Judah dwelt at Kirjatharba, and {in} the villages thereof, and at Dibon, and {in} the villages thereof, and at Jekabzeel, and {in} the villages thereof,	0.0	neutral	Y tocante á las aldeas y sus tierras, algunos de los hijos de Judá habitaron en Chîriat-arba y sus aldeas, y en Dibón y sus aldeas, y en Jecabseel y sus aldeas;
NEH.11.26	11	26	And at Jeshua, and at Moladah, and at Bethphelet,	0.0	neutral	Y en Jesuá, Moladah, y en Beth-pelet;
NEH.11.27	11	27	And at Hazarshual, and at Beersheba, and {in} the villages thereof,	0.0	neutral	Y en Hasar-sual, y en Beer-seba, y en sus aldeas;
NEH.11.28	11	28	And at Ziklag, and at Mekonah, and in the villages thereof,	0.0	neutral	Y en Siclag, y en Mechôna, y en sus aldeas;
