verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
AMO.1.1	1	1	The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.	0.0	neutral	LAS palabras de Amós, que fué entre los pastores de Tecoa, las cuales vió acerca de Israel en días de Uzzía rey de Judá, y en días de Jeroboam hijo de Joas rey de Israel, dos años antes del terremoto.
AMO.1.2	1	2	And he said, The LORD will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither.	0.25	positive	Y dijo: Jehová bramará desde Sión, y dará su voz desde Jerusalem; y las estancias de los pastores se enlutarán, y secaráse la cumbre del Carmelo.
AMO.1.3	1	3	Thus saith the LORD; For three transgressions of Damascus, and for four, I will not turn away {the punishment} thereof; because they have threshed Gilead with threshing instruments of iron: {and...: or, yea, for four} {turn...: or, convert it, or, let it be quiet}	-0.375	negative	Así ha dicho Jehová: Por tres pecados de Damasco, y por el cuarto, no desviaré su castigo; porque trillaron á Galaad con trillos de hierro.
AMO.1.4	1	4	But I will send a fire into the house of Hazael, which shall devour the palaces of Benhadad.	0.0	neutral	Y meteré fuego en la casa de Hazael, y consumirá los palacios de Ben-hadad.
AMO.1.5	1	5	I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the LORD. {the plain...: or, Bikathaven} {the house...: or, Betheden}	-0.2143	negative	Y quebraré la barra de Damasco, y talaré los moradores de Bicath-aven, y los gobernadores de Beth-eden: y el pueblo de Aram será trasportado á Chîr, dice Jehová.
AMO.1.6	1	6	Thus saith the LORD; For three transgressions of Gaza, and for four, I will not turn away {the punishment} thereof; because they carried away captive the whole captivity, to deliver {them} up to Edom: {away captive...: or, them away with an entire}	-0.03	neutral	Así ha dicho Jehová: Por tres pecados de Gaza, y por el cuarto, no desviaré su castigo; porque llevó cautiva toda la cautividad, para entregarlos á Edom.
AMO.1.7	1	7	But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:	0.0	neutral	Y meteré fuego en el muro de Gaza, y quemará sus palacios.
AMO.1.8	1	8	And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord GOD.	0.0	neutral	Y talaré los moradores de Azoto, y los gobernadores de Ascalón: y tornaré mi mano sobre Ecrón, y las reliquias de los Palestinos perecerán, ha dicho el Señor Jehová.
AMO.1.9	1	9	Thus saith the LORD; For three transgressions of Tyrus, and for four, I will not turn away {the punishment} thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant: {the brotherly...: Heb. the covenant of brethren}	-0.275	negative	Así ha dicho Jehová: Por tres pecados de Tiro, y por el cuarto, no desviaré su castigo; porque entregaron la cautividad entera á Edom, y no se acordaron del concierto de hermanos.
AMO.1.10	1	10	But I will send a fire on the wall of Tyrus, which shall devour the palaces thereof.	0.0	neutral	Y meteré fuego en el muro de Tiro, y consumirá sus palacios.
AMO.1.11	1	11	Thus saith the LORD; For three transgressions of Edom, and for four, I will not turn away {the punishment} thereof; because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever: {did cast...: Heb. corrupted his compassions}	-0.4	negative	Así ha dicho Jehová: Por tres pecados de Edom, y por el cuarto, no desviaré su castigo; porque persiguió á cuchillo á su hermano, y rompió sus conmiseraciones; y con su furor le ha robado siempre, y ha perpetuamente guardado el enojo.
AMO.1.12	1	12	But I will send a fire upon Teman, which shall devour the palaces of Bozrah.	0.0	neutral	Y meteré fuego en Temán, y consumirá los palacios de Bosra.
AMO.1.13	1	13	Thus saith the LORD; For three transgressions of the children of Ammon, and for four, I will not turn away {the punishment} thereof; because they have ripped up the women with child of Gilead, that they might enlarge their border: {ripped...: or, divided the mountains}	-0.75	negative	Así ha dicho Jehová: Por tres pecados de los hijos de Ammón, y por el cuarto, no desviaré su castigo; porque abrieron las preñadas de Galaad, para ensanchar su término.
AMO.1.14	1	14	But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind:	0.0	neutral	Y encenderé fuego en el muro de Rabba, y consumirá sus palacios con estruendo en día de batalla, con tempestad en día tempestuoso:
AMO.1.15	1	15	And their king shall go into captivity, he and his princes together, saith the LORD.	0.0	neutral	Y su rey irá en cautiverio, él y sus príncipes todos, dice Jehová.
AMO.2.1	2	1	Thus saith the LORD; For three transgressions of Moab, and for four, I will not turn away {the punishment} thereof; because he burned the bones of the king of Edom into lime:	0.0	neutral	ASI ha dicho Jehová: Por tres pecados de Moab, y por el cuarto, no desviaré su castigo; porque quemó los huesos del rey de Idumea hasta tornarlos en cal.
AMO.2.2	2	2	But I will send a fire upon Moab, and it shall devour the palaces of Kerioth: and Moab shall die with tumult, with shouting, {and} with the sound of the trumpet:	0.4	positive	Y meteré fuego en Moab, y consumirá los palacios de Chêrioth: y morirá Moab en alboroto, en estrépito y sonido de trompeta.
AMO.2.3	2	3	And I will cut off the judge from the midst thereof, and will slay all the princes thereof with him, saith the LORD.	0.0	neutral	Y quitaré el juez de en medio de él, y mataré con él á todos sus príncipes, dice Jehová.
AMO.2.4	2	4	Thus saith the LORD; For three transgressions of Judah, and for four, I will not turn away {the punishment} thereof; because they have despised the law of the LORD, and have not kept his commandments, and their lies caused them to err, after the which their fathers have walked:	0.0	neutral	Así ha dicho Jehová: Por tres pecados de Judá, y por el cuarto, no desviaré su castigo; porque menospreciaron la ley de Jehová, y no guardaron sus ordenanzas; é hiciéronlos errar sus mentiras, en pos de las cuales anduvieron sus padres.
AMO.2.5	2	5	But I will send a fire upon Judah, and it shall devour the palaces of Jerusalem.	0.0	neutral	Meteré por tanto fuego en Judá, el cual consumirá los palacios de Jerusalem.
AMO.2.6	2	6	Thus saith the LORD; For three transgressions of Israel, and for four, I will not turn away {the punishment} thereof; because they sold the righteous for silver, and the poor for a pair of shoes;	-0.4	negative	Así ha dicho Jehová: Por tres pecados de Israel, y por el cuarto, no desviaré su castigo; porque vendieron por dinero al justo, y al pobre por un par de zapatos:
AMO.2.7	2	7	That pant after the dust of the earth on the head of the poor, and turn aside the way of the meek: and a man and his father will go in unto the {same} maid, to profane my holy name: {maid: or, young woman}	-0.2625	negative	Que anhelan porque haya polvo de tierra sobre la cabeza de los pobres, y tuercen el camino de los humildes: y el hombre y su padre entraron á la misma moza, profanando mi santo nombre.
AMO.2.8	2	8	And they lay {themselves} down upon clothes laid to pledge by every altar, and they drink the wine of the condemned {in} the house of their god. {the condemned: or, such as have fined, or, mulcted}	-0.0778	neutral	Y sobre las ropas empeñadas se acuestan junto á cualquier altar; y el vino de los penados beben en la casa de sus dioses.
AMO.2.9	2	9	Yet destroyed I the Amorite before them, whose height {was} like the height of the cedars, and he {was} strong as the oaks; yet I destroyed his fruit from above, and his roots from beneath.	0.2167	positive	Y yo destruí delante de ellos al Amorrheo, cuya altura era como la altura de los cedros, y fuerte como un alcornoque; y destruí su fruto arriba, sus raíces abajo.
AMO.2.10	2	10	Also I brought you up from the land of Egypt, and led you forty years through the wilderness, to possess the land of the Amorite.	0.0	neutral	Y yo os hice á vosotros subir de la tierra de Egipto, y os traje por el desierto cuarenta años, para que poseyeseis la tierra del Amorrheo.
AMO.2.11	2	11	And I raised up of your sons for prophets, and of your young men for Nazarites. {Is it} not even thus, O ye children of Israel? saith the LORD.	0.1	neutral	Y levanté de vuestros hijos para profetas, y de vuestros mancebos para que fuesen Nazareos. ¿No es esto así, dice Jehová, hijos de Israel?
AMO.2.12	2	12	But ye gave the Nazarites wine to drink; and commanded the prophets, saying, Prophesy not.	0.0	neutral	Mas vosotros disteis de beber vino á los Nazareos; y á los profetas mandasteis, diciendo: No profeticéis.
AMO.2.13	2	13	Behold, I am pressed under you, as a cart is pressed {that is} full of sheaves. {I am...: or, I will press your place, as a cart full of sheaves presseth}	0.35	positive	Pues he aquí, yo os apretaré en vuestro lugar, como se aprieta el carro lleno de haces;
AMO.2.14	2	14	Therefore the flight shall perish from the swift, and the strong shall not strengthen his force, neither shall the mighty deliver himself: {himself: Heb. his soul, or, life}	0.0278	neutral	Y la huída perecerá del ligero, y el fuerte no esforzará su fuerza, ni el valiente librará su vida;
AMO.2.15	2	15	Neither shall he stand that handleth the bow; and {he that is} swift of foot shall not deliver {himself}: neither shall he that rideth the horse deliver himself.	0.0	neutral	Y el que toma el arco no resistirá, ni escapará el ligero de pies, ni el que cabalga en caballo salvará su vida.
AMO.2.16	2	16	And {he that is} courageous among the mighty shall flee away naked in that day, saith the LORD. {courageous: Heb. strong of his heart}	0.2778	positive	El esforzado entre esforzados huirá desnudo aquel día, dice Jehová.
AMO.3.1	3	1	Hear this word that the LORD hath spoken against you, O children of Israel, against the whole family which I brought up from the land of Egypt, saying,	0.2	positive	OID esta palabra que ha hablado Jehová contra vosotros, hijos de Israel, contra toda la familia que hice subir de la tierra de Egipto. Dice así:
AMO.3.2	3	2	You only have I known of all the families of the earth: therefore I will punish you for all your iniquities. {punish: Heb. visit upon}	0.0	neutral	A vosotros solamente he conocido de todas las familias de la tierra; por tanto visitaré contra vosotros todas vuestras maldades.
AMO.3.3	3	3	Can two walk together, except they be agreed?	0.0	neutral	¿Andarán dos juntos, si no estuvieren de concierto?
AMO.3.4	3	4	Will a lion roar in the forest, when he hath no prey? will a young lion cry out of his den, if he have taken nothing? {cry: Heb. give forth his voice}	0.1	neutral	¿Bramará el león en el monte sin hacer presa? ¿dará el leoncillo su bramido desde su morada, si no prendiere?
AMO.3.5	3	5	Can a bird fall in a snare upon the earth, where no gin {is} for him? shall {one} take up a snare from the earth, and have taken nothing at all?	0.0	neutral	¿Caerá el ave en el lazo en la tierra, sin haber armador? ¿alzaráse el lazo de la tierra, si no se ha prendido algo?
AMO.3.6	3	6	Shall a trumpet be blown in the city, and the people not be afraid? shall there be evil in a city, and the LORD hath not done {it}? {be afraid: or, run together?} {the LORD...: or, shall not the LORD do somewhat?}	-0.7333	negative	¿Tocaráse la trompeta en la ciudad, y no se alborotará el pueblo? ¿habrá algún mal en la ciudad, el cual Jehová no haya hecho?
AMO.3.7	3	7	Surely the Lord GOD will do nothing, but he revealeth his secret unto his servants the prophets.	0.05	neutral	Porque no hará nada el Señor Jehová, sin que revele su secreto á sus siervos los profetas.
AMO.3.8	3	8	The lion hath roared, who will not fear? the Lord GOD hath spoken, who can but prophesy?	0.0	neutral	Bramando el león, ¿quién no temerá? hablando el Señor Jehová, ¿quién no porfetizará?
AMO.3.9	3	9	Publish in the palaces at Ashdod, and in the palaces in the land of Egypt, and say, Assemble yourselves upon the mountains of Samaria, and behold the great tumults in the midst thereof, and the oppressed in the midst thereof. {oppressed: or, oppressions}	0.8	positive	Haced pregonar sobre los palacios de Azoto, y sobre los palacios de tierra de Egipto, y decid: Reuníos sobre los montes de Samaria, y ved muchas opresiones en medio de ella, y violencias en medio de ella.
AMO.3.10	3	10	For they know not to do right, saith the LORD, who store up violence and robbery in their palaces. {robbery: or, spoil}	0.2857	positive	Y no saben hacer lo recto, dice Jehová, atesorando rapiñas y despojos en sus palacios.
AMO.3.11	3	11	Therefore thus saith the Lord GOD; An adversary {there shall be} even round about the land; and he shall bring down thy strength from thee, and thy palaces shall be spoiled.	-0.1778	negative	Por tanto, el Señor Jehová ha dicho así: Un enemigo habrá aún por todos lados de la tierra, y derribará de ti tu fortaleza, y tus palacios serán saqueados.
AMO.3.12	3	12	Thus saith the LORD; As the shepherd taketh out of the mouth of the lion two legs, or a piece of an ear; so shall the children of Israel be taken out that dwell in Samaria in the corner of a bed, and in Damascus {in} a couch. {taketh: Heb. delivereth} {in Damascus...: or, on the bed's feet}	0.0	neutral	Así ha dicho Jehová: De la manera que el pastor libra de la boca del león dos piernas, ó la punta de una oreja, así escaparán los hijos de Israel que moran en Samaria en el rincón de la cama, y al canto del lecho.
AMO.3.13	3	13	Hear ye, and testify in the house of Jacob, saith the Lord GOD, the God of hosts,	0.0	neutral	Oid y protestad en la casa de Jacob, ha dicho Jehová Dios de los ejércitos:
AMO.3.14	3	14	That in the day that I shall visit the transgressions of Israel upon him I will also visit the altars of Bethel: and the horns of the altar shall be cut off, and fall to the ground. {visit: or, punish Israel for}	0.0	neutral	Que el día que visitaré las rebeliones de Israel sobre él, visitaré también sobre los altares de Beth-el; y serán cortados los cuernos del altar, y caerán á tierra.
AMO.3.15	3	15	And I will smite the winter house with the summer house; and the houses of ivory shall perish, and the great houses shall have an end, saith the LORD.	0.8	positive	Y heriré la casa del invierno con la casa del verano, y las casas de marfil perecerán; y muchas casas serán arruinadas, dice Jehová.
AMO.4.1	4	1	Hear this word, ye kine of Bashan, that {are} in the mountain of Samaria, which oppress the poor, which crush the needy, which say to their masters, Bring, and let us drink.	-0.4	negative	OID esta palabra, vacas de Basán, que estáis en el monte de Samaria, que oprimís los pobres, que quebrantáis los menesterosos, que decis á sus señores: Traed, y beberemos.
AMO.4.2	4	2	The Lord GOD hath sworn by his holiness, that, lo, the days shall come upon you, that he will take you away with hooks, and your posterity with fishhooks.	0.0	neutral	El Señor Jehová juró por su santidad: He aquí, vienen días sobre vosotros en que os llevará en anzuelos, y á vuestros descendientes en barquillos de pescador.
AMO.4.3	4	3	And ye shall go out at the breaches, every {cow at that which is} before her; and ye shall cast {them} into the palace, saith the LORD. {cast...: or, cast away the things of the palace}	-0.1333	negative	Y saldrán por los portillos la una en pos de la otra, y seréis echadas del palacio, dice Jehová.
AMO.4.4	4	4	Come to Bethel, and transgress; at Gilgal multiply transgression; and bring your sacrifices every morning, {and} your tithes after three years: {three...: Heb. three years of days}	-0.375	negative	Id á Beth-el, y prevaricad; en Gilgal aumentad la rebelión, y traed de mañana vuestros sacrificios, vuestros diezmos cada tres años;
AMO.4.5	4	5	And offer a sacrifice of thanksgiving with leaven, and proclaim {and} publish the free offerings: for this liketh you, O ye children of Israel, saith the Lord GOD. {offer: Heb. offer by burning} {this...: Heb. so ye love}	0.45	positive	Y ofreced sacrificio de alabanza con leudo, y pregonad, publicad voluntarias ofrendas; pues que así lo queréis, hijos de Israel, dice el Señor Jehová.
AMO.4.6	4	6	And I also have given you cleanness of teeth in all your cities, and want of bread in all your places: yet have ye not returned unto me, saith the LORD.	0.0	neutral	Yo también os dí limpieza de dientes en todas vuestras ciudades, y falta de pan en todos vuestros pueblos: mas no os tornasteis á mí, dice Jehová.
AMO.4.7	4	7	And also I have withholden the rain from you, when {there were} yet three months to the harvest: and I caused it to rain upon one city, and caused it not to rain upon another city: one piece was rained upon, and the piece whereupon it rained not withered.	0.0	neutral	Y también yo os detuve la lluvia tres meses antes de la siega: é hice llover sobre una ciudad, y sobre otra ciudad no hice llover: sobre una parte llovió; la parte sobre la cual no llovió, secóse.
AMO.4.8	4	8	So two {or} three cities wandered unto one city, to drink water; but they were not satisfied: yet have ye not returned unto me, saith the LORD.	-0.25	negative	Y venían dos ó tres ciudades á una ciudad para beber agua, y no se hartaban: con todo no os tornásteis á mí, dice Jehová.
AMO.4.9	4	9	I have smitten you with blasting and mildew: when your gardens and your vineyards and your fig trees and your olive trees increased, the palmerworm devoured {them}: yet have ye not returned unto me, saith the LORD. {when...: or, the multitude of your gardens, etc. did the palmerworm}	0.0	neutral	Os herí con viento solano y oruga; vuestros muchos huertos y vuestras viñas, y vuestros higuerales y vuestros olivares comió la langosta: pero nunca os tornasteis á mí, dice Jehová.
AMO.4.10	4	10	I have sent among you the pestilence after the manner of Egypt: your young men have I slain with the sword, and have taken away your horses; and I have made the stink of your camps to come up unto your nostrils: yet have ye not returned unto me, saith the LORD. {after...: or, in the way} {and have...: Heb. with the captivity of your horses}	0.1	neutral	Envié entre vosotros mortandad al modo que en Egipto: maté á cuchillo vuestros mancebos, con cautiverio de vuestros caballos; é hice subir el hedor de vuestros reales hasta vuestras narices: empero no os tornasteis á mí, dice Jehová.
AMO.4.11	4	11	I have overthrown {some} of you, as God overthrew Sodom and Gomorrah, and ye were as a firebrand plucked out of the burning: yet have ye not returned unto me, saith the LORD.	0.0	neutral	Trastornéos, como cuando Dios trastornó á Sodoma y á Gomorra, y fuisteis como tizón escapado del fuego: mas no os tornasteis á mí, dice Jehová.
AMO.4.12	4	12	Therefore thus will I do unto thee, O Israel: {and} because I will do this unto thee, prepare to meet thy God, O Israel.	-0.75	negative	Por tanto, de esta manera haré á ti, oh Israel: y porque te he de hacer esto, aparéjate para venir al encuentro á tu Dios, oh Israel.
AMO.4.13	4	13	For, lo, he that formeth the mountains, and createth the wind, and declareth unto man what {is} his thought, that maketh the morning darkness, and treadeth upon the high places of the earth, The LORD, The God of hosts, {is} his name. {wind: or, spirit}	0.16	positive	Porque he aquí, el que forma los montes, y cría el viento, y denuncia al hombre su pensamiento; el que hace á las tinieblas mañana, y pasa sobre las alturas de la tierra; Jehová, Dios de los ejércitos, es su nombre.
AMO.5.1	5	1	Hear ye this word which I take up against you, {even} a lamentation, O house of Israel.	0.0	neutral	OID esta palabra, porque yo levanto endecha sobre vosotros, casa de Israel.
AMO.5.2	5	2	The virgin of Israel is fallen; she shall no more rise: she is forsaken upon her land; {there is} none to raise her up.	-0.25	negative	Cayó la virgen de Israel, no más podrá levantarse; dejada fué sobre su tierra, no hay quien la levante.
AMO.5.3	5	3	For thus saith the Lord GOD; The city that went out {by} a thousand shall leave an hundred, and that which went forth {by} an hundred shall leave ten, to the house of Israel.	0.0	neutral	Porque así ha dicho el Señor Jehová: La ciudad que sacaba mil, quedará con ciento; y la que sacaba ciento, quedará con diez, en la casa de Israel.
AMO.5.4	5	4	For thus saith the LORD unto the house of Israel, Seek ye me, and ye shall live:	0.1364	positive	Empero así dice Jehová á la casa de Israel: Buscadme, y viviréis;
AMO.5.5	5	5	But seek not Bethel, nor enter into Gilgal, and pass not to Beersheba: for Gilgal shall surely go into captivity, and Bethel shall come to nought.	0.5	positive	Y no busquéis á Beth-el ni entreis en Gilgal, ni paséis á Beer-seba: porque Gilgal será llevada en cautiverio, y Beth-el será deshecha.
AMO.5.6	5	6	Seek the LORD, and ye shall live; lest he break out like fire in the house of Joseph, and devour {it}, and {there be} none to quench {it} in Bethel.	0.1364	positive	Buscad á Jehová, y vivid; no sea que hienda, como fuego, á la casa de José, y la consuma, sin haber en Beth-el quien lo apague.
AMO.5.7	5	7	Ye who turn judgment to wormwood, and leave off righteousness in the earth,	0.0	neutral	Los que convierten en ajenjo el juicio, y dejan en tierra la justicia,
AMO.5.8	5	8	{Seek him} that maketh the seven stars and Orion, and turneth the shadow of death into the morning, and maketh the day dark with night: that calleth for the waters of the sea, and poureth them out upon the face of the earth: The LORD {is} his name:	-0.15	negative	Miren al que hace el Arcturo y el Orión, y las tinieblas vuelve en mañana, y hace oscurecer el día en noche; el que llama á las aguas de la mar, y las derrama sobre la haz de la tierra: Jehová es su nombre:
AMO.5.9	5	9	That strengtheneth the spoiled against the strong, so that the spoiled shall come against the fortress. {spoiled: Heb. spoil}	0.4333	positive	Que da esfuerzo al despojador sobre el fuerte, y que el despojador venga contra la fortaleza.
