verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
PRO.21.17	21	17	He that loveth pleasure {shall be} a poor man: he that loveth wine and oil shall not be rich. {pleasure: or, sport}	-0.0125	neutral	Hombre necesitado será el que ama el deleite: Y el que ama el vino y ungüentos no enriquecerá.
PRO.21.18	21	18	The wicked {shall be} a ransom for the righteous, and the transgressor for the upright.	0.0	neutral	El rescate del justo es el impío, Y por los rectos el prevaricador.
PRO.21.19	21	19	{It is} better to dwell in the wilderness, than with a contentious and an angry woman. {in...: Heb. in the land of the desert}	0.0	neutral	Mejor es morar en tierra del desierto, Que con la mujer rencillosa é iracunda.
PRO.21.20	21	20	{There is} treasure to be desired and oil in the dwelling of the wise; but a foolish man spendeth it up.	0.7	positive	Tesoro codiciable y pingüe hay en la casa del sabio; Mas el hombre insensato lo disipará.
PRO.21.21	21	21	He that followeth after righteousness and mercy findeth life, righteousness, and honour.	0.0	neutral	El que sigue la justicia y la misericordia, Hallará la vida, la justicia, y la honra.
PRO.21.22	21	22	A wise {man} scaleth the city of the mighty, and casteth down the strength of the confidence thereof.	0.3148	positive	La ciudad de los fuertes tomó el sabio, Y derribó la fuerza en que ella confiaba.
PRO.21.23	21	23	Whoso keepeth his mouth and his tongue keepeth his soul from troubles.	0.0	neutral	El que guarda su boca y su lengua, Su alma guarda de angustias.
PRO.21.24	21	24	Proud {and} haughty scorner {is} his name, who dealeth in proud wrath. {in proud...: Heb. in the wrath of pride}	0.8	positive	Soberbio y presuntuoso escarnecedor es el nombre Del que obra con orgullosa saña.
PRO.21.25	21	25	The desire of the slothful killeth him; for his hands refuse to labour.	0.0	neutral	El deseo del perezoso le mata, Porque sus manos no quieren trabajar.
PRO.21.26	21	26	He coveteth greedily all the day long: but the righteous giveth and spareth not.	-0.05	neutral	Hay quien todo el día codicia: Mas el justo da, y no desperdicia.
PRO.21.27	21	27	The sacrifice of the wicked {is} abomination: how much more, {when} he bringeth it with a wicked mind? {with...: Heb. in wickedness?}	0.5	positive	El sacrificio de los impíos es abominación: ¡Cuánto más ofreciéndolo con maldad!
PRO.21.28	21	28	A false witness shall perish: but the man that heareth speaketh constantly. {A...: Heb. A witness of lies}	-0.2	negative	El testigo mentiroso perecerá: Mas el hombre que oye, permanecerá en su dicho.
PRO.21.29	21	29	A wicked man hardeneth his face: but {as for} the upright, he directeth his way. {directeth: or, considereth}	0.0	neutral	El hombre impío afirma rostro: Mas el recto ordena sus caminos.
PRO.21.30	21	30	{There is} no wisdom nor understanding nor counsel against the LORD.	0.0	neutral	No hay sabiduría, ni inteligencia, Ni consejo, contra Jehová.
PRO.21.31	21	31	The horse {is} prepared against the day of battle: but safety {is} of the LORD. {safety: or, victory}	0.0	neutral	El caballo se apareja para el día de la batalla: Mas de Jehová es el salvar.
PRO.22.1	22	1	A {good} name {is} rather to be chosen than great riches, {and} loving favour rather than silver and gold. {loving...: or, favour is better than, etc}	0.64	positive	DE más estima es la buena fama que las muchas riquezas; Y la buena gracia más que la plata y el oro.
PRO.22.2	22	2	The rich and poor meet together: the LORD {is} the maker of them all.	-0.0125	neutral	El rico y el pobre se encontraron: A todos ellos hizo Jehová.
PRO.22.3	22	3	A prudent {man} foreseeth the evil, and hideth himself: but the simple pass on, and are punished.	-0.5	negative	El avisado ve el mal, y escóndese: Mas los simples pasan, y reciben el daño.
