verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
PHM.1.1	1	1	Paul, a prisoner of Jesus Christ, and Timothy {our} brother, unto Philemon our dearly beloved, and fellowlabourer,	0.7	positive	Paulo, prisioneiro de Cristo Jesus, e o irmão Timóteo, a você, Filemom, nosso amado cooperador,
PHM.1.2	1	2	And to {our} beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:	0.7	positive	à irmã Áfia, a Arquipo, nosso companheiro de lutas, e à igreja que se reúne com você em sua casa.
PHM.1.3	1	3	Grace to you, and peace, from God our Father and the Lord Jesus Christ.	0.0	neutral	A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo.
PHM.1.4	1	4	I thank my God, making mention of thee always in my prayers,	0.0	neutral	Sempre dou graças a meu Deus, lembrando-me de você nas minhas orações,
PHM.1.5	1	5	Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;	0.5	positive	porque ouço falar da sua fé no Senhor Jesus e do seu amor por todos os santos.
PHM.1.6	1	6	That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.	0.7	positive	Oro para que a comunhão que procede da sua fé seja eficaz no pleno conhecimento de todo o bem que temos em Cristo.
PHM.1.7	1	7	For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.	0.7	positive	Seu amor me tem dado grande alegria e consolação, porque você, irmão, tem reanimado o coração dos santos.
PHM.1.8	1	8	Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,	0.3333	positive	Por isso, mesmo tendo em Cristo plena liberdade para mandar que você cumpra o seu dever,
PHM.1.9	1	9	Yet for love's sake I rather beseech {thee}, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.	0.1333	positive	prefiro fazer um apelo com base no amor. Eu, Paulo, já velho, e agora também prisioneiro de Cristo Jesus,
PHM.1.10	1	10	I beseech thee for my son Onesimus, whom I have begotten in my bonds:	0.0	neutral	apelo em favor de meu filho Onésimo, que gerei enquanto estava preso.
PHM.1.11	1	11	Which in time past was to thee unprofitable, but now profitable to thee and to me:	-0.25	negative	Ele antes lhe era inútil, mas agora é útil, tanto para você quanto para mim.
PHM.1.12	1	12	Whom I have sent again: thou therefore receive him, that is, mine own bowels:	0.6	positive	Mando-o de volta a você, como se fosse o meu próprio coração.
PHM.1.13	1	13	Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:	0.0	neutral	Gostaria de mantê-lo comigo para que me ajudasse em seu lugar enquanto estou preso por causa do evangelho.
PHM.1.14	1	14	But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.	0.25	positive	Mas não quis fazer nada sem a sua permissão, para que qualquer favor que você fizer seja espontâneo, e não forçado.
PHM.1.15	1	15	For perhaps he therefore departed for a season, that thou shouldest receive him for ever;	0.0	neutral	Talvez ele tenha sido separado de você por algum tempo, para que você o tivesse de volta para sempre,
PHM.1.16	1	16	Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?	0.3893	positive	não mais como escravo, mas, acima de escravo, como irmão amado. Para mim ele é um irmão muito amado, e ainda mais para você, tanto como pessoa quanto como cristão.
PHM.1.17	1	17	If thou count me therefore a partner, receive him as myself.	0.0	neutral	Assim, se você me considera companheiro na fé, receba-o como se estivesse recebendo a mim.
PHM.1.18	1	18	If he hath wronged thee, or oweth {thee} ought, put that on mine account;	0.0	neutral	Se ele o prejudicou em algo ou lhe deve alguma coisa, ponha na minha conta.
PHM.1.19	1	19	I Paul have written {it} with mine own hand, I will repay {it}: albeit I do not say to thee how thou owest unto me even thine own self besides.	0.6	positive	Eu, Paulo, escrevo de próprio punho: Eu pagarei — para não dizer que você me deve a sua própria pessoa.
PHM.1.20	1	20	Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.	0.8	positive	Sim, irmão, eu gostaria de receber de você algum benefício por estarmos no Senhor. Reanime o meu coração em Cristo!
PHM.1.21	1	21	Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.	0.5	positive	Escrevo-lhe certo de que você me obedecerá, sabendo que fará ainda mais do lhe que peço.
PHM.1.22	1	22	But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.	0.0	neutral	Além disso, prepare-me um aposento, porque, graças às suas orações, espero poder ser restituído a vocês.
PHM.1.23	1	23	There salute thee Epaphras, my fellowprisoner in Christ Jesus;	0.0	neutral	Epafras, meu companheiro de prisão por causa de Cristo Jesus, envia-lhe saudações,
PHM.1.24	1	24	Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.	0.0	neutral	assim como também Marcos, Aristarco, Demas e Lucas, meus cooperadores.
PHM.1.25	1	25	The grace of our Lord Jesus Christ {be} with your spirit. Amen. «{Written from Rome to Philemon, by Onesimus a servant.}»	0.0	neutral	A graça do Senhor Jesus Cristo seja com o espírito de todos vocês.
