verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
NUM.7.55	7	55	His offering {was} one silver charger of the weight of an hundred and thirty {shekels}, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:	0.3833	positive	A oferta dele foi um prato de prata de um quilo e quinhentos e sessenta gramas e uma bacia de prata para as aspersões de oitocentos e quarenta gramas, ambos pesados com base no peso padrão do santuário, cada um cheio da melhor farinha amassada com óleo como oferta de cereal;
NUM.7.56	7	56	One golden spoon of ten {shekels}, full of incense:	0.2167	positive	uma vasilha de ouro de cento e vinte gramas, cheia de incenso;
NUM.7.57	7	57	One young bullock, one ram, one lamb of the first year, for a burnt offering:	0.175	positive	um novilho, um carneiro e um cordeiro de um ano como holocausto;
NUM.7.58	7	58	One kid of the goats for a sin offering:	0.0	neutral	um bode como oferta pelo pecado;
NUM.7.59	7	59	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this {was} the offering of Gamaliel the son of Pedahzur.	0.25	positive	e dois bois, cinco carneiros, cinco bodes e cinco cordeiros de um ano para serem oferecidos como sacrifício de comunhão. Essa foi a oferta de Gamaliel, filho de Pedazur.
NUM.7.60	7	60	On the ninth day Abidan the son of Gideoni, prince of the children of Benjamin, {offered}:	0.0	neutral	No nono dia, Abidã, filho de Gideoni e líder de Benjamim, trouxe a sua oferta.
NUM.7.61	7	61	His offering {was} one silver charger, the weight whereof {was} an hundred and thirty {shekels}, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:	0.3833	positive	A oferta dele foi um prato de prata de um quilo e quinhentos e sessenta gramas e uma bacia de prata para as aspersões de oitocentos e quarenta gramas, ambos pesados com base no peso padrão do santuário, cada um cheio da melhor farinha amassada com óleo como oferta de cereal;
NUM.7.62	7	62	One golden spoon of ten {shekels}, full of incense:	0.2167	positive	uma vasilha de ouro de cento e vinte gramas, cheia de incenso;
NUM.7.63	7	63	One young bullock, one ram, one lamb of the first year, for a burnt offering:	0.175	positive	um novilho, um carneiro e um cordeiro de um ano como holocausto;
NUM.7.64	7	64	One kid of the goats for a sin offering:	0.0	neutral	um bode como oferta pelo pecado;
NUM.7.65	7	65	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this {was} the offering of Abidan the son of Gideoni.	0.25	positive	e dois bois, cinco carneiros, cinco bodes e cinco cordeiros de um ano para serem oferecidos como sacrifício de comunhão. Essa foi a oferta de Abidã, filho de Gideoni.
