verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
GEN.31.27	31	27	Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp? {steal...: Heb. hast stolen me}	-0.4	negative	Por que você me enganou, fugindo em segredo, sem avisar-me? Eu teria celebrado a sua partida com alegria e cantos, ao som dos tamborins e das harpas.
GEN.31.28	31	28	And hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in {so} doing.	0.0	neutral	Você sequer me deixou beijar meus netos e minhas filhas para despedir-me deles. Você foi insensato.
GEN.31.29	31	29	It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.	0.0	neutral	Tenho poder para prejudicá-los; mas, na noite passada, o Deus do pai de vocês me advertiu: 'Cuidado! Não diga nada a Jacó, não lhe faça promessas nem ameaças'.
GEN.31.30	31	30	And now, {though} thou wouldest needs be gone, because thou sore longedst after thy father's house, {yet} wherefore hast thou stolen my gods?	0.0	neutral	"Agora, se você partiu porque tinha saudade da casa de seu pai, por que roubou meus deuses? """
GEN.31.31	31	31	And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.	-0.6	negative	"Jacó respondeu a Labão: ""Tive medo, pois pensei que você tiraria suas filhas de mim à força."
GEN.31.32	31	32	With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what {is} thine with me, and take {it} to thee. For Jacob knew not that Rachel had stolen them.	-0.0682	neutral	"Quanto aos seus deuses, quem for encontrado com eles não ficará vivo. Na presença dos nossos parentes, veja você mesmo se está aqui comigo qualquer coisa que lhe pertença, e, se estiver, leve-a de volta"". Ora, Jacó não sabia que Raquel os havia roubado."
GEN.31.33	31	33	And Laban went into Jacob's tent, and into Leah's tent, and into the two maidservants' tents; but he found {them} not. Then went he out of Leah's tent, and entered into Rachel's tent.	0.0	neutral	Então Labão entrou na tenda de Jacó, e nas tendas de Lia e de suas duas servas, mas nada encontrou. Depois de sair da tenda de Lia, entrou na tenda de Raquel.
GEN.31.34	31	34	Now Rachel had taken the images, and put them in the camel's furniture, and sat upon them. And Laban searched all the tent, but found {them} not. {searched: Heb. felt}	0.0	neutral	Raquel tinha colocado os ídolos dentro da sela do seu camelo e estava sentada em cima. Labão vasculhou toda a tenda, mas nada encontrou.
GEN.31.35	31	35	And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women {is} upon me. And he searched, but found not the images.	0.0	neutral	"Raquel disse ao pai: ""Não se irrite, meu senhor, por não poder me levantar em sua presença, pois estou com o fluxo das mulheres"". Ele procurou os ídolos, mas não os encontrou."
GEN.31.36	31	36	And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What {is} my trespass? what {is} my sin, that thou hast so hotly pursued after me?	0.25	positive	"Jacó ficou irado e queixou-se a Labão: ""Qual foi meu crime? Que pecado cometi para que você me persiga furiosamente?"
GEN.31.37	31	37	Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set {it} here before my brethren and thy brethren, that they may judge betwixt us both. {searched: Heb. felt}	0.0	neutral	Você já vasculhou tudo o que me pertence. Encontrou algo que lhe pertença? Então coloque tudo aqui na frente dos meus parentes e dos seus, e que eles julguem entre nós dois.
