verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JAS.1.1	1	1	James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.	0.0	neutral	Tiago, servo de Deus e do Senhor Jesus Cristo, às doze tribos dispersas entre as nações: Saudações.
JAS.1.2	1	2	My brethren, count it all joy when ye fall into divers temptations; {temptations: or, trials}	0.8	positive	Meus irmãos, considerem motivo de grande alegria o fato de passarem por diversas provações,
JAS.1.3	1	3	Knowing {this}, that the trying of your faith worketh patience.	0.0	neutral	pois vocês sabem que a prova da sua fé produz perseverança.
JAS.1.4	1	4	But let patience have {her} perfect work, that ye may be perfect and entire, wanting nothing.	0.6667	positive	E a perseverança deve ter ação completa, a fim de que vocês sejam maduros e íntegros, sem lhes faltar coisa alguma.
JAS.1.5	1	5	If any of you lack wisdom, let him ask of God, that giveth to all {men} liberally, and upbraideth not; and it shall be given him.	0.0	neutral	Se algum de vocês tem falta de sabedoria, peça-a a Deus, que a todos dá livremente, de boa vontade; e lhe será concedida.
JAS.1.6	1	6	But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.	0.0	neutral	Peça-a, porém, com fé, sem duvidar, pois aquele que duvida é semelhante à onda do mar, levada e agitada pelo vento.
JAS.1.7	1	7	For let not that man think that he shall receive any thing of the Lord.	0.0	neutral	Não pense tal homem que receberá coisa alguma do Senhor;
JAS.1.8	1	8	A double minded man {is} unstable in all his ways.	0.0	neutral	é alguém que tem mente dividida e é instável em tudo o que faz.
JAS.1.9	1	9	Let the brother of low degree rejoice in that he is exalted: {rejoice: or, glory}	-0.375	negative	O irmão de condição humilde deve orgulhar-se quando estiver em elevada posição.
JAS.1.10	1	10	But the rich, in that he is made low: because as the flower of the grass he shall pass away.	0.1875	positive	E o rico deve orgulhar-se se passar a viver em condição humilde, porque passará como a flor do campo.
JAS.1.11	1	11	For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.	0.375	positive	Pois o sol se levanta, traz o calor e seca a planta; cai então a sua flor, e é destruída a beleza da sua aparência. Da mesma forma o rico murchará em meio aos seus afazeres.
JAS.1.12	1	12	Blessed {is} the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.	0.5	positive	Feliz é o homem que persevera na provação, porque depois de aprovado receberá a coroa da vida que Deus prometeu aos que o amam.
JAS.1.13	1	13	Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man: {evil: or, evils}	-0.9167	negative	"Quando alguém for tentado, jamais deverá dizer: ""Estou sendo tentado por Deus"". Pois Deus não pode ser tentado pelo mal, e a ninguém tenta."
JAS.1.14	1	14	But every man is tempted, when he is drawn away of his own lust, and enticed.	0.6	positive	Cada um, porém, é tentado pela própria cobiça, sendo por esta arrastado e seduzido.
JAS.1.15	1	15	Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.	0.0	neutral	Então a cobiça, tendo engravidado, dá à luz o pecado; e o pecado, após ter-se consumado, gera a morte.
JAS.1.16	1	16	Do not err, my beloved brethren.	0.7	positive	Meus amados irmãos, não se deixem enganar.
JAS.1.17	1	17	Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.	0.3861	positive	Toda boa dádiva e todo dom perfeito vêm do alto, descendo do Pai das luzes, que não muda como sombras inconstantes.
JAS.1.18	1	18	Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.	0.6	positive	Por sua decisão ele nos gerou pela palavra da verdade, para que sejamos como que os primeiros frutos de tudo o que ele criou.
JAS.1.19	1	19	Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:	0.0333	neutral	Meus amados irmãos, tenham isto em mente: Sejam todos prontos para ouvir, tardios para falar e tardios para irar-se,
JAS.1.20	1	20	For the wrath of man worketh not the righteousness of God.	0.0	neutral	pois a ira do homem não produz a justiça de Deus.
JAS.1.21	1	21	Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.	0.5	positive	Portanto, livrem-se de toda impureza moral e da maldade que prevalece, e aceitem humildemente a palavra implantada em vocês, a qual é poderosa para salvá-los.
JAS.1.22	1	22	But be ye doers of the word, and not hearers only, deceiving your own selves.	0.3	positive	Sejam praticantes da palavra, e não apenas ouvintes, enganando-se a si mesmos.
JAS.1.23	1	23	For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:	0.1	neutral	Aquele que ouve a palavra, mas não a põe em prática, é semelhante a um homem que olha a sua face num espelho
JAS.1.24	1	24	For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.	0.0	neutral	e, depois de olhar para si mesmo, sai e logo esquece a sua aparência.
JAS.1.25	1	25	But whoso looketh into the perfect law of liberty, and continueth {therein}, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed. {deed: or, doing}	0.525	positive	Mas o homem que observa atentamente a lei perfeita que traz a liberdade, e persevera na prática dessa lei, não esquecendo o que ouviu mas praticando-o, será feliz naquilo que fizer.
JAS.1.26	1	26	If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion {is} vain.	0.3	positive	Se alguém se considera religioso, mas não refreia a sua língua, engana-se a si mesmo. Sua religião não tem valor algum!
JAS.1.27	1	27	Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, {and} to keep himself unspotted from the world.	0.2143	positive	A religião que Deus, o nosso Pai aceita como pura e imaculada é esta: cuidar dos órfãos e das viúvas em suas dificuldades e não se deixar corromper pelo mundo.
JAS.2.1	2	1	My brethren, have not the faith of our Lord Jesus Christ, {the Lord} of glory, with respect of persons.	0.0	neutral	Meus irmãos, como crentes em nosso glorioso Senhor Jesus Cristo, não façam diferença entre as pessoas, tratando-as com favoritismo.
JAS.2.2	2	2	For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment; {assembly: Gr. synagogue}	0.15	positive	Suponham que na reunião de vocês entre um homem com anel de ouro e roupas finas, e também entre um homem pobre com roupas velhas e sujas.
JAS.2.3	2	3	And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool: {in...: or, well, or, seemly}	-0.0083	neutral	"Se vocês derem atenção especial ao homem que está vestido com roupas finas e disserem: ""Aqui está um lugar apropriado para o senhor"", mas disserem ao pobre: ""Você, fique de pé ali"", ou: ""Sente-se no chão, junto ao estrado onde ponho os meus pés"","
JAS.2.4	2	4	Are ye not then partial in yourselves, and are become judges of evil thoughts?	-0.55	negative	não estarão fazendo discriminação, fazendo julgamentos com critérios errados?
JAS.2.5	2	5	Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him? {of the: or, of that}	0.2937	positive	Ouçam, meus amados irmãos: não escolheu Deus os que são pobres aos olhos do mundo para serem ricos em fé e herdarem o Reino que ele prometeu aos que o amam?
JAS.2.6	2	6	But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?	-0.2938	negative	Mas vocês têm desprezado o pobre. Não são os ricos que oprimem vocês? Não são eles os que os arrastam para os tribunais?
