verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EXO.40.26	40	26	And he put the golden altar in the tent of the congregation before the vail:	0.3	positive	Moisés também pôs o altar de ouro na Tenda do Encontro, diante do véu,
EXO.40.27	40	27	And he burnt sweet incense thereon; as the LORD commanded Moses.	0.35	positive	e nele queimou incenso aromático, como o Senhor tinha ordenado.
EXO.40.28	40	28	And he set up the hanging {at} the door of the tabernacle.	0.0	neutral	Pôs também a cortina à entrada do tabernáculo.
EXO.40.29	40	29	And he put the altar of burnt offering {by} the door of the tabernacle of the tent of the congregation, and offered upon it the burnt offering and the meat offering; as the LORD commanded Moses.	0.0	neutral	Montou o altar de holocaustos à entrada do tabernáculo, a Tenda do Encontro, e sobre ele ofereceu holocaustos e ofertas de cereal, como o Senhor tinha ordenado.
EXO.40.30	40	30	And he set the laver between the tent of the congregation and the altar, and put water there, to wash {withal}.	0.0	neutral	Colocou a bacia entre a Tenda do Encontro e o altar, e encheu-a de água;
EXO.40.31	40	31	And Moses and Aaron and his sons washed their hands and their feet thereat:	0.0	neutral	Moisés, Arão e os filhos deste usavam-na para lavar as mãos e os pés.
EXO.40.32	40	32	When they went into the tent of the congregation, and when they came near unto the altar, they washed; as the LORD commanded Moses.	0.1	neutral	Sempre que entravam na Tenda do Encontro e se aproximavam do altar, eles se lavavam, como o Senhor tinha ordenado a Moisés.
EXO.40.33	40	33	And he reared up the court round about the tabernacle and the altar, and set up the hanging of the court gate. So Moses finished the work.	-0.2	negative	Finalmente, Moisés armou o pátio ao redor do tabernáculo e colocou a cortina à entrada do pátio. Assim, Moisés terminou a obra.
EXO.40.34	40	34	Then a cloud covered the tent of the congregation, and the glory of the LORD filled the tabernacle.	0.4	positive	Então a nuvem cobriu a Tenda do Encontro, e a glória do Senhor encheu o tabernáculo.
EXO.40.35	40	35	And Moses was not able to enter into the tent of the congregation, because the cloud abode thereon, and the glory of the LORD filled the tabernacle.	0.075	neutral	Moisés não podia entrar na Tenda do Encontro, porque a nuvem estava sobre ela, e a glória do Senhor enchia o tabernáculo.
EXO.40.36	40	36	And when the cloud was taken up from over the tabernacle, the children of Israel went onward in all their journeys: {went onward: Heb. journeyed}	-0.75	negative	Sempre que a nuvem se erguia sobre o tabernáculo os israelitas seguiam viagem;
EXO.40.37	40	37	But if the cloud were not taken up, then they journeyed not till the day that it was taken up.	0.0	neutral	mas se a nuvem não se erguia, eles não prosseguiam; só partiam no dia em que ela se erguesse.
EXO.40.38	40	38	For the cloud of the LORD {was} upon the tabernacle by day, and fire was on it by night, in the sight of all the house of Israel, throughout all their journeys.	0.0	neutral	De dia a nuvem do Senhor ficava sobre o tabernáculo, e de noite havia fogo na nuvem, à vista de toda a nação de Israel, em todas as suas viagens.
