verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JUD.1.1	1	1	Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, {and} called:	0.0	neutral	Judas, servo de Jesus Cristo e irmão de Tiago, aos que foram chamados, amados por Deus Pai e guardados por Jesus Cristo:
JUD.1.2	1	2	Mercy unto you, and peace, and love, be multiplied.	0.5	positive	Misericórdia, paz e amor lhes sejam multiplicados.
JUD.1.3	1	3	Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort {you} that ye should earnestly contend for the faith which was once delivered unto the saints.	0.2	positive	Amados, embora estivesse muito ansioso por lhes escrever acerca da salvação que compartilhamos, senti que era necessário escrever-lhes insistindo que batalhassem pela fé uma vez por todas confiada aos santos.
JUD.1.4	1	4	For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness and denying the only Lord God, and our Lord Jesus Christ.	0.1048	positive	Pois certos homens, cuja condenação já estava sentenciada há muito tempo, infiltraram-se dissimuladamente no meio de vocês. Estes são ímpios, e transformam a graça de nosso Deus em libertinagem e negam Jesus Cristo, nosso único Soberano e Senhor.
JUD.1.5	1	5	I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not.	0.0	neutral	Embora vocês já tenham conhecimento de tudo isso, quero lembrar-lhes que o Senhor libertou um povo do Egito mas, posteriormente, destruiu os que não creram.
JUD.1.6	1	6	And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day. {first estate: or, principality}	0.38	positive	E aos anjos que não conservaram suas posições de autoridade mas abandonaram sua própria morada, ele os tem guardado em trevas, presos com correntes eternas para o juízo do grande Dia.
JUD.1.7	1	7	Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. {strange: Gr. other}	-0.075	neutral	De modo semelhante a estes, Sodoma e Gomorra e as cidades em redor se entregaram à imoralidade e a relações sexuais antinaturais. Estando sob o castigo do fogo eterno, elas servem de exemplo.
JUD.1.8	1	8	Likewise also these {filthy} dreamers defile the flesh, despise dominion, and speak evil of dignities.	-0.9	negative	Da mesma forma, estes sonhadores contaminam seus próprios corpos, rejeitam as autoridades e difamam os seres celestiais.
JUD.1.9	1	9	Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee.	0.0	neutral	"Contudo, nem mesmo o arcanjo Miguel, quando estava disputando com o diabo acerca do corpo de Moisés, ousou fazer acusação injuriosa contra ele, mas disse: ""O Senhor o repreenda! """
JUD.1.10	1	10	But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves.	-0.4667	negative	Todavia, esses tais difamam tudo o que não entendem; e as coisas que entendem por instinto, como animais irracionais, nessas mesmas coisas se corrompem.
JUD.1.11	1	11	Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core.	0.0	neutral	Ai deles! Pois seguiram o caminho de Caim, buscando o lucro, caíram no erro de Balaão e foram destruídos na rebelião de Corá.
JUD.1.12	1	12	These are spots in your feasts of charity, when they feast with you, feeding themselves without fear: clouds {they are} without water, carried about of winds; trees whose fruit withereth, without fruit, twice dead, plucked up by the roots;	-0.2	negative	Esses homens são rochas submersas nas festas de fraternidade que vocês fazem, comendo com vocês de maneira desonrosa. São pastores que só cuidam de si mesmos. São nuvens sem água, impelidas pelo vento; árvores de outono, sem frutos, duas vezes mortas, arrancadas pela raiz.
JUD.1.13	1	13	Raging waves of the sea, foaming out their own shame; wandering stars, to whom is reserved the blackness of darkness for ever.	0.6	positive	São ondas bravias do mar, espumando seus próprios atos vergonhosos; estrelas errantes, para as quais estão reservadas para sempre as mais densas trevas.
JUD.1.14	1	14	And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,	0.0	neutral	"Enoque, o sétimo a partir de Adão, profetizou acerca deles: ""Vejam, o Senhor vem com milhares de milhares de seus santos,"
JUD.1.15	1	15	To execute judgment upon all, and to convince all that are ungodly among them of all their ungodly deeds which they have ungodly committed, and of all their hard {speeches} which ungodly sinners have spoken against him.	-0.2917	negative	"para julgar a todos e convencer a todos os ímpios a respeito de todos os atos de impiedade que eles cometeram impiamente e acerca de todas as palavras insolentes que os pecadores ímpios falaram contra ele""."
JUD.1.16	1	16	These are murmurers, complainers, walking after their own lusts; and their mouth speaketh great swelling {words}, having men's persons in admiration because of advantage.	0.7	positive	Essas pessoas vivem se queixando e são descontentes com a sua sorte, seguem os seus próprios desejos impuros; são cheias de si e adulam os outros por interesse.
JUD.1.17	1	17	But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ;	0.7	positive	Todavia, amados, lembrem-se do que foi predito pelos apóstolos de nosso Senhor Jesus Cristo.
JUD.1.18	1	18	How that they told you there should be mockers in the last time, who should walk after their own ungodly lusts.	0.3	positive	"Eles diziam a vocês: ""Nos últimos tempos haverá zombadores que seguirão os seus próprios desejos ímpios""."
JUD.1.19	1	19	These be they who separate themselves, sensual, having not the Spirit.	0.0	neutral	Estes são os que causam divisões entre vocês, os quais seguem a tendência da sua própria alma e não têm o Espírito.
JUD.1.20	1	20	But ye, beloved, building up yourselves on your most holy faith, praying in the Holy Ghost,	0.6	positive	Edifiquem-se, porém, amados, na santíssima fé que vocês têm, orando no Espírito Santo.
