verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
TIT.1.1	1	1	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;	0.8	positive	Paulo, servo de Deus e apóstolo de Jesus Cristo para levar os eleitos de Deus à fé e ao conhecimento da verdade que conduz à piedade,
TIT.1.2	1	2	In hope of eternal life, which God, that cannot lie, promised before the world began; {In: or, For}	0.0	neutral	fé e conhecimento que se fundamentam na esperança da vida eterna, a qual o Deus que não mente prometeu antes dos tempos eternos.
TIT.1.3	1	3	But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;	-0.125	negative	No devido tempo, ele trouxe à luz a sua palavra, por meio da pregação a mim confiada por ordem de Deus, nosso Salvador,
TIT.1.4	1	4	To Titus, {mine} own son after the common faith: Grace, mercy, {and} peace, from God the Father and the Lord Jesus Christ our Saviour.	0.15	positive	a Tito, meu verdadeiro filho em nossa fé comum: Graça e paz da parte de Deus Pai e de Cristo Jesus, nosso Salvador.
TIT.1.5	1	5	For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee: {wanting: or, left undone}	-0.25	negative	A razão de tê-lo deixado em Creta foi para que você pusesse em ordem o que ainda faltava e constituísse presbíteros em cada cidade, como eu o instruí.
TIT.1.6	1	6	If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.	0.0	neutral	É preciso que o presbítero seja irrepreensível, marido de uma só mulher, e tenha filhos crentes que não sejam acusados de libertinagem ou de insubmissão.
TIT.1.7	1	7	For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;	-0.65	negative	Por ser encarregado da obra de Deus, é necessário que o bispo seja irrepreensível: não orgulhoso, não briguento, não apegado ao vinho, não violento, nem ávido por lucro desonesto.
TIT.1.8	1	8	But a lover of hospitality, a lover of good men, sober, just, holy, temperate; {men: or, things}	0.4	positive	É preciso, porém, que ele seja hospitaleiro, amigo do bem, sensato, justo, consagrado, tenha domínio próprio
TIT.1.9	1	9	Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers. {as...: or, in teaching}	0.3667	positive	e apegue-se firmemente à mensagem fiel, da maneira como foi ensinada, para que seja capaz de encorajar outros pela sã doutrina e de refutar os que se opõem a ela.
TIT.1.10	1	10	For there are many unruly and vain talkers and deceivers, specially they of the circumcision:	0.4286	positive	Pois há muitos insubordinados, que não passam de faladores e enganadores, especialmente os do grupo da circuncisão.
TIT.1.11	1	11	Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.	-0.3	negative	É necessário que eles sejam silenciados, pois estão arruinando famílias inteiras, ensinando coisas que não devem, e tudo por ganância.
TIT.1.12	1	12	One of themselves, {even} a prophet of their own, said, The Cretians {are} alway liars, evil beasts, slow bellies.	-0.2333	negative	"Um dos seus próprios profetas chegou a dizer: ""Cretenses, sempre mentirosos, feras malignas, glutões preguiçosos""."
TIT.1.13	1	13	This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;	0.2083	positive	Tal testemunho é verdadeiro. Portanto, repreenda-os severamente, para que sejam sadios na fé
TIT.1.14	1	14	Not giving heed to Jewish fables, and commandments of men, that turn from the truth.	0.0	neutral	e não dêem atenção a lendas judaicas nem a mandamentos de homens que rejeitam a verdade.
TIT.1.15	1	15	Unto the pure all things {are} pure: but unto them that are defiled and unbelieving {is} nothing pure; but even their mind and conscience is defiled.	0.2143	positive	Para os puros, todas as coisas são puras; mas para os impuros e descrentes, nada é puro. De fato, tanto a mente como a consciência deles estão corrompidas.
TIT.1.16	1	16	They profess that they know God; but in works they deny {him}, being abominable, and disobedient, and unto every good work reprobate. {reprobate: or, void of judgment}	0.7	positive	Eles afirmam que conhecem a Deus, mas por seus atos o negam; são detestáveis, desobedientes e desqualificados para qualquer boa obra.
