verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ECC.1.1	1	1	The words of the Preacher, the son of David, king in Jerusalem.	0.0	neutral	PALABRAS del Predicador, hijo de David, rey en Jerusalem.
ECC.1.2	1	2	Vanity of vanities, saith the Preacher, vanity of vanities; all {is} vanity.	0.0	neutral	Vanidad de vanidades, dijo el Predicador; vanidad de vanidades, todo vanidad.
ECC.1.3	1	3	What profit hath a man of all his labour which he taketh under the sun?	0.0	neutral	¿Qué provecho tiene el hombre de todo su trabajo con que se afana debajo del sol?
ECC.1.4	1	4	{One} generation passeth away, and {another} generation cometh: but the earth abideth for ever.	0.0	neutral	Generación va, y generación viene: mas la tierra siempre permanece.
ECC.1.5	1	5	The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose. {hasteth: Heb. panteth}	-0.1556	negative	Y sale el sol, y pónese el sol, y con deseo vuelve á su lugar donde torna á nacer.
ECC.1.6	1	6	The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.	0.0	neutral	El viento tira hacia el mediodía, y rodea al norte; va girando de continuo, y á sus giros torna el viento de nuevo.
ECC.1.7	1	7	All the rivers run into the sea; yet the sea {is} not full; unto the place from whence the rivers come, thither they return again. {return...: Heb. return to go}	-0.175	negative	Los ríos todos van á la mar, y la mar no se hinche; al lugar de donde los ríos vinieron, allí tornan para correr de nuevo.
ECC.1.8	1	8	All things {are} full of labour; man cannot utter {it}: the eye is not satisfied with seeing, nor the ear filled with hearing.	0.125	positive	Todas las cosas andan en trabajo mas que el hombre pueda decir: ni los ojos viendo se hartan de ver, ni los oídos se hinchen de oir.
ECC.1.9	1	9	The thing that hath been, it {is that} which shall be; and that which is done {is} that which shall be done: and {there is} no new {thing} under the sun.	-0.0682	neutral	¿Qué es lo que fué? Lo mismo que será. ¿Qué es lo que ha sido hecho? Lo mismo que se hará: y nada hay nuevo debajo del sol.
ECC.1.10	1	10	Is there {any} thing whereof it may be said, See, this {is} new? it hath been already of old time, which was before us.	0.1182	positive	¿Hay algo de que se pueda decir: He aquí esto es nuevo? Ya fué en los siglos que nos han precedido.
