verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
1TH.1.1	1	1	Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians {which is} in God the Father and {in} the Lord Jesus Christ: Grace {be} unto you, and peace, from God our Father, and the Lord Jesus Christ.	0.0	neutral	Paulo, Silvano e Timóteo, à igreja dos tessalonicenses, em Deus Pai e no Senhor Jesus Cristo: A vocês, graça e paz da parte de Deus e de nosso Senhor Jesus Cristo.
1TH.1.2	1	2	We give thanks to God always for you all, making mention of you in our prayers;	0.2	positive	Sempre damos graças a Deus por todos vocês, mencionando-os em nossas orações.
1TH.1.3	1	3	Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;	0.5	positive	Lembramos continuamente, diante de nosso Deus e Pai, o que vocês têm demonstrado: o trabalho que resulta da fé, o esforço motivado pelo amor e a perseverança proveniente da esperança em nosso Senhor Jesus Cristo.
1TH.1.4	1	4	Knowing, brethren beloved, your election of God. {beloved...: or, beloved of God, your election}	0.7	positive	Sabemos, irmãos, amados de Deus, que ele os escolheu
1TH.1.5	1	5	For our gospel came not unto you in word only, but also in power, and in the Holy Ghost, and in much assurance; as ye know what manner of men we were among you for your sake.	0.1	neutral	porque o nosso evangelho não chegou a vocês somente em palavra, mas também em poder, no Espírito Santo e em plena convicção. Vocês sabem como procedemos entre vocês, em seu favor.
1TH.1.6	1	6	And ye became followers of us, and of the Lord, having received the word in much affliction, with joy of the Holy Ghost:	0.5	positive	De fato, vocês se tornaram nossos imitadores e do Senhor; apesar de muito sofrimento, receberam a palavra com alegria que vem do Espírito Santo.
1TH.1.7	1	7	So that ye were ensamples to all that believe in Macedonia and Achaia.	0.0	neutral	E, assim, tornaram-se modelo para todos os crentes que estão na Macedônia e na Acaia.
1TH.1.8	1	8	For from you sounded out the word of the Lord not only in Macedonia and Achaia, but also in every place your faith to God-ward is spread abroad; so that we need not to speak any thing.	0.0	neutral	Porque, partindo de vocês, propagou-se a mensagem do Senhor na Macedônia e na Acaia. Não somente isso, mas também por toda parte tornou-se conhecida a fé que vocês têm em Deus. O resultado é que não temos necessidade de dizer mais nada sobre isso,
1TH.1.9	1	9	For they themselves shew of us what manner of entering in we had unto you, and how ye turned to God from idols to serve the living and true God;	0.35	positive	pois eles mesmos relatam de que maneira vocês nos receberam, como se voltaram para Deus, deixando os ídolos a fim de servir ao Deus vivo e verdadeiro,
1TH.1.10	1	10	And to wait for his Son from heaven, whom he raised from the dead, {even} Jesus, which delivered us from the wrath to come.	-0.2	negative	e esperar dos céus a seu Filho, a quem ressuscitou dos mortos: Jesus, que nos livra da ira que há de vir.
1TH.2.1	2	1	For yourselves, brethren, know our entrance in unto you, that it was not in vain:	0.0	neutral	Irmãos, vocês mesmos sabem que a visita que lhes fizemos não foi inútil.
