verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
EST.1.1	1	1	Now it came to pass in the days of Ahasuerus, (this {is} Ahasuerus which reigned, from India even unto Ethiopia, {over} an hundred and seven and twenty provinces:)	0.5	positive	Foi no tempo de Xerxes, que reinou sobre cento e vinte e sete províncias, desde a Índia até a Etiópia:
EST.1.2	1	2	{That} in those days, when the king Ahasuerus sat on the throne of his kingdom, which {was} in Shushan the palace,	0.0	neutral	naquela época o rei Xerxes reinava em seu trono na cidadela de Susã
EST.1.3	1	3	In the third year of his reign, he made a feast unto all his princes and his servants; the power of Persia and Media, the nobles and princes of the provinces, {being} before him:	0.0	neutral	e, no terceiro ano do seu reinado, deu um banquete a todos os seus nobres e seus oficiais. Estavam presentes os líderes militares da Pérsia e da Média, os príncipes e os nobres das províncias.
EST.1.4	1	4	When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days, {even} an hundred and fourscore days.	0.75	positive	Durante cento e oitenta dias ele mostrou a enorme riqueza de seu reino e o esplendor e a glória de sua majestade.
EST.1.5	1	5	And when these days were expired, the king made a feast unto all the people that were present in Shushan the palace, both unto great and small, seven days, in the court of the garden of the king's palace; {present: Heb. found}	0.1375	positive	Terminados esses dias, no jardim interno do palácio, o rei deu um banquete de sete dias para todo o povo que estava na cidadela de Susã, do mais rico ao mais pobre.
EST.1.6	1	6	{Where were} white, green, and blue, {hangings}, fastened with cords of fine linen and purple to silver rings and pillars of marble: the beds {were of} gold and silver, upon a pavement of red, and blue, and white, and black, marble. {blue, hangings: or, violet, etc} {of red...: or, of porphyre, and marble and alabaster, and stone of blue colour}	0.0045	neutral	O jardim possuía forrações em branco e azul, presas com cordas de linho branco, tecido vermelho ligado por anéis de prata em colunas de mármore. Tinha assentos de ouro e prata num piso de mosaicos de pórfiro, mármore, madrepérola e outras pedras preciosas.
EST.1.7	1	7	And they gave {them} drink in vessels of gold, (the vessels being diverse one from another,) and royal wine in abundance, according to the state of the king. {royal...: Heb. wine of the kingdom} {state: Heb. hand}	0.0	neutral	Pela generosidade do rei, o vinho real era servido em grande quantidade, em diferentes taças de ouro.
EST.1.8	1	8	And the drinking {was} according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man's pleasure.	0.0	neutral	Por ordem real, cada convidado tinha permissão de beber conforme desejasse, pois o rei tinha instruído todos os mordomos do palácio que os servissem à vontade.
EST.1.9	1	9	Also Vashti the queen made a feast for the women {in} the royal house which {belonged} to king Ahasuerus.	0.0	neutral	Enquanto isso, a rainha Vasti também oferecia um banquete às mulheres, no palácio do rei Xerxes.
EST.1.10	1	10	On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven chamberlains that served in the presence of Ahasuerus the king, {chamberlains: or, eunuchs}	0.0	neutral	Ao sétimo dia, quando o rei Xerxes já estava alegre por causa do vinho, ordenou que os sete oficiais que o serviam: Meumã, Bizta, Harbona, Bigtá, Abagta, Zetar e Carcas,
EST.1.11	1	11	To bring Vashti the queen before the king with the crown royal, to shew the people and the princes her beauty: for she {was} fair to look on. {fair...: Heb. good of countenance}	0.7	positive	trouxessem à sua presença a rainha Vasti, usando a coroa real, para mostrar sua beleza aos súditos e aos nobres, pois ela era muito bonita.
EST.1.12	1	12	But the queen Vashti refused to come at the king's commandment by {his} chamberlains: therefore was the king very wroth, and his anger burned in him. {by his...: Heb. which was by the hand of his eunuchs}	-0.25	negative	Quando, porém, os oficiais transmitiram a ordem do rei à rainha Vasti, esta se recusou a ir, de modo que o rei ficou furioso e indignado.
EST.1.13	1	13	Then the king said to the wise men, which knew the times, (for so {was} the king's manner toward all that knew law and judgment:	0.7	positive	Como era costume o rei consultar especialistas em questões de direito e justiça, ele mandou chamar os sábios que entendiam das leis
EST.1.14	1	14	And the next unto him {was} Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, {and} Memucan, the seven princes of Persia and Media, which saw the king's face, {and} which sat the first in the kingdom;)	0.1667	positive	e eram muito amigos do rei: Carsena, Setar, Adamata, Társis, Meres, Marsena e Memucã; os sete nobres da Pérsia e da Média que tinham acesso direto ao rei e eram os mais importantes do reino.
EST.1.15	1	15	What shall we do unto the queen Vashti according to law, because she hath not performed the commandment of the king Ahasuerus by the chamberlains? {What...: Heb. What to do}	0.0	neutral	"E o rei lhes perguntou: ""De acordo com a lei, o que se deve fazer à rainha Vasti? Ela não obedeceu à ordem do rei Xerxes transmitida pelos oficiais""."
EST.1.16	1	16	And Memucan answered before the king and the princes, Vashti the queen hath not done wrong to the king only, but also to all the princes, and to all the people that {are} in all the provinces of the king Ahasuerus.	-0.25	negative	"Então Memucã respondeu na presença do rei e dos nobres: ""A rainha Vasti não ofendeu somente ao rei, mas também a todos os nobres e os povos de todas as províncias do rei Xerxes,"
EST.1.17	1	17	For {this} deed of the queen shall come abroad unto all women, so that they shall despise their husbands in their eyes, when it shall be reported, The king Ahasuerus commanded Vashti the queen to be brought in before him, but she came not.	0.0	neutral	pois a conduta da rainha se tornará conhecida entre todas as mulheres, e assim também elas desprezarão seus maridos e dirão: 'O rei Xerxes ordenou que a rainha Vasti fosse à sua presença, mas ela não foi'.
EST.1.18	1	18	{Likewise} shall the ladies of Persia and Media say this day unto all the king's princes, which have heard of the deed of the queen. Thus {shall there arise} too much contempt and wrath.	0.2	positive	Hoje mesmo as mulheres persas e medas da nobreza que ficarem sabendo do comportamento da rainha agirão da mesma maneira com todos os nobres do rei. Isso provocará desrespeito e discórdia sem fim.
EST.1.19	1	19	If it please the king, let there go a royal commandment from him, and let it be written among the laws of the Persians and the Medes, that it be not altered, That Vashti come no more before king Ahasuerus; and let the king give her royal estate unto another that is better than she. {If it...: Heb. If it be good with the king} {unto...: Heb. unto her companion} {from him: Heb. from before him} {be not...: Heb. pass not away}	0.3167	positive	"""Por isso, se for do agrado do rei, que ele emita um decreto real, e que seja escrito na lei da Pérsia e da Média, que não se pode revogar, determinando que Vasti nunca mais compareça na presença do rei Xerxes. Também dê o rei a sua posição de rainha a outra que seja melhor do que ela."
EST.1.20	1	20	And when the king's decree which he shall make shall be published throughout all his empire, (for it is great,) all the wives shall give to their husbands honour, both to great and small.	0.45	positive	"Assim, quando o decreto real for proclamado por todo o seu imenso domínio, todas as mulheres respeitarão seus maridos, do mais rico ao mais pobre""."
EST.1.21	1	21	And the saying pleased the king and the princes; and the king did according to the word of Memucan: {pleased...: Heb. was good in the eyes of the king}	0.2375	positive	O rei e seus nobres ficaram satisfeitos com o conselho, de modo que o rei acatou a proposta de Memucã.
EST.1.22	1	22	For he sent letters into all the king's provinces, into every province according to the writing thereof, and to every people after their language, that every man should bear rule in his own house, and that {it} should be published according to the language of every people. {that it...: Heb. that one should publish it according to the language of his people}	0.6	positive	Assim enviou cartas a todas as partes do reino, a cada província e a cada povo em sua própria escrita e em sua própria língua, proclamando que cada homem deveria mandar em sua própria casa.
EST.2.1	2	1	After these things, when the wrath of king Ahasuerus was appeased, he remembered Vashti, and what she had done, and what was decreed against her.	0.0	neutral	Depois disso, quando cessou a indignação do rei Xerxes, ele se lembrou de Vasti, do que ela havia feito e do que ele tinha decretado contra ela.
EST.2.2	2	2	Then said the king's servants that ministered unto him, Let there be fair young virgins sought for the king:	0.4	positive	Então os conselheiros do rei sugeriram que se procurassem virgens lindas para o rei
EST.2.3	2	3	And let the king appoint officers in all the provinces of his kingdom, that they may gather together all the fair young virgins unto Shushan the palace, to the house of the women, unto the custody of Hege the king's chamberlain, keeper of the women; and let their things for purification be given {them}: {unto the...: Heb. unto the hand} {Hege: also called, Hegai}	0.0167	neutral	e que se nomeassem comissários em cada província do império para trazer todas essas lindas moças ao harém da cidadela de Susã. Elas estariam sob os cuidados de Hegai, oficial responsável pelo harém; e deveriam receber tratamento de beleza.
EST.2.4	2	4	And let the maiden which pleaseth the king be queen instead of Vashti. And the thing pleased the king; and he did so.	0.5	positive	A moça que mais agradasse o rei seria rainha no lugar de Vasti. Esse conselho agradou o rei, e ele o acatou.
EST.2.5	2	5	{Now} in Shushan the palace there was a certain Jew, whose name {was} Mordecai, the son of Jair, the son of Shimei, the son of Kish, a Benjamite;	0.2143	positive	Ora, na cidadela de Susã havia um judeu chamado Mardoqueu, da tribo de Benjamim, filho de Jair, neto de Simei e bisneto de Quis,
EST.2.6	2	6	Who had been carried away from Jerusalem with the captivity which had been carried away with Jeconiah king of Judah, whom Nebuchadnezzar the king of Babylon had carried away. {Jeconiah: also called, Jehoiachin}	0.0	neutral	que fora levado de Jerusalém para o exílio por Nabucodonosor, rei da Babilônia, entre os que foram levados prisioneiros com Joaquim, rei de Judá.
EST.2.7	2	7	And he brought up Hadassah, that {is}, Esther, his uncle's daughter: for she had neither father nor mother, and the maid {was} fair and beautiful; whom Mordecai, when her father and mother were dead, took for his own daughter. {brought...: Heb. nourished} {fair...: Heb. fair of form, and good of countenance}	0.5786	positive	Mardoqueu tinha uma prima chamada Hadassa, que havia sido criada por ele, por não ter pai nem mãe. Essa moça, também conhecida como Ester, era atraente e muito bonita, e Mardoqueu a havia tomado como filha quando o pai e a mãe dela morreram.
EST.2.8	2	8	So it came to pass, when the king's commandment and his decree was heard, and when many maidens were gathered together unto Shushan the palace, to the custody of Hegai, that Esther was brought also unto the king's house, to the custody of Hegai, keeper of the women.	0.5	positive	Quando a ordem e o decreto do rei foram proclamados, muitas moças foram trazidas à cidadela de Susã e colocadas sob os cuidados de Hegai. Ester também foi trazida ao palácio do rei e confiada a Hegai, encarregado do harém.
EST.2.9	2	9	And the maiden pleased him, and she obtained kindness of him; and he speedily gave her her things for purification, with such things as belonged to her, and seven maidens, {which were} meet to be given her, out of the king's house: and he preferred her and her maids unto the best {place} of the house of the women. {such...: Heb. her portions} {preferred: Heb. changed}	0.375	positive	A moça o agradou e ele a favoreceu. Ele logo lhe providenciou tratamento de beleza e comida especial. Designou-lhe sete moças escolhidas do palácio do rei e transferiu-a, junto com suas jovens, para o melhor lugar do harém.
EST.2.10	2	10	Esther had not shewed her people nor her kindred: for Mordecai had charged her that she should not shew {it}.	0.0	neutral	Ester não tinha revelado a que povo pertencia nem a origem da sua família, pois Mardoqueu a havia proibido de fazê-lo.
