verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
EST.1.1	1	1	Now it came to pass in the days of Ahasuerus, (this {is} Ahasuerus which reigned, from India even unto Ethiopia, {over} an hundred and seven and twenty provinces:)	0.5	positive	Y ACONTECIO en los días de Assuero, (el Assuero que reinó desde la India hasta la Etiopía sobre ciento veinte y siete provincias,)
EST.1.2	1	2	{That} in those days, when the king Ahasuerus sat on the throne of his kingdom, which {was} in Shushan the palace,	0.0	neutral	Que en aquellos días, asentado que fué el rey Assuero en la silla de su reino, la cual estaba en Susán capital del reino,
EST.1.3	1	3	In the third year of his reign, he made a feast unto all his princes and his servants; the power of Persia and Media, the nobles and princes of the provinces, {being} before him:	0.0	neutral	En el tercer año de su reinado hizo banquete á todos sus príncipes y siervos, teniendo delante de él la fuerza de Persia y de Media, gobernadores y príncipes de provincias,
EST.1.4	1	4	When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days, {even} an hundred and fourscore days.	0.75	positive	Para mostrar él las riquezas de la gloria de su reino, y el lustre de la magnificencia de su poder, por muchos días, ciento y ochenta días.
EST.1.5	1	5	And when these days were expired, the king made a feast unto all the people that were present in Shushan the palace, both unto great and small, seven days, in the court of the garden of the king's palace; {present: Heb. found}	0.1375	positive	Y cumplidos estos días, hizo el rey banquete por siete días en el patio del huerto del palacio real á todo el pueblo, desde el mayor hasta el menor que se halló en Susán capital del reino.
EST.1.6	1	6	{Where were} white, green, and blue, {hangings}, fastened with cords of fine linen and purple to silver rings and pillars of marble: the beds {were of} gold and silver, upon a pavement of red, and blue, and white, and black, marble. {blue, hangings: or, violet, etc} {of red...: or, of porphyre, and marble and alabaster, and stone of blue colour}	0.0045	neutral	El pabellón era de blanco, verde, y cárdeno, tendido sobre cuerdas de lino y púrpura en sortijas de plata y columnas de mármol: los reclinatorios de oro y de plata, sobre losado de pórfido y de mármol, y de alabastro y de jacinto.
EST.1.7	1	7	And they gave {them} drink in vessels of gold, (the vessels being diverse one from another,) and royal wine in abundance, according to the state of the king. {royal...: Heb. wine of the kingdom} {state: Heb. hand}	0.0	neutral	Y daban á beber en vasos de oro, y vasos diferentes unos de otros, y mucho vino real, conforme á la facultad del rey.
EST.1.8	1	8	And the drinking {was} according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man's pleasure.	0.0	neutral	Y la bebida fué según esta ley: Que nadie constriñese; porque así lo había mandado el rey á todos los mayordomos de su casa; que se hiciese según la voluntad de cada uno.
EST.1.9	1	9	Also Vashti the queen made a feast for the women {in} the royal house which {belonged} to king Ahasuerus.	0.0	neutral	Asimismo la reina Vasthi hizo banquete de mujeres, en la casa real del rey Assuero.
EST.1.10	1	10	On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven chamberlains that served in the presence of Ahasuerus the king, {chamberlains: or, eunuchs}	0.0	neutral	El séptimo día, estando el corazón del rey alegre del vino, mandó á Mehumán, y á Biztha, y á Harbona, y á Bighta, y á Abagtha, y á Zetar, y á Carcas, siete eunucos que servían delante del rey Assuero,
EST.1.11	1	11	To bring Vashti the queen before the king with the crown royal, to shew the people and the princes her beauty: for she {was} fair to look on. {fair...: Heb. good of countenance}	0.7	positive	Que trajesen á la reina Vasthi delante del rey con la corona regia, para mostrar á los pueblos y á los príncipes su hermosura; porque era linda de aspecto.
EST.1.12	1	12	But the queen Vashti refused to come at the king's commandment by {his} chamberlains: therefore was the king very wroth, and his anger burned in him. {by his...: Heb. which was by the hand of his eunuchs}	-0.25	negative	Mas la reina Vasthi no quiso comparecer á la orden del rey, enviada por mano de los eunucos; y enojóse el rey muy mucho, y encendióse en él su ira.
EST.1.13	1	13	Then the king said to the wise men, which knew the times, (for so {was} the king's manner toward all that knew law and judgment:	0.7	positive	Preguntó entonces el rey á los sabios que sabían los tiempos, (porque así era la costubre del rey para con todos los que sabían la ley y el derecho;
EST.1.14	1	14	And the next unto him {was} Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, {and} Memucan, the seven princes of Persia and Media, which saw the king's face, {and} which sat the first in the kingdom;)	0.1667	positive	Y estaban junto á él, Carsena, y Sethar, y Admatha, y Tharsis, y Meres, y Marsena, y Memucán, siete príncipes de Persia y de Media que veían la cara del rey, y se sentaban los primeros del reino:)
EST.1.15	1	15	What shall we do unto the queen Vashti according to law, because she hath not performed the commandment of the king Ahasuerus by the chamberlains? {What...: Heb. What to do}	0.0	neutral	Qué se había de hacer según la ley con la reina Vasthi, por cuanto no había cumplido la orden del rey Assuero, enviada por mano de los eunucos.
EST.1.16	1	16	And Memucan answered before the king and the princes, Vashti the queen hath not done wrong to the king only, but also to all the princes, and to all the people that {are} in all the provinces of the king Ahasuerus.	-0.25	negative	Y dijo Memucán delante del rey y de los príncipes: No solamente contra el rey ha pecado la reina Vasthi, sino contra todos los príncipes, y contra todos los pueblos que hay en todas las provincias del rey Assuero.
EST.1.17	1	17	For {this} deed of the queen shall come abroad unto all women, so that they shall despise their husbands in their eyes, when it shall be reported, The king Ahasuerus commanded Vashti the queen to be brought in before him, but she came not.	0.0	neutral	Porque este hecho de la reina pasará á noticia de todas las mujeres, para hacerles tener en poca estima á sus maridos, diciendo: El rey Assuero mandó traer delante de sí á la reina Vasthi, y ella no vino.
EST.1.18	1	18	{Likewise} shall the ladies of Persia and Media say this day unto all the king's princes, which have heard of the deed of the queen. Thus {shall there arise} too much contempt and wrath.	0.2	positive	Y entonces dirán esto las señoras de Persia y de Media que oyeren el hecho de la reina, á todos los príncipes del rey: y habrá mucho menosprecio y enojo.
EST.1.19	1	19	If it please the king, let there go a royal commandment from him, and let it be written among the laws of the Persians and the Medes, that it be not altered, That Vashti come no more before king Ahasuerus; and let the king give her royal estate unto another that is better than she. {If it...: Heb. If it be good with the king} {unto...: Heb. unto her companion} {from him: Heb. from before him} {be not...: Heb. pass not away}	0.3167	positive	Si parece bien al rey, salga mandamiento real delante de él, y escríbase entre las leyes de Persia y de Media, y no sea traspasado: Que no venga más Vasthi delante del rey Assuero: y dé el rey su reino á su compañera que sea mejor que ella.
EST.1.20	1	20	And when the king's decree which he shall make shall be published throughout all his empire, (for it is great,) all the wives shall give to their husbands honour, both to great and small.	0.45	positive	Y el mandamiento que hará el rey será oído en todo su reino, aunque es grande, y todas las mujeres darán honra á sus maridos, desde el mayor hasta el menor.
EST.1.21	1	21	And the saying pleased the king and the princes; and the king did according to the word of Memucan: {pleased...: Heb. was good in the eyes of the king}	0.2375	positive	Y plugo esta palabra en ojos del rey y de los príncipes, é hizo el rey conforme al dicho de Memucán;
EST.1.22	1	22	For he sent letters into all the king's provinces, into every province according to the writing thereof, and to every people after their language, that every man should bear rule in his own house, and that {it} should be published according to the language of every people. {that it...: Heb. that one should publish it according to the language of his people}	0.6	positive	Pues envió letras á todas la provincias del rey, á cada provincia conforme á su escribir, y á cada pueblo conforme á su lenguaje, diciendo que todo hombre fuese señor en su casa; y háblese esto según la lengua de su pueblo.
EST.2.1	2	1	After these things, when the wrath of king Ahasuerus was appeased, he remembered Vashti, and what she had done, and what was decreed against her.	0.0	neutral	PASADAS estas cosas, sosegada ya la ira del rey Assuero, acordóse de Vasthi, y de lo que hizo, y de lo que fué sentenciado contra ella.
EST.2.2	2	2	Then said the king's servants that ministered unto him, Let there be fair young virgins sought for the king:	0.4	positive	Y dijeron los criados del rey, sus oficiales: Busquen al rey mozas vírgenes de buen parecer;
EST.2.3	2	3	And let the king appoint officers in all the provinces of his kingdom, that they may gather together all the fair young virgins unto Shushan the palace, to the house of the women, unto the custody of Hege the king's chamberlain, keeper of the women; and let their things for purification be given {them}: {unto the...: Heb. unto the hand} {Hege: also called, Hegai}	0.0167	neutral	Y ponga el rey personas en todas las provincias de su reino, que junte todas las mozas vírgenes de buen parecer en Susán residencia regia, en la casa de las mujeres, al cuidado de Hegai, eunuco del rey, guarda de las mujeres, dándoles sus atavíos;
EST.2.4	2	4	And let the maiden which pleaseth the king be queen instead of Vashti. And the thing pleased the king; and he did so.	0.5	positive	Y la moza que agradare á los ojos del rey, reine en lugar de Vasthi. Y la cosa plugo en ojos del rey, é hízolo así.
EST.2.5	2	5	{Now} in Shushan the palace there was a certain Jew, whose name {was} Mordecai, the son of Jair, the son of Shimei, the son of Kish, a Benjamite;	0.2143	positive	Había un varón Judío en Susán residencia regia, cuyo nombre era Mardochêo, hijo de Jair, hijo de Simi, hijo de Cis, del linaje de Benjamín;
EST.2.6	2	6	Who had been carried away from Jerusalem with the captivity which had been carried away with Jeconiah king of Judah, whom Nebuchadnezzar the king of Babylon had carried away. {Jeconiah: also called, Jehoiachin}	0.0	neutral	El cual había sido trasportado de Jerusalem con los cautivos que fueron llevados con Jechônías rey de Judá, á quien hizo trasportar Nabucodonosor rey de Babilonia.
EST.2.7	2	7	And he brought up Hadassah, that {is}, Esther, his uncle's daughter: for she had neither father nor mother, and the maid {was} fair and beautiful; whom Mordecai, when her father and mother were dead, took for his own daughter. {brought...: Heb. nourished} {fair...: Heb. fair of form, and good of countenance}	0.5786	positive	Y había criado á Hadassa, que es Esther, hija de su tío, porque no tenía padre ni madre; y era moza de hermosa forma y de buen parecer; y como su padre y su madre murieron, Mardochêo la había tomado por hija suya.
EST.2.8	2	8	So it came to pass, when the king's commandment and his decree was heard, and when many maidens were gathered together unto Shushan the palace, to the custody of Hegai, that Esther was brought also unto the king's house, to the custody of Hegai, keeper of the women.	0.5	positive	Sucedió pues, que como se divulgó el mandamiento del rey y su acuerdo, y siendo reunidas muchas mozas en Susán residencia regia, á cargo de Hegai, fué tomada también Esther para casa del rey, al cuidado de Hegai, guarda de las mujeres.
EST.2.9	2	9	And the maiden pleased him, and she obtained kindness of him; and he speedily gave her her things for purification, with such things as belonged to her, and seven maidens, {which were} meet to be given her, out of the king's house: and he preferred her and her maids unto the best {place} of the house of the women. {such...: Heb. her portions} {preferred: Heb. changed}	0.375	positive	Y la moza agradó en sus ojos, y halló gracia delante de él; por lo que hizo darle prestamente sus atavíos y sus raciones, dándole también siete convenientes doncellas de la casa del rey; y pasóla con sus doncellas á lo mejor de la casa de las mujeres.
EST.2.10	2	10	Esther had not shewed her people nor her kindred: for Mordecai had charged her that she should not shew {it}.	0.0	neutral	Esther no declaró su pueblo ni su nacimiento; porque Mardochêo le había mandado que no lo declarase.
EST.2.11	2	11	And Mordecai walked every day before the court of the women's house, to know how Esther did, and what should become of her. {to know...: Heb. to know the peace}	0.0	neutral	Y cada día Mardochêo se paseaba delante del patio de la casa de las mujeres, por saber cómo iba á Esther, y qué se hacía de ella.
EST.2.12	2	12	Now when every maid's turn was come to go in to king Ahasuerus, after that she had been twelve months, according to the manner of the women, (for so were the days of their purifications accomplished, {to wit}, six months with oil of myrrh, and six months with sweet odours, and with {other} things for the purifying of the women;)	0.1688	positive	Y como llegaba el tiempo de cada una de las mozas para venir al rey Assuero, al cabo de haber estado ya doce meses conforme á la ley acerca de las mujeres (porque así se cumplía el tiempo de sus atavíos, esto es, seis meses con óleo de mirra, y seis meses con cosas aromáticas y afeites de mujeres),
EST.2.13	2	13	Then thus came {every} maiden unto the king; whatsoever she desired was given her to go with her out of the house of the women unto the king's house.	0.0	neutral	Entonces la moza venía así al rey: todo lo que ella decía se le daba, para venir con ello de la casa de las mujeres hasta la casa del rey.
EST.2.14	2	14	In the evening she went, and on the morrow she returned into the second house of the women, to the custody of Shaashgaz, the king's chamberlain, which kept the concubines: she came in unto the king no more, except the king delighted in her, and that she were called by name.	0.15	positive	Ella venía á la tarde, y á la mañana se volvía á la casa segunda de las mujeres, al cargo de Saasgaz eunuco del rey, guarda de las concubinas: no venía más al rey, salvo si el rey la quería, y era llamada por nombre.
EST.2.15	2	15	Now when the turn of Esther, the daughter of Abihail the uncle of Mordecai, who had taken her for his daughter, was come to go in unto the king, she required nothing but what Hegai the king's chamberlain, the keeper of the women, appointed. And Esther obtained favour in the sight of all them that looked upon her.	0.0	neutral	Y llegado que fué el tiempo de Esther, hija de Abihail tío de Mardochêo, que él se había tomado por hija, para venir al rey, ninguna cosa procuró sino lo que dijo Hegai eunuco del rey, guarda de las mujeres: y ganaba Esther la gracia de todos los que la veían.
EST.2.16	2	16	So Esther was taken unto king Ahasuerus into his house royal in the tenth month, which {is} the month Tebeth, in the seventh year of his reign.	0.0	neutral	Fué pues Esther llevada al rey Assuero á su casa real en el mes décimo, que es el mes de Tebeth, en el año séptimo de su reinado.
EST.2.17	2	17	And the king loved Esther above all the women, and she obtained grace and favour in his sight more than all the virgins; so that he set the royal crown upon her head, and made her queen instead of Vashti. {favour: or, kindness} {in his...: Heb. before him}	0.4	positive	Y el rey amó á Esther sobre todas las mujeres, y halló gracia y benevolencia delante de él más que todas las vírgenes; y puso la corona real en su cabeza, é hízola reina en lugar de Vasthi.
EST.2.18	2	18	Then the king made a great feast unto all his princes and his servants, {even} Esther's feast; and he made a release to the provinces, and gave gifts, according to the state of the king. {release: Heb. rest}	0.8	positive	Hizo luego el rey gran banquete á todos sus príncipes y siervos, el banquete de Esther; y alivió á las provincias, é hizo y dió mercedes conforme á la facultad real.
EST.2.19	2	19	And when the virgins were gathered together the second time, then Mordecai sat in the king's gate.	0.0	neutral	Y cuando se juntaban las vírgenes la segunda vez, Mardochêo estaba puesto a la puerta el rey.
EST.2.20	2	20	Esther had not {yet} shewed her kindred nor her people; as Mordecai had charged her: for Esther did the commandment of Mordecai, like as when she was brought up with him.	0.0	neutral	Y Esther, según le tenía mandado Mardochêo, no había declarado su nación ni su pueblo; porque Esther hacía lo que decía Mardochêo, como cuando con él se educaba.
EST.2.21	2	21	In those days, while Mordecai sat in the king's gate, two of the king's chamberlains, Bigthan and Teresh, of those which kept the door, were wroth, and sought to lay hand on the king Ahasuerus. {Bigthan: also called, Bigthana} {the door: Heb. the threshold}	0.0	neutral	En aquellos días, estando Mardochêo sentado á la puerta del rey, enojáronse Bigthán y Teres, dos eunucos del rey, de la guardia de la puerta, y procuraban poner mano en el rey Assuero.
EST.2.22	2	22	And the thing was known to Mordecai, who told {it} unto Esther the queen; and Esther certified the king {thereof} in Mordecai's name.	0.0	neutral	Mas entendido que fué esto por Mardochêo, él lo denunció á la reina Esther, y Esther lo dijo al rey en nombre de Mardochêo.
EST.2.23	2	23	And when inquisition was made of the matter, it was found out; therefore they were both hanged on a tree: and it was written in the book of the chronicles before the king.	0.0	neutral	Hízose entonces indagación de la cosa, y fué hallada cierta; por tanto, entrambos fueron colgados en una horca. Y escribióse el caso en el libro de las cosas de los tiempos delante del rey.
EST.3.1	3	1	After these things did king Ahasuerus promote Haman the son of Hammedatha the Agagite, and advanced him, and set his seat above all the princes that {were} with him.	0.2	positive	DESPUÉS de estas cosas, el rey Assuero engrandeció á Amán hijo de Amadatha Agageo, y ensalzólo, y puso su silla sobre todos los príncipes que estaban con él.
EST.3.2	3	2	And all the king's servants, that {were} in the king's gate, bowed, and reverenced Haman: for the king had so commanded concerning him. But Mordecai bowed not, nor did {him} reverence.	0.0	neutral	Y todos los siervos del rey que estaban á la puerta del rey, se arrodillaban é inclinaban á Amán, porque así se lo había mandado el rey; pero Mardochêo, ni se orrodillaba ni se humillaba.
EST.3.3	3	3	Then the king's servants, which {were} in the king's gate, said unto Mordecai, Why transgressest thou the king's commandment?	0.0	neutral	Y los siervos del rey que estaban á la puerta, dijeron á Mardochêo: ¿Por qué traspasas el mandamiento del rey?
EST.3.4	3	4	Now it came to pass, when they spake daily unto him, and he hearkened not unto them, that they told Haman, to see whether Mordecai's matters would stand: for he had told them that he {was} a Jew.	0.0	neutral	Y aconteció que, hablándole cada día de esta manera, y no escuchándolos él, denunciáronlo á Amán, por ver si las palabras de Mardochêo se mantendrían; porque ya él les había declarado que era Judío.
EST.3.5	3	5	And when Haman saw that Mordecai bowed not, nor did him reverence, then was Haman full of wrath.	0.35	positive	Y vió Amán que Mardochêo ni se arrodillaba ni se humillaba delante de él; y llenóse de ira.
EST.3.6	3	6	And he thought scorn to lay hands on Mordecai alone; for they had shewed him the people of Mordecai: wherefore Haman sought to destroy all the Jews that {were} throughout the whole kingdom of Ahasuerus, {even} the people of Mordecai.	0.0	neutral	Mas tuvo en poco meter mano en solo Mardochêo; que ya le había declarado el pueblo de Mardochêo: y procuró Amán destruir á todos los Judíos que había en el reino de Assuero, al pueblo de Mardochêo.
EST.3.7	3	7	In the first month, that {is}, the month Nisan, in the twelfth year of king Ahasuerus, they cast Pur, that {is}, the lot, before Haman from day to day, and from month to month, {to} the twelfth {month}, that {is}, the month Adar.	0.25	positive	En el mes primero, que es el mes de Nisán, en el año duodécimo del rey Assuero, fué echada Pur, esto es, la suerte, delante de Amán, de día en día y de mes en mes; y salió el mes duodécimo, que es el mes de Adar.
EST.3.8	3	8	And Haman said unto king Ahasuerus, There is a certain people scattered abroad and dispersed among the people in all the provinces of thy kingdom; and their laws {are} diverse from all people; neither keep they the king's laws: therefore it {is} not for the king's profit to suffer them. {for the...: Heb. meet or, equal, etc}	0.1071	positive	Y dijo Amán al rey Assuero: Hay un pueblo esparcido y dividido entre los pueblos en todas las provincias de tu reino, y sus leyes son diferentes de las de todo pueblo, y no observan las leyes del rey; y al rey no viene provecho de dejarlos.
EST.3.9	3	9	If it please the king, let it be written that they may be destroyed: and I will pay ten thousand talents of silver to the hands of those that have the charge of the business, to bring {it} into the king's treasuries. {that they...: Heb. to destroy them} {pay: Heb. weigh}	-0.1	neutral	Si place al rey, escríbase que sean destruídos; y yo pesaré diez mil talentos de plata en manos de los que manejan la hacienda, para que sean traídos á los tesoros del rey.
EST.3.10	3	10	And the king took his ring from his hand, and gave it unto Haman the son of Hammedatha the Agagite, the Jews' enemy. {enemy: or, oppressor}	0.0	neutral	Entonces el rey quitó su anillo de su mano, y diólo á Amán hijo de Amadatha Agageo, enemigo de los Judíos,
EST.3.11	3	11	And the king said unto Haman, The silver {is} given to thee, the people also, to do with them as it seemeth good to thee.	0.7	positive	Y díjole: La plata propuesta sea para ti, y asimismo el pueblo, para que hagas de él lo que bien te pareciere.
EST.3.12	3	12	Then were the king's scribes called on the thirteenth day of the first month, and there was written according to all that Haman had commanded unto the king's lieutenants, and to the governors that {were} over every province, and to the rulers of every people of every province according to the writing thereof, and {to} every people after their language; in the name of king Ahasuerus was it written, and sealed with the king's ring. {scribes: or, secretaries}	0.25	positive	Entonces fueron llamados los escribanos del rey en el mes primero, á trece del mismo, y fué escrito conforme á todo lo que mandó Amán, á los príncipes del rey, y á los capitanes que estaban sobre cada provincia, y á los príncipes de cada pueblo, á cada provincia según su escritura, y á cada pueblo según su lengua: en nombre del rey Assuero fué escrito, y signado con el anillo del rey.
