verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
RUT.1.1	1	1	Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Bethlehemjudah went to sojourn in the country of Moab, he, and his wife, and his two sons. {ruled: Heb. judged}	0.2143	positive	Na época dos juízes houve fome na terra. Um homem de Belém de Judá, com a mulher e os dois filhos, foi viver por algum tempo nas terras de Moabe.
RUT.1.2	1	2	And the name of the man {was} Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Bethlehemjudah. And they came into the country of Moab, and continued there. {continued: Heb. were}	0.0	neutral	O homem chamava-se Elimeleque, sua mulher Noemi e seus dois filhos Malom e Quiliom. Eram efrateus de Belém de Judá. Chegaram a Moabe, e lá ficaram.
RUT.1.3	1	3	And Elimelech Naomi's husband died; and she was left, and her two sons.	0.0	neutral	Morreu Elimeleque, marido de Noemi, e ela ficou sozinha, com seus dois filhos.
RUT.1.4	1	4	And they took them wives of the women of Moab; the name of the one {was} Orpah, and the name of the other Ruth: and they dwelled there about ten years.	-0.0625	neutral	Eles se casaram com mulheres moabitas, uma chamada Orfa e a outra Rute. Depois de terem morado lá por quase dez anos,
RUT.1.5	1	5	And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.	0.0	neutral	morreram também Malom e Quiliom, e Noemi ficou sozinha, sem os dois filhos e o seu marido.
RUT.1.6	1	6	Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the LORD had visited his people in giving them bread.	0.0	neutral	Quando Noemi soube em Moabe que o Senhor viera em auxílio do seu povo, dando-lhe alimento, decidiu voltar com suas duas noras para a sua terra.
RUT.1.7	1	7	Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.	0.0	neutral	Assim ela, com as duas noras, partiu do lugar onde tinha morado. Enquanto voltavam para a terra de Judá,
RUT.1.8	1	8	And Naomi said unto her two daughters in law, Go, return each to her mother's house: the LORD deal kindly with you, as ye have dealt with the dead, and with me.	0.2	positive	"Noemi disse às duas noras: ""Vão! Voltem para a casa de suas mães! Que o Senhor seja leal com vocês, como vocês foram leais com os falecidos e comigo."
RUT.1.9	1	9	The LORD grant you that ye may find rest, each {of you} in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.	0.0	neutral	"O Senhor conceda que cada uma de vocês encontre segurança no lar doutro marido"". Então deu-lhes beijos de despedida. Mas elas começaram a chorar bem alto"
RUT.1.10	1	10	And they said unto her, Surely we will return with thee unto thy people.	0.5	positive	"e lhe disseram: ""Não! Voltaremos com você para junto de seu povo! """
