verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ACT.17.1	17	1	Now when they had passed through Amphipolis and Apollonia, they came to Thessalonica, where was a synagogue of the Jews:	0.0	neutral	Y PASANDO por Amphípolis y Apolonia, llegaron á Tesalónica, donde estaba la sinagoga de los Judíos.
ACT.17.2	17	2	And Paul, as his manner was, went in unto them, and three sabbath days reasoned with them out of the scriptures,	0.0	neutral	Y Pablo, como acostumbraba, entró á ellos, y por tres sábados disputó con ellos de las Escrituras,
ACT.17.3	17	3	Opening and alleging, that Christ must needs have suffered, and risen again from the dead; and that this Jesus, whom I preach unto you, is Christ. {whom...: or, whom, said he, I preach}	-0.2	negative	Declarando y proponiendo, que convenía que el Cristo padeciese, y resucitase de los muertos; y que Jesús, el cual yo os anuncio, decía él, éste era el Cristo.
ACT.17.4	17	4	And some of them believed, and consorted with Paul and Silas; and of the devout Greeks a great multitude, and of the chief women not a few.	0.45	positive	Y algunos de ellos creyeron, y se juntaron con Pablo y con Silas; y de los Griegos religiosos grande multitud, y mujeres nobles no pocas.
ACT.17.5	17	5	But the Jews which believed not, moved with envy, took unto them certain lewd fellows of the baser sort, and gathered a company, and set all the city on an uproar, and assaulted the house of Jason, and sought to bring them out to the people.	0.2143	positive	Entonces los Judíos que eran incrédulos, teniendo celos, tomaron consigo á algunos ociosos, malos hombres, y juntando compañía, alborotaron la ciudad; y acometiendo á la casa de Jasón, procuraban sacarlos al pueblo.
ACT.17.6	17	6	And when they found them not, they drew Jason and certain brethren unto the rulers of the city, crying, These that have turned the world upside down are come hither also;	-0.0471	neutral	Mas no hallándolos, trajeron á Jasón y á algunos hermanos á los gobernadores de la ciudad, dando voces: Estos que alborotan el mundo, también han venido acá;
ACT.17.7	17	7	Whom Jason hath received: and these all do contrary to the decrees of Caesar, saying that there is another king, {one} Jesus.	0.0	neutral	A los cuales Jasón ha recibido; y todos estos hacen contra los decretos de César, diciendo que hay otro rey, Jesús.
ACT.17.8	17	8	And they troubled the people and the rulers of the city, when they heard these things.	-0.5	negative	Y alborotaron al pueblo y á los gobernadores de la ciudad, oyendo estas cosas.
ACT.17.9	17	9	And when they had taken security of Jason, and of the other, they let them go.	-0.125	negative	Mas recibida satisfacción de Jasón y de los demás, los soltaron.
ACT.17.10	17	10	And the brethren immediately sent away Paul and Silas by night unto Berea: who coming {thither} went into the synagogue of the Jews.	0.0	neutral	Entonces los hermanos, luego de noche, enviaron á Pablo y á Silas á Berea; los cuales habiendo llegado, entraron en la sinagoga de los Judíos.
ACT.17.11	17	11	These were more noble than those in Thessalonica, in that they received the word with all readiness of mind, and searched the scriptures daily, whether those things were so.	0.3667	positive	Y fueron estós más nobles que los que estaban en Tesalónica, pues recibieron la palabra con toda solicitud, escudriñando cada día las Escrituras, si estas cosas eran así.
ACT.17.12	17	12	Therefore many of them believed; also of honourable women which were Greeks, and of men, not a few.	0.3	positive	Así que creyeron muchos de ellos; y mujeres Griegas de distinción, y no pocos hombres.
ACT.17.13	17	13	But when the Jews of Thessalonica had knowledge that the word of God was preached of Paul at Berea, they came thither also, and stirred up the people.	0.0	neutral	Mas como entendieron los Judíos de Tesalónica que también en Berea era anunciada la palabra de Dios por Pablo, fueron, y también allí tumultuaron al pueblo.
ACT.17.14	17	14	And then immediately the brethren sent away Paul to go as it were to the sea: but Silas and Timotheus abode there still.	0.0	neutral	Empero luego los hermanos enviaron á Pablo que fuese como á la mar; y Silas y Timoteo se quedaron allí.
ACT.17.15	17	15	And they that conducted Paul brought him unto Athens: and receiving a commandment unto Silas and Timotheus for to come to him with all speed, they departed.	0.0	neutral	Y los que habían tomado á cargo á Pablo, le llevaron hasta Atenas; y tomando encargo para Silas y Timoteo, que viniesen á él lo más presto que pudiesen, partieron.
ACT.17.16	17	16	Now while Paul waited for them at Athens, his spirit was stirred in him, when he saw the city wholly given to idolatry. {wholly...: or, full of idols}	0.35	positive	Y esperándolos Pablo en Atenas, su espíritu se deshacía en él viendo la ciudad dada á idolatría.
ACT.17.17	17	17	Therefore disputed he in the synagogue with the Jews, and with the devout persons, and in the market daily with them that met with him.	0.0	neutral	Así que, disputaba en la sinagoga con los Judíos y religiosos; y en la plaza cada día con los que le ocurrían.
ACT.17.18	17	18	Then certain philosophers of the Epicureans, and of the Stoicks, encountered him. And some said, What will this babbler say? other some, He seemeth to be a setter forth of strange gods: because he preached unto them Jesus, and the resurrection. {babbler: or, base fellow}	-0.1902	negative	Y algunos filósofos de los Epicúreos y de los Estóicos, disputaban con él; y unos decían: ¿Qué quiere decir este palabrero? Y otros: Parece que es predicador de nuevos dioses: porque les predicaba á Jesús y la resurrección.
ACT.17.19	17	19	And they took him, and brought him unto Areopagus, saying, May we know what this new doctrine, whereof thou speakest, {is}? {Areopagus: or, Mars' hill: it was the highest court in Athens}	0.1364	positive	Y tomándole, le trajeron al Areópago, diciendo: ¿Podremos saber qué sea esta nueva doctrina que dices?
ACT.17.20	17	20	For thou bringest certain strange things to our ears: we would know therefore what these things mean.	-0.0494	neutral	Porque pones en nuestros oídos unas nuevas cosas: queremos pues saber qué quiere ser esto.
ACT.17.21	17	21	(For all the Athenians and strangers which were there spent their time in nothing else, but either to tell, or to hear some new thing.)	0.0182	neutral	(Entonces todos los Atenienses y los huéspedes extranjeros, en ningun otra cosa entendían, sino ó en decir ó en oir alguna cosa nueva.)
ACT.17.22	17	22	Then Paul stood in the midst of Mars' hill, and said, {Ye} men of Athens, I perceive that in all things ye are too superstitious. {Mars' hill: or, the court of the Areopagites}	0.0	neutral	Estando pues Pablo en medio del Areópago, dijo: Varones Atenienses, en todo os veo como más superticiosos;
ACT.17.23	17	23	For as I passed by, and beheld your devotions, I found an altar with this inscription, TO THE UNKNOWN GOD. Whom therefore ye ignorantly worship, him declare I unto you. {devotions: or, gods that ye worship}	-0.1	neutral	Porque pasando y mirando vuestros santuarios, hallé también un altar en el cual estaba esta inscripción: AL DIOS NO CONOCIDO. Aquél pues, que vosotros honráis sin conocerle, á éste os anuncio yo.
ACT.17.24	17	24	God that made the world and all things therein, seeing that he is Lord of heaven and earth, dwelleth not in temples made with hands;	0.0	neutral	El Dios que hizo el mundo y todas las cosas que en él hay, éste, como sea Señor del cielo y de la tierra, no habita en templos hechos de manos,
