verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
LAM.1.1	1	1	How doth the city sit solitary, {that was} full of people! {how} is she become as a widow! she {that was} great among the nations, {and} princess among the provinces, {how} is she become tributary!	0.7734	positive	¡COMO está sentada sola la ciudad populosa! La grande entre las naciones se ha vuelto como viuda, La señora de provincias es hecha tributaria.
LAM.1.2	1	2	She weepeth sore in the night, and her tears {are} on her cheeks: among all her lovers she hath none to comfort {her}: all her friends have dealt treacherously with her, they are become her enemies.	0.0	neutral	Amargamente llora en la noche, y sus lágrimas en sus mejillas; No tiene quien la consuele de todos sus amadores: Todos sus amigos le faltaron, volviéronsele enemigos.
LAM.1.3	1	3	Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits. {because of great...: Heb. for the greatness of servitude}	0.8	positive	Fuése Judá, a causa de la aflicción y de la grandeza de servidumbre; Ella moró entre las gentes, y no halló descanso: Todos sus perseguidores la alcanzaron entre estrechuras.
LAM.1.4	1	4	The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she {is} in bitterness.	0.0	neutral	Las calzadas de Sión tienen luto, porque no hay quien venga á las solemnidades; Todas sus puertas están asoladas, sus sacerdotes gimen, Sus vírgenes afligidas, y ella tiene amargura.
LAM.1.5	1	5	Her adversaries are the chief, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.	0.0	neutral	Sus enemigos han sido hechos cabeza, sus aborrecedores fueron prosperados; Porque Jehová la afligió por la multitud de sus rebeliones: Sus niños fueron en cautividad delante del enemigo.
LAM.1.6	1	6	And from the daughter of Zion all her beauty is departed: her princes are become like harts {that} find no pasture, and they are gone without strength before the pursuer.	0.0	neutral	Fuése de la hija de Sión toda su hermosura: Sus príncipes fueron como ciervos que no hallan pasto, Y anduvieron sin fortaleza delante del perseguidor.
LAM.1.7	1	7	Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, {and} did mock at her sabbaths. {pleasant: or, desirable}	0.5222	positive	Jerusalem, cuando cayó su pueblo en mano del enemigo y no hubo quien le ayudase, Se acordó de los días de su aflicción, y de sus rebeliones, Y de todas sus cosas deseables que tuvo desde los tiempos antiguos: Miráronla los enemigos, y escarnecieron de sus sábados.
LAM.1.8	1	8	Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward. {is...: Heb. is become a removing, or, wandering}	-0.8	negative	Pecado cometió Jerusalem; por lo cual ella ha sido removida: Todos los que la honraban la han menospreciado, porque vieron su vergüenza; Y ella suspira, y se vuelve atrás.
LAM.1.9	1	9	Her filthiness {is} in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O LORD, behold my affliction: for the enemy hath magnified {himself}.	0.2815	positive	Sus inmundicias en sus faldas; no se acordó de su postrimería: Por tanto ella ha descendido maravillosamente, no tiene consolador. Mira, oh Jehová, mi aflicción, porque el enemigo se ha engrandecido.
LAM.1.10	1	10	The adversary hath spread out his hand upon all her pleasant things: for she hath seen {that} the heathen entered into her sanctuary, whom thou didst command {that} they should not enter into thy congregation. {pleasant: or, desirable}	0.7333	positive	Extendió su mano el enemigo á todas sus cosas preciosas; Y ella ha visto entrar en su santuario las gentes, De las cuales mandaste que no entrasen en tu congregación.
