verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
3JN.1.1	1	1	The elder unto the wellbeloved Gaius, whom I love in the truth. {in...: or, truly}	0.5	positive	EL anciano al muy amado Gaio, al cual yo amo en verdad.
3JN.1.2	1	2	Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth. {wish: or, pray}	0.35	positive	Amado, yo deseo que tú seas prosperado en todas cosas, y que tengas salud, así como tu alma está en prosperidad.
3JN.1.3	1	3	For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.	0.8	positive	Ciertamente me gocé mucho cuando vinieron los hermanos y dieron testimonio de tu verdad, así como tú andas en la verdad.
3JN.1.4	1	4	I have no greater joy than to hear that my children walk in truth.	0.275	positive	No tengo yo mayor gozo que éste, el oir que mis hijos andan en la verdad.
3JN.1.5	1	5	Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;	0.7	positive	Amado, fielmente haces todo lo que haces para con los hermanos, y con los extranjeros,
3JN.1.6	1	6	Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well: {after...: Gr. worthy of God}	-0.2083	negative	Los cuales han dado testimonio de tu amor en presencia de la iglesia: á los cuales si ayudares como conviene según Dios, harás bien.
3JN.1.7	1	7	Because that for his name's sake they went forth, taking nothing of the Gentiles.	0.0	neutral	Porque ellos partieron por amor de su nombre, no tomando nada de los Gentiles.
3JN.1.8	1	8	We therefore ought to receive such, that we might be fellowhelpers to the truth. {fellowhelpers: or, joint-labourers}	0.0	neutral	Nosotros, pues, debemos recibir á los tales, para que seamos cooperadores á la verdad.
3JN.1.9	1	9	I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.	0.0	neutral	Yo he escrito á la iglesia: mas Diótrefes, que ama tener el primado entre ellos, no nos recibe.
3JN.1.10	1	10	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth {them} out of the church.	0.0	neutral	Por esta causa, si yo viniere, recordaré las obras que hace parlando con palabras maliciosas contra nosotros; y no contento con estas cosas, no recibe á los hermanos, y prohibe á los que los quieren recibir, y los echa de la iglesia.
3JN.1.11	1	11	Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God.	0.02	neutral	Amado, no sigas lo que es malo, sino lo que es bueno. El que hace bien es de Dios: mas el que hace mal, no ha visto á Dios.
3JN.1.12	1	12	Demetrius hath good report of all {men}, and of the truth itself: yea, and we {also} bear record; and ye know that our record is true.	0.525	positive	Todos dan testimonio de Demetrio, y aun la misma verdad: y también nosotros damos testimonio; y vosotros habéis conocido que nuestro testimonio es verdadero.
3JN.1.13	1	13	I had many things to write, but I will not with ink and pen write unto thee:	0.5	positive	Yo tenía muchas cosas que escribirte; empero no quiero escribirte por tinta y pluma:
3JN.1.14	1	14	But I trust I shall shortly see thee, and we shall speak face to face.	0.0	neutral	Porque espero verte en breve, y hablaremos boca á boca. sea contigo. Los amigos te saludan. Saluda tú á los amigos por nombre.
