verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JON.1.1	1	1	Now the word of the LORD came unto Jonah the son of Amittai, saying, {Jonah: Gr. Jonas}	0.0	neutral	A palavra do Senhor veio a Jonas, filho de Amitai com esta ordem:
JON.1.2	1	2	Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.	0.8	positive	"""Vá depressa à grande cidade de Nínive e pregue contra ela, porque a sua maldade subiu até a minha presença""."
JON.1.3	1	3	But Jonah rose up to flee unto Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.	0.0963	neutral	Mas Jonas fugiu da presença do Senhor, dirigindo-se para Társis. Desceu à cidade de Jope, onde encontrou um navio que se destinava àquele porto. Depois de pagar a passagem, embarcou para Társis, para fugir do Senhor.
JON.1.4	1	4	But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken. {sent out: Heb. cast forth} {was like...: Heb. thought to be broken}	0.1	neutral	O Senhor, porém, fez soprar um forte vento sobre o mar, e caiu uma tempestade tão violenta que o barco ameaçava arrebentar-se.
JON.1.5	1	5	Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that {were} in the ship into the sea, to lighten {it} of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.	-0.1852	negative	Todos os marinheiros ficaram com medo e cada um clamava ao seu próprio deus. E atiraram as cargas ao mar para tornar mais leve o navio. Enquanto isso, Jonas, que tinha descido para o porão e se deitado, dormia profundamente.
JON.1.6	1	6	So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.	0.0	neutral	"O capitão dirigiu-se a ele e disse: ""Como você pode ficar aí dormindo? Levante-se e clame ao seu deus! Talvez ele tenha piedade de nós e não morramos""."
JON.1.7	1	7	And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil {is} upon us. So they cast lots, and the lot fell upon Jonah.	-1.0	negative	"Então os marinheiros combinaram entre si: ""Vamos tirar sortes para descobrir quem é o responsável por esta desgraça que se abateu sobre nós"". Tiraram sortes, e a sorte caiu sobre Jonas."
JON.1.8	1	8	Then said they unto him, Tell us, we pray thee, for whose cause this evil {is} upon us; What {is} thine occupation? and whence comest thou? what {is} thy country? and of what people {art} thou?	-1.0	negative	"Por isso lhe perguntaram: ""Diga-nos, quem é o responsável por esta calamidade? Qual é a sua profissão? De onde você vem? Qual é a sua terra? A que povo você pertence? """
JON.1.9	1	9	And he said unto them, I {am} an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry {land}. {the LORD: or, JEHOVAH}	-0.0667	neutral	"Ele respondeu: ""Eu sou hebreu, adorador do Senhor, o Deus dos céus, que fez o mar e a terra""."
JON.1.10	1	10	Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the LORD, because he had told them. {exceedingly...: Heb. with great fear}	0.1	neutral	"Com isso eles ficaram apavorados e perguntaram: ""O que foi que você fez? "", pois sabiam que Jonas estava fugindo do Senhor, porque ele já lhes tinha dito."
