verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
HAG.1.1	1	1	In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the LORD by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying, {by: Heb. by the hand of} {governor: or, captain}	0.1367	positive	No primeiro dia do sexto mês do segundo ano do reinado de Dario, a palavra do Senhor veio por meio do profeta Ageu ao governador de Judá, Zorobabel, filho de Sealtiel, e ao sumo sacerdote Josué, filho de Jeozadaque, dizendo:
HAG.1.2	1	2	Thus speaketh the LORD of hosts, saying, This people say, The time is not come, the time that the LORD'S house should be built.	0.0	neutral	"""Assim diz o Senhor dos Exércitos: Este povo afirma: 'Ainda não chegou o tempo de reconstruir a casa do Senhor' ""."
HAG.1.3	1	3	Then came the word of the LORD by Haggai the prophet, saying,	0.0	neutral	Por isso, a palavra do Senhor veio novamente por meio do profeta Ageu:
HAG.1.4	1	4	{Is it} time for you, O ye, to dwell in your cieled houses, and this house {lie} waste?	-0.2	negative	"""Acaso é tempo de vocês morarem em casas de fino acabamento, enquanto a minha casa continua destruída? """
HAG.1.5	1	5	Now therefore thus saith the LORD of hosts; Consider your ways. {Consider...: Heb. Set your heart on your ways}	0.0	neutral	"Agora, assim diz o Senhor dos Exércitos: ""Vejam aonde os seus caminhos os levaram."
HAG.1.6	1	6	Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages {to put it} into a bag with holes. {with holes: Heb. pierced through}	0.0825	neutral	"Vocês têm plantado muito, e colhido pouco. Vocês comem, mas não se fartam. Bebem, mas não se satisfazem. Vestem-se, mas não se aquecem. Aquele que recebe salário, recebe-o para colocá-lo numa bolsa furada""."
HAG.1.7	1	7	Thus saith the LORD of hosts; Consider your ways. {Consider...: Heb. Set your heart on your ways}	0.0	neutral	"Assim diz o Senhor dos Exércitos: ""Vejam aonde os seus caminhos os levaram!"
HAG.1.8	1	8	Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the LORD.	0.0	neutral	"Subam o monte para trazer madeira. Construam o templo, para que eu me alegre e nele seja glorificado"", diz o Senhor."
HAG.1.9	1	9	Ye looked for much, and, lo, {it came} to little; and when ye brought {it} home, I did blow upon it. Why? saith the LORD of hosts. Because of mine house that {is} waste, and ye run every man unto his own house. {blow...: or, blow it away}	0.1031	positive	"""Vocês esperavam muito, mas, para surpresa de vocês, acabou sendo pouco. E o que vocês trouxeram para casa eu dissipei com um sopro. E por que fiz isso? "", pergunta o Senhor dos Exércitos. ""Por causa do meu templo, que ainda está destruído, enquanto cada um de vocês se ocupa com a sua própria casa."
HAG.1.10	1	10	Therefore the heaven over you is stayed from dew, and the earth is stayed {from} her fruit.	0.0	neutral	Por isso, por causa de vocês, o céu reteu o orvalho e a terra deixou de dar o seu fruto.
HAG.1.11	1	11	And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the new wine, and upon the oil, and upon {that} which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands.	0.1364	positive	"Provoquei uma seca nos campos e nos montes, que atingiu o trigo, o vinho, o azeite e tudo mais que a terra produz, e também os homens e o gado. O trabalho das mãos de vocês foi prejudicado""."
HAG.1.12	1	12	Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him, and the people did fear before the LORD.	0.16	positive	Zorobabel, filho de Sealtiel, o sumo sacerdote Josué, filho de Jeozadaque, e todo o restante do povo obedeceram à voz do Senhor, o seu Deus, por causa das palavras do profeta Ageu, a quem o Senhor, o seu Deus, enviara. E o povo temeu ao Senhor.
