verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JAS.1.1	1	1	James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.	0.0	neutral	JACOBO, siervo de Dios y del Señor Jesucristo, á las doce tribus que están esparcidas, salud.
JAS.1.2	1	2	My brethren, count it all joy when ye fall into divers temptations; {temptations: or, trials}	0.8	positive	Hermanos míos, tened por sumo gozo cuando cayereis en diversas tentaciones;
JAS.1.3	1	3	Knowing {this}, that the trying of your faith worketh patience.	0.0	neutral	Sabiendo que la prueba de vuestra fe obra paciencia.
JAS.1.4	1	4	But let patience have {her} perfect work, that ye may be perfect and entire, wanting nothing.	0.6667	positive	Mas tenga la paciencia perfecta su obra, para que seáis perfectos y cabales, sin faltar en alguna cosa.
JAS.1.5	1	5	If any of you lack wisdom, let him ask of God, that giveth to all {men} liberally, and upbraideth not; and it shall be given him.	0.0	neutral	Y si alguno de vosotros tiene falta de sabiduría, demándela á Dios, el cual da á todos abundantemente, y no zahiere; y le será dada.
JAS.1.6	1	6	But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.	0.0	neutral	Pero pida en fe, no dudando nada: porque el que duda es semejante á la onda de la mar, que es movida del viento, y echada de una parte á otra.
JAS.1.7	1	7	For let not that man think that he shall receive any thing of the Lord.	0.0	neutral	No piense pues el tal hombre que recibirá ninguna cosa del Señor.
JAS.1.8	1	8	A double minded man {is} unstable in all his ways.	0.0	neutral	El hombre de doblado ánimo es inconstante en todos sus caminos.
JAS.1.9	1	9	Let the brother of low degree rejoice in that he is exalted: {rejoice: or, glory}	-0.375	negative	El hermano que es de baja suerte, gloríese en su alteza:
JAS.1.10	1	10	But the rich, in that he is made low: because as the flower of the grass he shall pass away.	0.1875	positive	Mas el que es rico, en su bajeza; porque él se pasará como la flor de la hierba.
JAS.1.11	1	11	For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.	0.375	positive	Porque salido el sol con ardor, la hierba se secó, y su flor se cayó, y pereció su hermosa apariencia: así también se marchitará el rico en todos sus caminos.
JAS.1.12	1	12	Blessed {is} the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.	0.5	positive	Bienaventurado el varón que sufre la tentación; porque cuando fuere probado, recibirá la corona de vida, que Dios ha prometido á los que le aman.
JAS.1.13	1	13	Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man: {evil: or, evils}	-0.9167	negative	Cuando alguno es tentado, no diga que es tentado de Dios: porque Dios no puede ser tentado de los malos, ni él tienta á alguno:
JAS.1.14	1	14	But every man is tempted, when he is drawn away of his own lust, and enticed.	0.6	positive	Sino que cada uno es tentado, cuando de su propia concupiscencia es atraído, y cebado.
JAS.1.15	1	15	Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.	0.0	neutral	Y la concupiscencia, después que ha concebido, pare el pecado: y el pecado, siendo cumplido, engendra muerte.
JAS.1.16	1	16	Do not err, my beloved brethren.	0.7	positive	Amados hermanos míos, no erréis.
JAS.1.17	1	17	Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.	0.3861	positive	Toda buena dádiva y todo don perfecto es de lo alto, que desciende del Padre de las luces, en el cual no hay mudanza, ni sombra de variación.
JAS.1.18	1	18	Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.	0.6	positive	El, de su voluntad nos ha engendrado por la palabra de verdad, para que seamos primicias de sus criaturas.
JAS.1.19	1	19	Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:	0.0333	neutral	Por esto, mis amados hermanos, todo hombre sea pronto para oir, tardío para hablar, tardío para airarse:
JAS.1.20	1	20	For the wrath of man worketh not the righteousness of God.	0.0	neutral	Porque la ira del hombre no obra la justicia de Dios.
JAS.1.21	1	21	Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.	0.5	positive	Por lo cual, dejando toda inmundicia y superfluidad de malicia, recibid con mansedumbre la palabra ingerida, la cual puede hacer salvas vuestras almas.
JAS.1.22	1	22	But be ye doers of the word, and not hearers only, deceiving your own selves.	0.3	positive	Mas sed hacedores de la palabra, y no tan solamente oidores, engañándoos á vosotros mismos.
JAS.1.23	1	23	For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:	0.1	neutral	Porque si alguno oye la palabra, y no la pone por obra, este tal es semejante al hombre que considera en un espejo su rostro natural.
