verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
ROM.1.1	1	1	Paul, a servant of Jesus Christ, called {to be} an apostle, separated unto the gospel of God,	0.0	neutral	Paulo, servo de Cristo Jesus, chamado para ser apóstolo, separado para o evangelho de Deus,
ROM.1.2	1	2	(Which he had promised afore by his prophets in the holy scriptures,)	0.0	neutral	o qual foi prometido por ele de antemão por meio dos seus profetas nas Escrituras Sagradas,
ROM.1.3	1	3	Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;	0.0	neutral	acerca de seu Filho, que, como homem, era descendente de Davi,
ROM.1.4	1	4	And declared {to be} the Son of God with power, according to the spirit of holiness, by the resurrection from the dead: {declared: Gr. determined}	-0.475	negative	e que mediante o Espírito de santidade foi declarado Filho de Deus com poder, pela sua ressurreição dentre os mortos: Jesus Cristo, nosso Senhor.
ROM.1.5	1	5	By whom we have received grace and apostleship, for obedience to the faith among all nations, for his name: {for obedience...: or, to the obedience of faith}	-0.75	negative	Por meio dele e por causa do seu nome, recebemos graça e apostolado para chamar dentre todas as nações um povo para a obediência que vem pela fé.
ROM.1.6	1	6	Among whom are ye also the called of Jesus Christ:	0.0	neutral	E vocês também estão entre os chamados para pertencerem a Jesus Cristo.
ROM.1.7	1	7	To all that be in Rome, beloved of God, called {to be} saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.	0.7	positive	A todos os que em Roma são amados de Deus e chamados para serem santos: A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo.
ROM.1.8	1	8	First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.	0.225	positive	Antes de tudo, sou grato a meu Deus, mediante Jesus Cristo, por todos vocês, porque em todo o mundo está sendo anunciada a fé que vocês têm.
ROM.1.9	1	9	For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make mention of you always in my prayers; {with: or, in}	0.0	neutral	Deus, a quem sirvo de todo o coração pregando o evangelho de seu Filho, é minha testemunha de como sempre me lembro de vocês
ROM.1.10	1	10	Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.	0.0	neutral	em minhas orações; e peço que agora, finalmente, pela vontade de Deus, seja-me aberto o caminho para que eu possa visitá-los.
ROM.1.11	1	11	For I long to see you, that I may impart unto you some spiritual gift, to the end ye may be established;	-0.025	neutral	Anseio vê-los, a fim de compartilhar com vocês algum dom espiritual, para fortalecê-los,
ROM.1.12	1	12	That is, that I may be comforted together with you by the mutual faith both of you and me. {with: or, in}	0.0	neutral	isto é, para que eu e vocês sejamos mutuamente encorajados pela fé.
ROM.1.13	1	13	Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles. {among: or, in}	-0.125	negative	Quero que vocês saibam, irmãos, que muitas vezes planejei visitá-los, mas fui impedido de fazê-lo até agora. Meu propósito é colher algum fruto entre vocês, assim como tenho colhido entre os demais gentios.
ROM.1.14	1	14	I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.	0.7	positive	Sou devedor tanto a gregos como a bárbaros, tanto a sábios como a ignorantes.
ROM.1.15	1	15	So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.	0.2	positive	Por isso estou disposto a pregar o evangelho também a vocês que estão em Roma.
ROM.1.16	1	16	For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.	0.125	positive	Não me envergonho do evangelho, porque é o poder de Deus para a salvação de todo aquele que crê: primeiro do judeu, depois do grego.
ROM.1.17	1	17	For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.	0.1364	positive	"Porque no evangelho é revelada a justiça de Deus, uma justiça que do princípio ao fim é pela fé, como está escrito: ""O justo viverá pela fé""."
ROM.1.18	1	18	For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;	0.0	neutral	Portanto, a ira de Deus é revelada do céu contra toda impiedade e injustiça dos homens que suprimem a verdade pela injustiça,
ROM.1.19	1	19	Because that which may be known of God is manifest in them; for God hath shewed {it} unto them. {in them: or, to them}	0.0	neutral	pois o que de Deus se pode conhecer é manifesto entre eles, porque Deus lhes manifestou.
