verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
HOS.1.1	1	1	The word of the LORD that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, {and} Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.	0.0	neutral	PALABRA de Jehová que fué á Oseas hijo de Beeri, en días de Ozías, Joathán, Achâz, y Ezechîas, reyes de Judá, y en días de Jeroboam hijo de Joas, rey de Israel.
HOS.1.2	1	2	The beginning of the word of the LORD by Hosea. And the LORD said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, {departing} from the LORD.	0.8	positive	El principio de la palabra de Jehová con Oseas. Y dijo Jehová á Oseas: Ve, tómate una mujer fornicaria, é hijos de fornicaciones: porque la tierra se dará á fornicar apartándose de Jehová.
HOS.1.3	1	3	So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son.	0.05	neutral	Fué pues, y tomó á Gomer hija de Diblaim, la cual concibió y le parió un hijo.
HOS.1.4	1	4	And the LORD said unto him, Call his name Jezreel; for yet a little {while}, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel. {avenge: Heb. visit}	-0.1875	negative	Y díjole Jehová: Ponle por nombre Jezreel; porque de aquí á poco yo visitaré las sangres de Jezreel sobre la casa de Jehú, y haré cesar el reino de la casa de Israel.
HOS.1.5	1	5	And it shall come to pass at that day, that I will break the bow of Israel in the valley of Jezreel.	0.0	neutral	Y acaecerá que en aquel día quebraré yo el arco de Israel en el valle de Jezreel.
HOS.1.6	1	6	And she conceived again, and bare a daughter. And {God} said unto him, Call her name Loruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away. {Loruhamah: that is, Not having obtained mercy} {no...: Heb. not add any more to} {but...: or, that I should altogether pardon them}	0.075	neutral	Y concibió aún, y parió una hija. Y díjole Dios: Ponle por nombre Lo-ruhama: porque no más tendré misericordia de la casa de Israel, sino que los quitaré del todo.
HOS.1.7	1	7	But I will have mercy upon the house of Judah, and will save them by the LORD their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen.	0.0	neutral	Mas de la casa de Judá tendré misericordia, y salvarélos en Jehová su Dios: y no los salvaré con arco, ni con espada, ni con batalla, ni con caballos ni caballeros.
HOS.1.8	1	8	Now when she had weaned Loruhamah, she conceived, and bare a son.	0.05	neutral	Y después de haber destetado á Lo-ruhama, concibió y parió un hijo.
HOS.1.9	1	9	Then said {God}, Call his name Loammi: for ye {are} not my people, and I will not be your {God}. {Loammi: that is, Not my people}	0.0	neutral	Y dijo Dios: Ponle por nombre Lo-ammi: porque vosotros no sois mi pueblo, ni yo seré vuestro Dios.
HOS.1.10	1	10	Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, {that} in the place where it was said unto them, Ye {are} not my people, {there} it shall be said unto them, {Ye are} the sons of the living God. {in...: or, instead of that}	0.0	neutral	Con todo será el número de los hijos de Israel como la arena de la mar, que ni se puede medir ni contar. Y será, que donde se les ha dicho: Vosotros no sois mi pueblo, les será dicho: Sois hijos del Dios viviente.
HOS.1.11	1	11	Then shall the children of Judah and the children of Israel be gathered together, and appoint themselves one head, and they shall come up out of the land: for great {shall be} the day of Jezreel.	0.8	positive	Y los hijos de Judá y de Israel serán congregados en uno, y levantarán para sí una cabeza, y subirán de la tierra: porque el día de Jezreel será grande.
HOS.2.1	2	1	Say ye unto your brethren, Ammi; and to your sisters, Ruhamah. {Ammi: that is, My people} {Ruhamah: that is, Having obtained mercy}	0.0	neutral	DECID á vuestros hermanos, Ammi, y vuestras hermanas, Ruhama:
HOS.2.2	2	2	Plead with your mother, plead: for she {is} not my wife, neither {am} I her husband: let her therefore put away her whoredoms out of her sight, and her adulteries from between her breasts;	0.0	neutral	Pleitead con vuestra madre, pleitead; porque ella no es mi mujer, ni yo su marido; quite pues sus fornicaciones de su rostro, y sus adulterios de entre sus pechos;
HOS.2.3	2	3	Lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst.	-0.0333	neutral	No sea que yo la despoje desnuda, y la haga tornar como el día en que nació, y la ponga como un desierto, y la deje como tierra seca, y la mate de sed.
HOS.2.4	2	4	And I will not have mercy upon her children; for they {be} the children of whoredoms.	0.0	neutral	Ni tendré misericordia de sus hijos: porque son hijos de fornicaciones.
HOS.2.5	2	5	For their mother hath played the harlot: she that conceived them hath done shamefully: for she said, I will go after my lovers, that give {me} my bread and my water, my wool and my flax, mine oil and my drink. {drink: Heb. drinks}	0.0	neutral	Porque su madre fornicó; la que los engendró fué avergonzada; porque dijo: Iré tras mis amantes, que me dan mi pan y mi agua, mi lana y mi lino, mi aceite y mi bebida.
HOS.2.6	2	6	Therefore, behold, I will hedge up thy way with thorns, and make a wall, that she shall not find her paths. {make...: Heb. wall a wall}	0.0	neutral	Por tanto, he aquí yo cerco tu camino con espinas, y la cercaré con seto, y no hallará sus caminos.
HOS.2.7	2	7	And she shall follow after her lovers, but she shall not overtake them; and she shall seek them, but shall not find {them}: then shall she say, I will go and return to my first husband; for then {was it} better with me than now.	0.375	positive	Y seguirá sus amantes, y no los alcanzará; buscarálos, y no los hallará. Entonces dira: Iré, y volvéreme á mi primer marido; porque mejor me iba entonces que ahora.
HOS.2.8	2	8	For she did not know that I gave her corn, and wine, and oil, and multiplied her silver and gold, {which} they prepared for Baal. {wine: Heb. new wine} {which...: or, wherewith they made Baal}	0.1364	positive	Y ella no reconoció que yo le daba el trigo, y el vino, y el aceite, y que les multipliqué la plata y el oro con que hicieron á Baal.
HOS.2.9	2	9	Therefore will I return, and take away my corn in the time thereof, and my wine in the season thereof, and will recover my wool and my flax {given} to cover her nakedness. {recover: or, take away}	0.0	neutral	Por tanto yo tornaré, y tomaré mi trigo á su tiempo, y mi vino á su sazón, y quitaré mi lana y mi lino que había dado para cubrir su desnudez.
HOS.2.10	2	10	And now will I discover her lewdness in the sight of her lovers, and none shall deliver her out of mine hand. {lewdness: Heb. folly, or, villany}	0.0	neutral	Y ahora descubriré yo su locura delante de los ojos de sus amantes, y nadie la librará de mi mano.
