verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
DEU.1.1	1	1	These {be} the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red {sea}, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab. {the Red...: or, Zuph}	-0.0714	neutral	Estas são as palavras ditas por Moisés a todo o Israel no deserto, a leste do Jordão, na Arabá, defronte de Sufe, entre Parã e Tofel, Labã, Hazerote e Di-Zaabe.
DEU.1.2	1	2	({There are} eleven days' {journey} from Horeb by the way of mount Seir unto Kadeshbarnea.)	0.0	neutral	Em onze dias se vai de Horebe a Cades-Barnéia pelo caminho dos montes de Seir.
DEU.1.3	1	3	And it came to pass in the fortieth year, in the eleventh month, on the first {day} of the month, {that} Moses spake unto the children of Israel, according unto all that the LORD had given him in commandment unto them;	0.25	positive	No quadragésimo ano, no primeiro dia do décimo primeiro mês, Moisés proclamou aos israelitas todas as ordens do Senhor acerca deles.
DEU.1.4	1	4	After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Astaroth in Edrei:	0.0	neutral	Isso foi depois que ele derrotou Seom, rei dos amorreus, que habitava em Hesbom, e em Edrei derrotou Ogue, rei de Basã, que habitava em Asterote.
DEU.1.5	1	5	On this side Jordan, in the land of Moab, began Moses to declare this law, saying,	0.0	neutral	A leste do Jordão, na terra de Moabe, Moisés tomou sobre si a responsabilidade de expor esta lei:
DEU.1.6	1	6	The LORD our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:	-0.025	neutral	"O Senhor, o nosso Deus, disse-nos em Horebe: ""Vocês já ficaram bastante tempo nesta montanha."
DEU.1.7	1	7	Turn you, and take your journey, and go to the mount of the Amorites, and unto all {the places} nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates. {all...: Heb. all his neighbours}	0.2929	positive	Levantem acampamento e avancem para a serra dos amorreus; vão a todos os povos vizinhos na Arabá, nas montanhas, na Sefelá, no Neguebe e ao longo do litoral, à terra dos cananeus e ao Líbano, até o grande rio, o Eufrates.
DEU.1.8	1	8	Behold, I have set the land before you: go in and possess the land which the LORD sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them. {set: Heb. given}	0.0	neutral	"""Ponho esta terra diante de vocês. Entrem e tomem posse da terra que o Senhor prometeu sob juramento dar aos seus antepassados, Abraão, Isaque e Jacó, e aos seus descendentes""."
DEU.1.9	1	9	And I spake unto you at that time, saying, I am not able to bear you myself alone:	-0.25	negative	"Naquela ocasião eu lhes disse: ""Não posso levá-los sozinho."
DEU.1.10	1	10	The LORD your God hath multiplied you, and, behold, ye {are} this day as the stars of heaven for multitude.	0.0	neutral	O Senhor, o seu Deus, os fez multiplicar de tal modo que hoje vocês são tão numerosos quanto as estrelas do céu.
DEU.1.11	1	11	(The LORD God of your fathers make you a thousand times so many more as ye {are}, and bless you, as he hath promised you!)	0.5625	positive	Que o Senhor, o Deus dos seus antepassados, os multiplique mil vezes mais e os abençoe, conforme lhes prometeu!
DEU.1.12	1	12	How can I myself alone bear your cumbrance, and your burden, and your strife?	0.0	neutral	Mas como poderei levar sozinho os seus problemas, as suas cargas e as suas disputas?
DEU.1.13	1	13	Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you. {Take: Heb. Give}	0.7	positive	"Escolham homens sábios, criteriosos e experientes de cada uma de suas tribos, e eu os colocarei como chefes de vocês""."
DEU.1.14	1	14	And ye answered me, and said, The thing which thou hast spoken {is} good {for us} to do.	0.7	positive	Vocês me disseram que essa era uma boa proposta.
DEU.1.15	1	15	So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes. {made: Heb. gave}	0.7	positive	Então convoquei os chefes das tribos, homens sábios e experientes, e os designei como chefes de mil, de cem, de cinqüenta e de dez, além de oficiais para cada tribo.
DEU.1.16	1	16	And I charged your judges at that time, saying, Hear {the causes} between your brethren, and judge righteously between {every} man and his brother, and the stranger {that is} with him.	0.0	neutral	"Naquela ocasião ordenei aos juízes de vocês: ""Atendam as questões de seus irmãos e julguem com justiça, não só as questões entre os seus compatriotas como também entre um israelita e um estrangeiro."
DEU.1.17	1	17	Ye shall not respect persons in judgment; {but} ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment {is} God's: and the cause that is too hard for you, bring {it} unto me, and I will hear it. {respect...: Heb. acknowledge faces}	-0.0854	neutral	Não sejam parciais no julgamento! Atendam tanto o pequeno como o grande. Não se deixem intimidar por ninguém, pois o veredicto pertence a Deus. Tragam-me os casos mais difíceis e eu os ouvirei.
DEU.1.18	1	18	And I commanded you at that time all the things which ye should do.	0.0	neutral	"Naquela ocasião eu lhes ordenei tudo o que deveriam fazer""."
DEU.1.19	1	19	And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the LORD our God commanded us; and we came to Kadeshbarnea.	-0.1	neutral	Depois, conforme o Senhor, o nosso Deus, nos tinha ordenado, partimos de Horebe e fomos para a serra dos amorreus, passando por todo aquele imenso e terrível deserto que vocês viram, e assim chegamos a Cades-Barnéia.
DEU.1.20	1	20	And I said unto you, Ye are come unto the mountain of the Amorites, which the LORD our God doth give unto us.	0.0	neutral	"Então eu lhes disse: ""Vocês chegaram à serra dos amorreus, a qual o Senhor, o nosso Deus, nos dá."
DEU.1.21	1	21	Behold, the LORD thy God hath set the land before thee: go up {and} possess {it}, as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged.	0.0	neutral	"Vejam, o Senhor, o seu Deus, põe diante de vocês esta terra. Entrem na terra e tomem posse dela, conforme o Senhor, o Deus dos seus antepassados, lhes disse. Não tenham medo nem se desanimem""."
DEU.1.22	1	22	And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.	0.1	neutral	"Vocês todos vieram dizer-me: ""Mandemos alguns homens à nossa frente em missão de reconhecimento da região, para que nos indiquem por qual caminho subiremos e a quais cidades iremos""."
