verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
NEH.11.9	11	9	And Joel the son of Zichri {was} their overseer: and Judah the son of Senuah {was} second over the city.	0.0	neutral	Joel, filho de Zicri, era o oficial superior entre eles, e Judá, filho de Senua, era responsável pelo segundo distrito da cidade.
NEH.11.10	11	10	Of the priests: Jedaiah the son of Joiarib, Jachin.	0.0	neutral	Dentre os sacerdotes: Jedaías; o filho de Joiaribe; Jaquim;
NEH.11.11	11	11	Seraiah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, {was} the ruler of the house of God.	0.0	neutral	Seraías, filho de Hilquias, neto de Mesulão, bisneto de Zadoque; Zadoque era filho de Meraiote, neto de Aitube, supervisor na casa de Deus,
NEH.11.12	11	12	And their brethren that did the work of the house {were} eight hundred twenty and two: and Adaiah the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashur, the son of Malchiah,	0.0	neutral	e seus colegas, que faziam o trabalho do templo totalizavam 822 homens. Adaías, filho de Jeroão, neto de Pelaías, bisneto de Anzi; Anzi que era filho de Zacarias, neto de Pasur, bisneto de Malquias,
NEH.11.13	11	13	And his brethren, chief of the fathers, two hundred forty and two: and Amashai the son of Azareel, the son of Ahasai, the son of Meshillemoth, the son of Immer,	0.0	neutral	e seus colegas, que eram chefes de famílias, totalizavam 242 homens. Amassai, filho de Azareel, neto de Azai, bisneto de Mesilemote, tataraneto de Imer,
NEH.11.14	11	14	And their brethren, mighty men of valour, an hundred twenty and eight: and their overseer {was} Zabdiel, the son of {one of} the great men. {the son...: or, the son of Haggedolim}	0.6	positive	e os seus colegas, que eram homens de destaque, totalizavam 128. O oficial superior deles era Zabdiel, filho de Gedolim.
NEH.11.15	11	15	Also of the Levites: Shemaiah the son of Hashub, the son of Azrikam, the son of Hashabiah, the son of Bunni;	0.0	neutral	Dentre os levitas: Semaías, filho de Hassube, neto de Azricão, bisneto de Hasabias, tataraneto de Buni;
NEH.11.16	11	16	And Shabbethai and Jozabad, of the chief of the Levites, {had} the oversight of the outward business of the house of God. {had...: Heb. were over}	0.0	neutral	Sabetai e Jozabade, dois dos líderes dos levitas, encarregados do trabalho externo do templo de Deus;
NEH.11.17	11	17	And Mattaniah the son of Micha, the son of Zabdi, the son of Asaph, {was} the principal to begin the thanksgiving in prayer: and Bakbukiah the second among his brethren, and Abda the son of Shammua, the son of Galal, the son of Jeduthun.	0.0	neutral	Matanias, filho de Mica, neto de Zabdi, bisneto de Asafe, o dirigente que conduzia as ações de graça e as orações; Bacbuquias, o segundo entre os seus colegas; e Abda, filho de Samua, neto de Galal, bisneto de Jedutum.
NEH.11.18	11	18	All the Levites in the holy city {were} two hundred fourscore and four.	0.0	neutral	Os levitas totalizavam 284 na cidade santa.
NEH.11.19	11	19	Moreover the porters, Akkub, Talmon, and their brethren that kept the gates, {were} an hundred seventy and two. {the gates: Heb. at the gates}	0.0	neutral	Os porteiros: Acube, Talmom e os homens dos seus clãs; eram 172 homens que guardavam as portas.
NEH.11.20	11	20	And the residue of Israel, of the priests, {and} the Levites, {were} in all the cities of Judah, every one in his inheritance.	0.0	neutral	Os demais israelitas, incluindo os sacerdotes e os levitas, estavam em todas as cidades de Judá, cada um na propriedade de sua herança.
NEH.11.21	11	21	But the Nethinims dwelt in Ophel: and Ziha and Gispa {were} over the Nethinims. {Ophel: or, the tower}	0.0	neutral	Os que prestavam serviço no templo moravam na colina de Ofel, e Zia e Gispa estavam encarregados deles.
NEH.11.22	11	22	The overseer also of the Levites at Jerusalem {was} Uzzi the son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Micha. Of the sons of Asaph, the singers {were} over the business of the house of God.	0.0	neutral	O oficial superior dos levitas em Jerusalém era Uzi, filho de Bani, neto de Hasabias, bisneto de Matanias, tataraneto de Mica. Uzi era um dos descendentes de Asafe, que eram responsáveis pela música do templo de Deus.
NEH.11.23	11	23	For {it was} the king's commandment concerning them, that a certain portion should be for the singers, due for every day. {a certain...: or, a sure ordinance}	0.2009	positive	Eles estavam sujeitos às prescrições do rei, que regulamentavam suas atividades diárias.
