verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JOS.22.26	22	26	Therefore we said, Let us now prepare to build us an altar, not for burnt offering, nor for sacrifice:	0.0	neutral	Por esto dijimos: Hagamos ahora por edificarnos un altar, no para holocausto ni para sacrificio,
JOS.22.27	22	27	But {that} it {may be} a witness between us, and you, and our generations after us, that we might do the service of the LORD before him with our burnt offerings, and with our sacrifices, and with our peace offerings; that your children may not say to our children in time to come, Ye have no part in the LORD.	0.0	neutral	Sino para que sea un testimonio entre nosotros y vosotros, y entre los que vendrán después de nosotros, de que podemos hacer el servicio de Jehová delante de él con nuestros holocaustos, con nuestros sacrificios, y con nuestros pacíficos; y no digan mañana vuestros hijos á los nuestros: Vosotros no tenéis parte en Jehová.
JOS.22.28	22	28	Therefore said we, that it shall be, when they should {so} say to us or to our generations in time to come, that we may say {again}, Behold the pattern of the altar of the LORD, which our fathers made, not for burnt offerings, nor for sacrifices; but it {is} a witness between us and you.	0.0	neutral	Nosotros, pues, dijimos: Si aconteciere que tal digan á nosotros, ó á nuestras generaciones en lo por venir, entonces responderemos: Mirad el símil del altar de Jehová, el cual hicieron nuestros padres, no para holocaustos ó sacrificios, sino para que fuese testimonio entre nosotros y vosotros.
JOS.22.29	22	29	God forbid that we should rebel against the LORD, and turn this day from following the LORD, to build an altar for burnt offerings, for meat offerings, or for sacrifices, beside the altar of the LORD our God that {is} before his tabernacle.	0.0	neutral	Nunca tal acontezca que nos rebelemos contra Jehová, ó que nos apartemos hoy de seguir á Jehová, edificando altar para holocaustos, para presente, ó para sacrificio, á más del altar de Jehová nuestro Dios que está delante de su tabernáculo.
JOS.22.30	22	30	And when Phinehas the priest, and the princes of the congregation and heads of the thousands of Israel which {were} with him, heard the words that the children of Reuben and the children of Gad and the children of Manasseh spake, it pleased them. {pleased...: Heb. was good in their eyes}	0.5667	positive	Y oyendo Phinees el sacerdote y los príncipes de la congregación, y las cabezas de la multitud de Israel que con él estaban, las palabras que hablaron los hijos de Rubén y los hijos de Gad y los hijos de Manasés, fueron contentos de ello.
JOS.22.31	22	31	And Phinehas the son of Eleazar the priest said unto the children of Reuben, and to the children of Gad, and to the children of Manasseh, This day we perceive that the LORD {is} among us, because ye have not committed this trespass against the LORD: now ye have delivered the children of Israel out of the hand of the LORD. {now: Heb. then}	0.0	neutral	Y dijo Phinees hijo del sacerdote Eleazar, á los hijos de Rubén, á los hijos de Gad, y á los hijos de Manasés: Hoy hemos entendido que Jehová está entre nosotros, pues que no habéis intentado esta traición contra Jehová. Ahora habéis librado á los hijos de Israel de la mano de Jehová.
JOS.22.32	22	32	And Phinehas the son of Eleazar the priest, and the princes, returned from the children of Reuben, and from the children of Gad, out of the land of Gilead, unto the land of Canaan, to the children of Israel, and brought them word again.	0.0	neutral	Y Phinees hijo del sacerdote Eleazar, y los príncipes, volviéronse de con los hijos de Rubén, y de con los hijos de Gad, de la tierra de Galaad á la tierra de Canaán, á los hijos de Israel: á los cuales dieron la respuesta.
JOS.22.33	22	33	And the thing pleased the children of Israel; and the children of Israel blessed God, and did not intend to go up against them in battle, to destroy the land wherein the children of Reuben and Gad dwelt.	0.15	positive	Y el negocio plugo á los hijos de Israel, y bendijeron á Dios los hijos de Israel; y no hablaron más de subir contra ellos en guerra, para destruir la tierra en que habitaban los hijos de Rubén y los hijos de Gad.
JOS.22.34	22	34	And the children of Reuben and the children of Gad called the altar {Ed}: for it {shall be} a witness between us that the LORD {is} God. {Ed: that is, A witness}	0.0	neutral	Y los hijos de Rubén y los hijos de Gad pusieron por nombre al altar Ed; porque es testimonio entre nosotros que Jehová es Dios.
JOS.23.1	23	1	And it came to pass a long time after that the LORD had given rest unto Israel from all their enemies round about, that Joshua waxed old {and} stricken in age. {stricken...: Heb. come into days}	-0.05	neutral	Y ACONTECIO, pasados muchos días después que Jehová dió reposo á Israel de todos sus enemigos al contorno, que Josué, siendo viejo, y entrado en días,
JOS.23.2	23	2	And Joshua called for all Israel, {and} for their elders, and for their heads, and for their judges, and for their officers, and said unto them, I am old {and} stricken in age:	0.1	neutral	Llamó á todo Israel, á sus ancianos, á sus príncipes, á sus jueces y á sus oficiales, y díjoles: Yo soy ya viejo y entrado en días:
JOS.23.3	23	3	And ye have seen all that the LORD your God hath done unto all these nations because of you; for the LORD your God {is} he that hath fought for you.	0.0	neutral	Y vosotros habéis visto todo lo que Jehová vuestro Dios ha hecho con todas estas gentes en vuestra presencia; porque Jehová vuestro Dios ha peleado por vosotros.
