verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JOB.1.1	1	1	There was a man in the land of Uz, whose name {was} Job; and that man was perfect and upright, and one that feared God, and eschewed evil.	0.0	neutral	HUBO un varón en tierra de Hus, llamado Job; y era este hombre perfecto y recto, y temeroso de Dios, y apartado del mal.
JOB.1.2	1	2	And there were born unto him seven sons and three daughters.	0.0	neutral	Y naciéronle siete hijos y tres hijas.
JOB.1.3	1	3	His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east. {substance: or, cattle} {household: or, husbandry} {men: Heb. sons}	1.0	positive	Y su hacienda era siete mil ovejas, y tres mil camellos, y quinientas yuntas de bueyes, y quinientas asnas, y muchísimos criados: y era aquel varón grande más que todos los Orientales.
JOB.1.4	1	4	And his sons went and feasted {in their} houses, every one his day; and sent and called for their three sisters to eat and to drink with them.	0.0	neutral	E iban sus hijos y hacían banquetes en sus casas, cada uno en su día; y enviaban á llamar sus tres hermanas, para que comiesen y bebiesen con ellos.
JOB.1.5	1	5	And it was so, when the days of {their} feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings {according} to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually. {continually: Heb. all the days}	0.35	positive	Y acontecía que, habiendo pasado en turno los días del convite, Job enviaba y santificábalos, y levantábase de mañana y ofrecía holocaustos conforme al número de todos ellos. Porque decía Job: Quizá habrán pecado mis hijos, y habrán blasfemado á Dios en sus corazones. De esta manera hacía todos los días.
JOB.1.6	1	6	Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them. {Satan: Heb. the adversary} {among: Heb. in the midst of}	0.0	neutral	Y un día vinieron los hijos de Dios á presentarse delante de Jehová, entre los cuales vino también Satán.
JOB.1.7	1	7	And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.	-0.1556	negative	Y dijo Jehová á Satán: ¿De dónde vienes? Y respondiendo Satán á Jehová, dijo: De rodear la tierra, y de andar por ella.
JOB.1.8	1	8	And the LORD said unto Satan, Hast thou considered my servant Job, that {there is} none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil? {considered: Heb. set thy heart on}	0.0	neutral	Y Jehová dijo á Satán: ¿No has considerado á mi siervo Job, que no hay otro como él en la tierra, varón perfecto y recto, temeroso de Dios, y apartado de mal?
JOB.1.9	1	9	Then Satan answered the LORD, and said, Doth Job fear God for nought?	0.0	neutral	Y respondiendo Satán á Jehová, dijo: ¿Teme Job á Dios de balde?
JOB.1.10	1	10	Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land. {substance: or, cattle}	0.0	neutral	¿No le has tú cercado á él, y á su casa, y á todo lo que tiene en derredor? Al trabajo de sus manos has dado bendición; por tanto su hacienda ha crecido sobre la tierra.
JOB.1.11	1	11	But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face. {and he...: Heb. if he curse thee not to thy face}	0.0	neutral	Mas extiende ahora tu mano, y toca á todo lo que tiene, y verás si no te blasfema en tu rostro.
JOB.1.12	1	12	And the LORD said unto Satan, Behold, all that he hath {is} in thy power; only upon himself put not forth thine hand. So Satan went forth from the presence of the LORD. {power: Heb. hand}	0.0	neutral	Y dijo Jehová á Satán: He aquí, todo lo que tiene está en tu mano: solamente no pongas tu mano sobre él. Y salióse Satán de delante de Jehová.
JOB.1.13	1	13	And there was a day when his sons and his daughters {were} eating and drinking wine in their eldest brother's house:	0.0	neutral	Y un día aconteció que sus hijos é hijas comían y bebían vino en casa de su hermano el primogénito,
JOB.1.14	1	14	And there came a messenger unto Job, and said, The oxen were plowing, and the asses feeding beside them:	0.0	neutral	Y vino un mensajero á Job, que le dijo: Estando arando los bueyes, y las asnas paciendo cerca de ellos,
JOB.1.15	1	15	And the Sabeans fell {upon them}, and took them away; yea, they have slain the servants with the edge of the sword; and I only am escaped alone to tell thee.	0.0	neutral	Acometieron los Sabeos, y tomáronlos, é hirieron á los mozos á filo de espada: solamente escapé yo para traerte las nuevas.
JOB.1.16	1	16	While he {was} yet speaking, there came also another, and said, The fire of God is fallen from heaven, and hath burned up the sheep, and the servants, and consumed them; and I only am escaped alone to tell thee. {The fire...: or, A great fire}	0.4	positive	Aun estaba éste hablando, y vino otro que dijo: Fuego de Dios cayó del cielo, que quemó las ovejas y los mozos, y los consumió: solamente escapé yo solo para traerte las nuevas.
JOB.1.17	1	17	While he {was} yet speaking, there came also another, and said, The Chaldeans made out three bands, and fell upon the camels, and have carried them away, yea, and slain the servants with the edge of the sword; and I only am escaped alone to tell thee. {fell: Heb. rushed}	0.0	neutral	Todavía estaba éste hablando, y vino otro que dijo: Los Caldeos hicieron tres escuadrones, y dieron sobre los camellos, y tomáronlos, é hirieron á los mozos á filo de espada; y solamente escapé yo solo para traerte las nuevas.
JOB.1.18	1	18	While he {was} yet speaking, there came also another, and said, Thy sons and thy daughters {were} eating and drinking wine in their eldest brother's house:	0.0	neutral	Entre tanto que éste hablaba, vino otro que dijo: Tus hijos y tus hijas estaban comiendo y bebiendo vino en casa de su hermano el primogénito;
JOB.1.19	1	19	And, behold, there came a great wind from the wilderness, and smote the four corners of the house, and it fell upon the young men, and they are dead; and I only am escaped alone to tell thee. {from...: Heb. from aside, etc}	0.175	positive	Y he aquí un gran viento que vino del lado del desierto, é hirió las cuatro esquinas de la casa, y cayó sobre los mozos, y murieron; y solamente escapé yo solo para traerte las nuevas.
JOB.1.20	1	20	Then Job arose, and rent his mantle, and shaved his head, and fell down upon the ground, and worshipped, {mantle: or, robe}	-0.1556	negative	Entonces Job se levantó, y rasgó su manto, y trasquiló su cabeza, y cayendo en tierra adoró;
JOB.1.21	1	21	And said, Naked came I out of my mother's womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD.	0.0	neutral	Y dijo: Desnudo salí del vientre de mi madre, y desnudo tornaré allá. Jehová dió, y Jehová quitó: sea el nombre de Jehová bendito.
JOB.1.22	1	22	In all this Job sinned not, nor charged God foolishly. {charged...: or, attributed folly to God}	0.0	neutral	En todo esto no pecó Job, ni atribuyó á Dios despropósito alguno.
JOB.2.1	2	1	Again there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them to present himself before the LORD.	0.0	neutral	Y OTRO día aconteció que vinieron los hijos de Dios para presentarse delante de Jehová, y Satán vino también entre ellos pareciendo delante de Jehová.
JOB.2.2	2	2	And the LORD said unto Satan, From whence comest thou? And Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.	-0.1556	negative	Y dijo Jehová á Satán: ¿De dónde vienes? Respondió Satán á Jehová, y dijo: De rodear la tierra, y de andar por ella.
JOB.2.3	2	3	And the LORD said unto Satan, Hast thou considered my servant Job, that {there is} none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil? and still he holdeth fast his integrity, although thou movedst me against him, to destroy him without cause. {to destroy...: Heb. to swallow him up}	-0.04	neutral	Y Jehová dijo á Satán: ¿No has considerado á mi siervo Job, que no hay otro como él en la tierra, varón perfecto y recto, temeroso de Dios y apartado de mal, y que aun retiene su perfección, habiéndome tú incitado contra él, para que lo arruinara sin causa?
JOB.2.4	2	4	And Satan answered the LORD, and said, Skin for skin, yea, all that a man hath will he give for his life.	0.0	neutral	Y respondiendo Satán dijo á Jehová: Piel por piel, todo lo que el hombre tiene dará por su vida.
JOB.2.5	2	5	But put forth thine hand now, and touch his bone and his flesh, and he will curse thee to thy face.	0.0	neutral	Mas extiende ahora tu mano, y toca á su hueso y á su carne, y verás si no te blasfema en tu rostro.
JOB.2.6	2	6	And the LORD said unto Satan, Behold, he {is} in thine hand; but save his life. {but: or, only}	0.0	neutral	Y Jehová dijo á Satán: He aquí, él está en tu mano; mas guarda su vida.
JOB.2.7	2	7	So went Satan forth from the presence of the LORD, and smote Job with sore boils from the sole of his foot unto his crown.	0.0	neutral	Y salió Satán de delante de Jehová, é hirió á Job de una maligna sarna desde la planta de su pie hasta la mollera de su cabeza.
JOB.2.8	2	8	And he took him a potsherd to scrape himself withal; and he sat down among the ashes.	-0.1556	negative	Y tomaba una teja para rascarse con ella, y estaba sentado en medio de ceniza.
JOB.2.9	2	9	Then said his wife unto him, Dost thou still retain thine integrity? curse God, and die.	0.0	neutral	Díjole entonces su mujer: ¿Aun retienes tú tu simplicidad? Bendice á Dios, y muérete.
JOB.2.10	2	10	But he said unto her, Thou speakest as one of the foolish women speaketh. What? shall we receive good at the hand of God, and shall we not receive evil? In all this did not Job sin with his lips.	-0.15	negative	Y él le dijo: Como suele hablar cualquiera de las mujeres fatuas, has hablado. También recibimos el bien de Dios, ¿y el mal no recibiremos? En todo esto no pecó Job con sus labios.
JOB.2.11	2	11	Now when Job's three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite: for they had made an appointment together to come to mourn with him and to comfort him.	-0.2	negative	Y tres amigos de Job, Eliphaz Temanita, y Bildad Suhita, y Sophar Naamathita, luego que oyeron todo este mal que le había sobrevenido, vinieron cada uno de su lugar; porque habían concertado de venir juntos á condolecerse de él, y á consolarle.
JOB.2.12	2	12	And when they lifted up their eyes afar off, and knew him not, they lifted up their voice, and wept; and they rent every one his mantle, and sprinkled dust upon their heads toward heaven.	0.0	neutral	Los cuales alzando los ojos desde lejos, no lo conocieron, y lloraron á voz en grito; y cada uno de ellos rasgó su manto, y esparcieron polvo sobre sus cabezas hacia el cielo.
