verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
LEV.21.1	21	1	And the LORD said unto Moses, Speak unto the priests the sons of Aaron, and say unto them, There shall none be defiled for the dead among his people:	-0.2	negative	Y JEHOVA dijo á Moisés: Habla á los sacerdotes hijos de Aarón, y diles que no se contaminen por un muerto en sus pueblos.
LEV.21.2	21	2	But for his kin, that is near unto him, {that is}, for his mother, and for his father, and for his son, and for his daughter, and for his brother,	0.1	neutral	Mas por su pariente cercano á sí, por su madre, ó por su padre, ó por su hijo, ó por su hermano,
LEV.21.3	21	3	And for his sister a virgin, that is nigh unto him, which hath had no husband; for her may he be defiled.	0.0	neutral	O por su hermana virgen, á él cercana, la cual no haya tenido marido, por ella se contaminará.
LEV.21.4	21	4	{But} he shall not defile himself, {being} a chief man among his people, to profane himself. {he...: or, being an husband among his people, he shall not defile himself for his wife, etc}	0.0	neutral	No se contaminará, porque es príncipe en sus pueblos, haciéndose inmundo.
LEV.21.5	21	5	They shall not make baldness upon their head, neither shall they shave off the corner of their beard, nor make any cuttings in their flesh.	0.0	neutral	No harán calva en su cabeza, ni raerán la punta de su barba, ni en su carne harán rasguños.
LEV.21.6	21	6	They shall be holy unto their God, and not profane the name of their God: for the offerings of the LORD made by fire, {and} the bread of their God, they do offer: therefore they shall be holy.	0.0	neutral	Santos serán á su Dios, y no profanarán el nombre de su Dios; porque los fuegos de Jehová y el pan de su Dios ofrecen: por tanto serán santos.
LEV.21.7	21	7	They shall not take a wife {that is} a whore, or profane; neither shall they take a woman put away from her husband: for he {is} holy unto his God.	0.0	neutral	Mujer ramera ó infame no tomarán: ni tomarán mujer repudiada de su marido: porque es santo á su Dios.
LEV.21.8	21	8	Thou shalt sanctify him therefore; for he offereth the bread of thy God: he shall be holy unto thee: for I the LORD, which sanctify you, {am} holy.	0.0	neutral	Lo santificarás por tanto, pues el pan de tu Dios ofrece: santo será para ti, porque santo soy yo Jehová vuestro santificador.
LEV.21.9	21	9	And the daughter of any priest, if she profane herself by playing the whore, she profaneth her father: she shall be burnt with fire.	0.0	neutral	Y la hija del varón sacerdote, si comenzare á fornicar, á su padre amancilla: quemada será al fuego.
LEV.21.10	21	10	And {he that is} the high priest among his brethren, upon whose head the anointing oil was poured, and that is consecrated to put on the garments, shall not uncover his head, nor rend his clothes;	0.18	positive	Y el sumo sacerdote entre sus hermanos, sobre cuya cabeza fué derramado el aceite de la unción, y que hinchió su mano para vestir las vestimentas, no descubrirá su cabeza, ni romperá sus vestidos:
LEV.21.11	21	11	Neither shall he go in to any dead body, nor defile himself for his father, or for his mother;	-0.2	negative	Ni entrará donde haya alguna persona muerta, ni por su padre, ó por su madre se contaminará.
LEV.21.12	21	12	Neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God {is} upon him: I {am} the LORD.	0.0	neutral	Ni saldrá del santuario, ni contaminará el santuario de su Dios; porque la corona del aceite de la unción de su Dios está sobre él: Yo Jehová.
LEV.21.13	21	13	And he shall take a wife in her virginity.	0.0	neutral	Y tomará él mujer con su virginidad.
LEV.21.14	21	14	A widow, or a divorced woman, or profane, {or} an harlot, these shall he not take: but he shall take a virgin of his own people to wife.	0.6	positive	Viuda, ó repudiada, ó infame, ó ramera, éstas no tomará: mas tomará virgen de sus pueblos por mujer.
LEV.21.15	21	15	Neither shall he profane his seed among his people: for I the LORD do sanctify him.	0.0	neutral	Y no amancillará su simiente en sus pueblos; porque yo Jehová soy el que los santifico.
LEV.21.16	21	16	And the LORD spake unto Moses, saying,	0.0	neutral	Y Jehová habló á Moisés, diciendo:
LEV.21.17	21	17	Speak unto Aaron, saying, Whosoever {he be} of thy seed in their generations that hath {any} blemish, let him not approach to offer the bread of his God. {bread: or, food}	0.0	neutral	Habla á Aarón, y dile: El varón de tu simiente en sus generaciones, en el cual hubiere falta, no se allegará para ofrecer el pan de su Dios.
LEV.21.18	21	18	For whatsoever man {he be} that hath a blemish, he shall not approach: a blind man, or a lame, or he that hath a flat nose, or any thing superfluous,	-0.3417	negative	Porque ningún varón en el cual hubiere falta, se allegará: varón ciego, ó cojo, ó falto, ó sobrado,
LEV.21.19	21	19	Or a man that is brokenfooted, or brokenhanded,	0.0	neutral	O varón en el cual hubiere quebradura de pie ó rotura de mano,
LEV.21.20	21	20	Or crookbackt, or a dwarf, or that hath a blemish in his eye, or be scurvy, or scabbed, or hath his stones broken; {a dwarf: or, too slender}	-0.4	negative	O corcobado, ó lagañoso, ó que tuviere nube en el ojo, ó que tenga sarna, ó empeine, ó compañón relajado;
LEV.21.21	21	21	No man that hath a blemish of the seed of Aaron the priest shall come nigh to offer the offerings of the LORD made by fire: he hath a blemish; he shall not come nigh to offer the bread of his God.	0.0	neutral	Ningún varón de la simiente de Aarón sacerdote, en el cual hubiere falta, se allegará para ofrecer las ofrendas encendidas de Jehová. Hay falta en él; no se allegará á ofrecer el pan de su Dios.
LEV.21.22	21	22	He shall eat the bread of his God, {both} of the most holy, and of the holy.	0.5	positive	El pan de su Dios, de lo muy santo y las cosas santificadas, comerá.
LEV.21.23	21	23	Only he shall not go in unto the vail, nor come nigh unto the altar, because he hath a blemish; that he profane not my sanctuaries: for I the LORD do sanctify them.	0.0	neutral	Empero no entrará del velo adentro, ni se allegará al altar, por cuanto hay falta en él: y no profanará mi santuario, porque yo Jehová soy el que los santifico.
LEV.21.24	21	24	And Moses told {it} unto Aaron, and to his sons, and unto all the children of Israel.	0.0	neutral	Y Moisés habló esto á Aarón, y á sus hijos, y á todos los hijos de Israel.
LEV.22.1	22	1	And the LORD spake unto Moses, saying,	0.0	neutral	Y HABLO Jehová á Moisés, diciendo:
LEV.22.2	22	2	Speak unto Aaron and to his sons, that they separate themselves from the holy things of the children of Israel, and that they profane not my holy name {in those things} which they hallow unto me: I {am} the LORD.	0.0	neutral	Di á Aarón y á sus hijos, que se abstengan de las santificaciones de los hijos de Israel, y que no profanen mi santo nombre en lo que ellos me santifican: Yo Jehová.
LEV.22.3	22	3	Say unto them, Whosoever {he be} of all your seed among your generations, that goeth unto the holy things, which the children of Israel hallow unto the LORD, having his uncleanness upon him, that soul shall be cut off from my presence: I {am} the LORD.	0.0	neutral	Diles: Todo varón de toda vuestra simiente en vuestras generaciones que llegare á las cosas sagradas, que los hijos de Israel consagran á Jehová, teniendo inmundicia sobre sí, de delante de mí será cortada su alma: Yo Jehová.
LEV.22.4	22	4	What man soever of the seed of Aaron {is} a leper, or hath a running issue; he shall not eat of the holy things, until he be clean. And whoso toucheth any thing {that is} unclean {by} the dead, or a man whose seed goeth from him; {running...: Heb. running of the reins}	0.0833	neutral	Cualquier varón de la simiente de Aarón que fuere leproso, ó padeciere flujo, no comerá de las cosas sagradas hasta que esté limpio: y el que tocare cualquiera cosa inmunda de mortecino, ó el varón del cual hubiere salido derramamiento de semen;
LEV.22.5	22	5	Or whosoever toucheth any creeping thing, whereby he may be made unclean, or a man of whom he may take uncleanness, whatsoever uncleanness he hath;	0.0	neutral	O el varón que hubiere tocado cualquier reptil, por el cual será inmundo, ú hombre por el cual venga á ser inmundo, conforme á cualquiera inmundicia suya;
LEV.22.6	22	6	The soul which hath touched any such shall be unclean until even, and shall not eat of the holy things, unless he wash his flesh with water.	0.0	neutral	La persona que lo tocare, será inmunda hasta la tarde, y no comerá de las cosas sagradas antes que haya lavado su carne con agua.
LEV.22.7	22	7	And when the sun is down, he shall be clean, and shall afterward eat of the holy things; because it {is} his food.	0.1056	positive	Y cuando el sol se pusiere, será limpio; y después comerá las cosas sagradas, porque su pan es.
LEV.22.8	22	8	That which dieth of itself, or is torn {with beasts}, he shall not eat to defile himself therewith: I {am} the LORD.	0.0	neutral	Mortecino ni despedazado por fiera no comerá, para contaminarse en ello: Yo Jehová.
LEV.22.9	22	9	They shall therefore keep mine ordinance, lest they bear sin for it, and die therefore, if they profane it: I the LORD do sanctify them.	0.0	neutral	Guarden, pues, mi ordenanza, y no lleven pecado por ello, no sea que así mueran cuando la profanaren: Yo Jehová que los santifico.
LEV.22.10	22	10	There shall no stranger eat {of} the holy thing: a sojourner of the priest, or an hired servant, shall not eat {of} the holy thing.	0.0	neutral	Ningún extraño comerá cosa sagrada; el huésped del sacerdote, ni el jornalero, no comerá cosa sagrada.
LEV.22.11	22	11	But if the priest buy {any} soul with his money, he shall eat of it, and he that is born in his house: they shall eat of his meat. {with...: Heb. with the purchase of his money}	0.0	neutral	Mas el sacerdote, cuando comprare persona de su dinero, ésta comerá de ella, y el nacido en su casa: estos comerán de su pan.
LEV.22.12	22	12	If the priest's daughter also be {married} unto a stranger, she may not eat of an offering of the holy things. {a stranger: Heb. a man a stranger}	0.25	positive	Empero la hija del sacerdote, cuando se casare con varón extraño, ella no comerá de la ofrenda de las cosas sagradas.
LEV.22.13	22	13	But if the priest's daughter be a widow, or divorced, and have no child, and is returned unto her father's house, as in her youth, she shall eat of her father's meat: but there shall no stranger eat thereof.	0.0	neutral	Pero si la hija del sacerdote fuere viuda, ó repudiada, y no tuviere prole, y se hubiere vuelto á la casa de su padre, como en su mocedad, comerá del pan de su padre; mas ningún extraño coma de él.
LEV.22.14	22	14	And if a man eat {of} the holy thing unwittingly, then he shall put the fifth {part} thereof unto it, and shall give {it} unto the priest with the holy thing.	0.0	neutral	Y el que por yerro comiere cosa sagrada, añadirá á ella su quinto, y darálo al sacerdote con la cosa sagrada.
LEV.22.15	22	15	And they shall not profane the holy things of the children of Israel, which they offer unto the LORD;	0.0	neutral	No profanarán, pues, las cosas santas de los hijos de Israel, las cuales apartan para Jehová:
LEV.22.16	22	16	Or suffer them to bear the iniquity of trespass, when they eat their holy things: for I the LORD do sanctify them. {suffer...: or, lade themselves with the iniquity of trespass in their eating}	0.0	neutral	Y no les harán llevar la iniquidad del pecado, comiendo las cosas santas de ellos: porque yo Jehová soy el que los santifico.
LEV.22.17	22	17	And the LORD spake unto Moses, saying,	0.0	neutral	Y habló Jehová á Moisés, diciendo:
LEV.22.18	22	18	Speak unto Aaron, and to his sons, and unto all the children of Israel, and say unto them, Whatsoever {he be} of the house of Israel, or of the strangers in Israel, that will offer his oblation for all his vows, and for all his freewill offerings, which they will offer unto the LORD for a burnt offering;	0.0	neutral	Habla á Aarón y á sus hijos, y á todos los hijos de Israel, y diles: Cualquier varón de la casa de Israel, ó de los extranjeros en Israel, que ofreciere su ofrenda por todos sus votos, y por todas sus voluntarias oblaciones que ofrecieren á Jehová en holocausto;
LEV.22.19	22	19	{Ye shall offer} at your own will a male without blemish, of the beeves, of the sheep, or of the goats.	0.3	positive	De vuestra voluntad ofreceréis macho sin defecto de entre las vacas, de entre los corderos, ó de entre las cabras.
