verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
ECC.1.1	1	1	The words of the Preacher, the son of David, king in Jerusalem.	0.0	neutral	As palavras do Mestre, filho de Davi, rei em Jerusalém:
ECC.1.2	1	2	Vanity of vanities, saith the Preacher, vanity of vanities; all {is} vanity.	0.0	neutral	"""Que grande inutilidade! "", diz o Mestre. ""Que grande inutilidade! Nada faz sentido! """
ECC.1.3	1	3	What profit hath a man of all his labour which he taketh under the sun?	0.0	neutral	O que o homem ganha com todo o seu trabalho em que tanto se esforça debaixo do sol?
ECC.1.4	1	4	{One} generation passeth away, and {another} generation cometh: but the earth abideth for ever.	0.0	neutral	Gerações vêm e gerações vão, mas a terra permanece para sempre.
ECC.1.5	1	5	The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose. {hasteth: Heb. panteth}	-0.1556	negative	O sol se levanta e o sol se põe, e depressa volta ao lugar de onde se levanta.
ECC.1.6	1	6	The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.	0.0	neutral	O vento sopra para o sul e vira para o norte; dá voltas e mais voltas, seguindo sempre o seu curso.
ECC.1.7	1	7	All the rivers run into the sea; yet the sea {is} not full; unto the place from whence the rivers come, thither they return again. {return...: Heb. return to go}	-0.175	negative	Todos os rios vão para o mar, contudo o mar nunca se enche; ainda que sempre corram para lá, para lá voltam a correr.
ECC.1.8	1	8	All things {are} full of labour; man cannot utter {it}: the eye is not satisfied with seeing, nor the ear filled with hearing.	0.125	positive	Todas as coisas trazem canseira. O homem não é capaz de descrevê-las; os olhos nunca se saciam de ver, nem os ouvidos de ouvir.
ECC.1.9	1	9	The thing that hath been, it {is that} which shall be; and that which is done {is} that which shall be done: and {there is} no new {thing} under the sun.	-0.0682	neutral	O que foi tornará a ser, o que foi feito se fará novamente; não há nada novo debaixo do sol.
ECC.1.10	1	10	Is there {any} thing whereof it may be said, See, this {is} new? it hath been already of old time, which was before us.	0.1182	positive	"Haverá algo de que se possa dizer: ""Veja! Isto é novo! ""? Não! Já existiu há muito tempo; bem antes da nossa época."
ECC.1.11	1	11	{There is} no remembrance of former {things}; neither shall there be {any} remembrance of {things} that are to come with {those} that shall come after.	0.0	neutral	Ninguém se lembra dos que viveram na antigüidade, e aqueles que ainda virão tampouco serão lembrados pelos que vierem depois deles.
ECC.1.12	1	12	I the Preacher was king over Israel in Jerusalem.	0.0	neutral	Eu, o mestre, fui rei de Israel em Jerusalém.
ECC.1.13	1	13	And I gave my heart to seek and search out by wisdom concerning all {things} that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith. {to be...: or, to afflict them}	0.0	neutral	Dediquei-me a investigar e a usar a sabedoria para explorar tudo que é feito debaixo do céu. Que fardo pesado Deus pôs sobre os homens!
ECC.1.14	1	14	I have seen all the works that are done under the sun; and, behold, all {is} vanity and vexation of spirit.	0.0	neutral	Tenho visto tudo o que é feito debaixo do sol; tudo é inútil, é correr atrás do vento!
ECC.1.15	1	15	{That which is} crooked cannot be made straight: and that which is wanting cannot be numbered. {that which is wanting: Heb. defect}	0.1	neutral	O que é torto não pode ser endireitado; o que está faltando não pode ser contado.
ECC.1.16	1	16	I communed with mine own heart, saying, Lo, I am come to great estate, and have gotten more wisdom than all {they} that have been before me in Jerusalem: yea, my heart had great experience of wisdom and knowledge. {had...: Heb. had seen much}	0.58	positive	Pensei comigo mesmo: Eu me tornei famoso e ultrapassei em sabedoria todos os que governaram Jerusalém antes de mim; de fato adquiri muita sabedoria e conhecimento.
ECC.1.17	1	17	And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.	0.0	neutral	Assim eu me esforcei para compreender a sabedoria, bem como a loucura e a insensatez, mas aprendi que isso também é correr atrás do vento.
ECC.1.18	1	18	For in much wisdom {is} much grief: and he that increaseth knowledge increaseth sorrow.	-0.3	negative	Pois quanto maior a sabedoria maior o sofrimento; e quanto maior o conhecimento, maior o desgosto.
