verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
MAL.1.1	1	1	The burden of the word of the LORD to Israel by Malachi. {by...: Heb. by the hand of}	0.0	neutral	Uma advertência: a palavra do Senhor contra Israel, por meio de Malaquias.
MAL.1.2	1	2	I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? {Was} not Esau Jacob's brother? saith the LORD: yet I loved Jacob,	0.7	positive	"""Eu sempre os amei"", diz o Senhor. ""Mas vocês perguntam: 'De que maneira nos amaste? ' ""Não era Esaú irmão de Jacó? "", declara o Senhor. ""Todavia eu amei Jacó,"
MAL.1.3	1	3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.	-0.55	negative	"mas rejeitei Esaú. Transformei suas montanhas em terra devastada e as terras de sua herança em morada de chacais do deserto. """
MAL.1.4	1	4	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.	-0.1556	negative	"Embora Edom afirme: ""Fomos esmagados, mas reconstruiremos as ruínas"", assim diz o Senhor dos Exércitos: ""Podem construir, mas eu demolirei. Eles serão chamados Terra Perversa, povo contra quem o Senhor está irado para sempre."
MAL.1.5	1	5	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel. {from: or, upon: Heb. from upon}	0.0	neutral	Vocês verão isso com os próprios olhos e exclamarão: Grande é o Senhor, até mesmo além das fronteiras de Israel!
MAL.1.6	1	6	A son honoureth {his} father, and a servant his master: if then I {be} a father, where {is} mine honour? and if I {be} a master, where {is} my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?	0.0	neutral	"""O filho honra seu pai, e o servo o seu senhor. Se eu sou pai, onde está a honra que me é devida? Se eu sou senhor, onde está o temor que me devem? "", pergunta o Senhor dos Exércitos a vocês, sacerdotes. ""São vocês que desprezam o meu nome! "" ""Mas vocês perguntam: 'De que maneira temos desprezado o teu nome? '"
MAL.1.7	1	7	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD {is} contemptible. {offer...: or, bring unto, etc}	0.0	neutral	"""Trazendo comida impura ao meu altar! ""E mesmo assim ainda perguntam: 'De que maneira te desonramos? ' ""Ao dizerem que a mesa do Senhor é desprezível."
MAL.1.8	1	8	And if ye offer the blind for sacrifice, {is it} not evil? and if ye offer the lame and sick, {is it} not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts. {for: Heb. to}	-0.0357	neutral	"""Na hora de trazerem animais cegos para sacrificar, vocês não vêem mal algum. Na hora de trazerem animais aleijados e doentes como oferta, também não vêem mal algum. Tentem oferecê-los de presente ao governador! Será que ele se agradará de vocês? Será que os atenderá? "", pergunta o Senhor dos Exércitos."
MAL.1.9	1	9	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts. {God: Heb. the face of God} {by...: Heb. from your hand}	0.0	neutral	"""E agora, sacerdotes, tentem apaziguar a Deus para que tenha compaixão de nós! Será que com esse tipo de oferta ele os atenderá? "", pergunta o Senhor dos Exércitos."
MAL.1.10	1	10	Who {is there} even among you that would shut the doors {for nought}? neither do ye kindle {fire} on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.	0.0	neutral	"""Ah, se um de vocês fechasse as portas do templo. Assim ao menos não acenderiam o fogo do meu altar inutilmente. Não tenho prazer em vocês"", diz o Senhor dos Exércitos, ""e não aceitarei as suas ofertas."
MAL.1.11	1	11	For from the rising of the sun even unto the going down of the same my name {shall be} great among the Gentiles; and in every place incense {shall be} offered unto my name, and a pure offering: for my name {shall be} great among the heathen, saith the LORD of hosts.	0.3317	positive	"Pois do oriente ao ocidente grande é o meu nome entre as nações. Em toda parte incenso e ofertas puras são trazidos ao meu nome, porque grande é o meu nome entre as nações"", diz o Senhor dos Exércitos."
MAL.1.12	1	12	But ye have profaned it, in that ye say, The table of the LORD {is} polluted; and the fruit thereof, {even} his meat, {is} contemptible.	0.0	neutral	"""Mas vocês o profanam ao dizerem que a mesa do Senhor é imunda e que a sua comida é desprezível."
MAL.1.13	1	13	Ye said also, Behold, what a weariness {is it}! and ye have snuffed at it, saith the LORD of hosts; and ye brought {that which was} torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD. {and ye have...: or, whereas ye might have blown it away}	-0.6071	negative	"E ainda dizem: 'Que canseira! ' e riem dela com desprezo"", diz o Senhor dos Exércitos. ""Quando vocês trazem animais roubados, aleijados e doentes e os oferecem em sacrifício, deveria eu aceitá-los de suas mãos? "", pergunta o Senhor."
MAL.1.14	1	14	But cursed {be} the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I {am} a great King, saith the LORD of hosts, and my name {is} dreadful among the heathen. {which...: Heb. in whose flock is}	-0.175	negative	"""Maldito seja o enganador que, tendo no rebanho um macho sem defeito, promete oferecê-lo e depois sacrifica um animal defeituoso"", diz o Senhor dos Exércitos; ""pois eu sou um grande rei, e o meu nome é temido entre as nações. """
MAL.2.1	2	1	And now, O ye priests, this commandment {is} for you.	0.0	neutral	"""E agora esta advertência é para vocês, ó sacerdotes."
MAL.2.2	2	2	If ye will not hear, and if ye will not lay {it} to heart, to give glory unto my name, saith the LORD of hosts, I will even send a curse upon you, and I will curse your blessings: yea, I have cursed them already, because ye do not lay {it} to heart.	0.0	neutral	"Se vocês não derem ouvidos e não se dispuserem a honrar o meu nome"", diz o Senhor dos Exércitos, ""lançarei maldição sobre vocês, e até amaldiçoarei as suas bênçãos. Aliás já as amaldiçoei, porque vocês não me honram de coração."
MAL.2.3	2	3	Behold, I will corrupt your seed, and spread dung upon your faces, {even} the dung of your solemn feasts; and {one} shall take you away with it. {corrupt: or, reprove} {spread: Heb. scatter} {one...: or, it shall take you away to it}	-0.5	negative	"""Por causa de vocês eu vou destruir a sua descendência; esfregarei na cara de vocês os excrementos dos animais oferecidos em sacrifício em suas festas e lançarei vocês fora, juntamente com os excrementos."
MAL.2.4	2	4	And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the LORD of hosts.	0.0	neutral	"Então vocês saberão que fui eu que lhes dei esta advertência para que a minha aliança com Levi fosse mantida"", diz o Senhor dos Exércitos."
MAL.2.5	2	5	My covenant was with him of life and peace; and I gave them to him {for} the fear wherewith he feared me, and was afraid before my name.	-0.6	negative	"""A minha aliança com ele foi uma aliança de vida e de paz, que de fato lhe dei para que me temesse. Ele me temeu, e tremeu diante do meu nome."
MAL.2.6	2	6	The law of truth was in his mouth, and iniquity was not found in his lips: he walked with me in peace and equity, and did turn many away from iniquity.	0.5	positive	A verdadeira lei estava em sua boca e nenhuma falsidade achou-se em seus lábios. Ele andou comigo em paz e retidão, e desviou muitos do pecado.
MAL.2.7	2	7	For the priest's lips should keep knowledge, and they should seek the law at his mouth: for he {is} the messenger of the LORD of hosts.	0.0	neutral	"""Porque os lábios do sacerdote devem guardar o conhecimento, e da sua boca todos esperam a instrução na lei, porque ele é o mensageiro do Senhor dos Exércitos."
MAL.2.8	2	8	But ye are departed out of the way; ye have caused many to stumble at the law; ye have corrupted the covenant of Levi, saith the LORD of hosts. {stumble at: or, fall in}	0.1333	positive	"Mas vocês se desviaram do caminho e pelo seu ensino causaram a queda de muita gente; vocês quebraram a aliança de Levi"", diz o Senhor dos Exércitos."
MAL.2.9	2	9	Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law. {have been...: or, lifted up the face against: Heb. accepted faces}	-0.45	negative	"""Por isso eu fiz que fossem desprezados e humilhados diante de todo o povo, porque vocês não seguem os meus caminhos, mas são parciais quando ensinam a lei. """
MAL.2.10	2	10	Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?	0.0	neutral	Não temos todos o mesmo Pai? Não fomos todos criados pelo mesmo Deus? Por que será então que quebramos a aliança dos nossos antepassados sendo infiéis uns com os outros?
MAL.2.11	2	11	Judah hath dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah hath profaned the holiness of the LORD which he loved, and hath married the daughter of a strange god. {loved: or, ought to love}	0.42	positive	Judá tem sido infiel. Uma coisa repugnante foi cometida em Israel e em Jerusalém; Judá desonrou o santuário que o Senhor ama; homens casaram-se com mulheres que adoram deuses estrangeiros.
MAL.2.12	2	12	The LORD will cut off the man that doeth this, the master and the scholar, out of the tabernacles of Jacob, and him that offereth an offering unto the LORD of hosts. {the master...: or, him that waketh, and him that answereth}	0.0	neutral	Que o Senhor lance fora das tendas de Jacó o homem que faz isso, seja ele quem for, mesmo que esteja trazendo ofertas ao Senhor dos Exércitos.
