verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
MAT.25.39	25	39	Or when saw we thee sick, or in prison, and came unto thee?	-0.7143	negative	Quando te vimos enfermo ou preso e fomos te visitar? '
MAT.25.40	25	40	And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done {it} unto one of the least of these my brethren, ye have done {it} unto me.	-0.3	negative	"""O Rei responderá: 'Digo-lhes a verdade: o que vocês fizeram a algum dos meus menores irmãos, a mim o fizeram'."
MAT.25.41	25	41	Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:	0.0	neutral	"""Então ele dirá aos que estiverem à sua esquerda: 'Malditos, apartem-se de mim para o fogo eterno, preparado para o diabo e os seus anjos."
MAT.25.42	25	42	For I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink:	0.0	neutral	Pois eu tive fome, e vocês não me deram de comer; tive sede, e nada me deram para beber;
MAT.25.43	25	43	I was a stranger, and ye took me not in: naked, and ye clothed me not: sick, and in prison, and ye visited me not.	0.1786	positive	fui estrangeiro, e vocês não me acolheram; necessitei de roupas, e vocês não me vestiram; estive enfermo e preso, e vocês não me visitaram'.
MAT.25.44	25	44	Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?	-0.3571	negative	"""Eles também responderão: 'Senhor, quando te vimos com fome ou com sede ou estrangeiro ou necessitado de roupas ou enfermo ou preso, e não te ajudamos? '"
MAT.25.45	25	45	Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did {it} not to one of the least of these, ye did {it} not to me.	-0.3	negative	"""Ele responderá: 'Digo-lhes a verdade: o que vocês deixaram de fazer a alguns destes mais pequeninos, também a mim deixaram de fazê-lo'."
MAT.25.46	25	46	And these shall go away into everlasting punishment: but the righteous into life eternal.	0.0	neutral	"""E estes irão para o castigo eterno, mas os justos para a vida eterna""."
MAT.26.1	26	1	And it came to pass, when Jesus had finished all these sayings, he said unto his disciples,	0.0	neutral	Tendo dito essas coisas, disse Jesus aos seus discípulos:
MAT.26.2	26	2	Ye know that after two days is {the feast of} the passover, and the Son of man is betrayed to be crucified.	0.0	neutral	"""Como vocês sabem, estamos a dois dias da Páscoa, e o Filho do homem será entregue para ser crucificado""."
MAT.26.3	26	3	Then assembled together the chief priests, and the scribes, and the elders of the people, unto the palace of the high priest, who was called Caiaphas,	0.16	positive	Naquela ocasião os chefes dos sacerdotes e os líderes religioso do povo se reuniram no palácio do sumo sacerdote, cujo nome era Caifás,
MAT.26.4	26	4	And consulted that they might take Jesus by subtilty, and kill {him}.	0.0	neutral	e juntos planejaram prender Jesus à traição e matá-lo.
MAT.26.5	26	5	But they said, Not on the feast {day}, lest there be an uproar among the people.	0.0	neutral	"Mas diziam: ""Não durante a festa, para que não haja tumulto entre o povo""."
MAT.26.6	26	6	Now when Jesus was in Bethany, in the house of Simon the leper,	0.0	neutral	Estando Jesus em Betânia, na casa de Simão, o leproso,
MAT.26.7	26	7	There came unto him a woman having an alabaster box of very precious ointment, and poured it on his head, as he sat {at meat}.	0.65	positive	aproximou-se dele uma mulher com um frasco de alabastro contendo um perfume muito caro. Ela o derramou sobre a cabeça de Jesus, quando ele se encontrava reclinado à mesa.
MAT.26.8	26	8	But when his disciples saw {it}, they had indignation, saying, To what purpose {is} this waste?	-0.2	negative	"Os discípulos, ao verem isso, ficaram indignados e perguntaram: ""Por que este desperdício?"
