verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JUD.1.1	1	1	Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, {and} called:	0.0	neutral	JUDAS, siervo de Jesucristo, y hermano de Jacobo, á los llamados, santificados en Dios Padre, y conservados en Jesucristo:
JUD.1.2	1	2	Mercy unto you, and peace, and love, be multiplied.	0.5	positive	Misericordia, y paz, y amor os sean multiplicados.
JUD.1.3	1	3	Beloved, when I gave all diligence to write unto you of the common salvation, it was needful for me to write unto you, and exhort {you} that ye should earnestly contend for the faith which was once delivered unto the saints.	0.2	positive	Amados, por la gran solicitud que tenía de escribiros de la común salud, me ha sido necesario escribiros amonestándoos que contendáis eficazmente por la fe que ha sido una vez dada á los santos.
JUD.1.4	1	4	For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness and denying the only Lord God, and our Lord Jesus Christ.	0.1048	positive	Porque algunos hombres han entrado encubiertamente, los cuales desde antes habían estado ordenados para esta condenación, hombres impíos, convirtiendo la gracia de nuestro Dios en disolución, y negando á Dios que solo es el que tiene dominio, y á nuestro Señor Jesucristo.
JUD.1.5	1	5	I will therefore put you in remembrance, though ye once knew this, how that the Lord, having saved the people out of the land of Egypt, afterward destroyed them that believed not.	0.0	neutral	Os quiero pues amonestar, ya que alguna vez habéis sabido esto, que el Señor habiendo salvado al pueblo de Egipto, después destruyó á los que no creían:
JUD.1.6	1	6	And the angels which kept not their first estate, but left their own habitation, he hath reserved in everlasting chains under darkness unto the judgment of the great day. {first estate: or, principality}	0.38	positive	Y á los ángeles que no guardaron su dignidad, mas dejaron su habitación, los ha reservado debajo de oscuridad en prisiones eternas hasta el juicio del gran día:
JUD.1.7	1	7	Even as Sodom and Gomorrha, and the cities about them in like manner, giving themselves over to fornication, and going after strange flesh, are set forth for an example, suffering the vengeance of eternal fire. {strange: Gr. other}	-0.075	neutral	Como Sodoma y Gomorra, y las ciudades comarcanas, las cuales de la misma manera que ellos habían fornicado, y habían seguido la carne extraña, fueron puestas por ejemplo: sufriendo el juicio del fuego eterno.
JUD.1.8	1	8	Likewise also these {filthy} dreamers defile the flesh, despise dominion, and speak evil of dignities.	-0.9	negative	De la misma manera también estos soñadores amancillan la carne, y menosprecian la potestad, y vituperan las potestades superiores.
JUD.1.9	1	9	Yet Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing accusation, but said, The Lord rebuke thee.	0.0	neutral	Pero cuando el arcángel Miguel contendía con el diablo, disputando sobre el cuerpo de Moisés, no se atrevió á usar de juicio de maldición contra él, sino que dijo: El Señor te reprenda.
JUD.1.10	1	10	But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves.	-0.4667	negative	Pero éstos maldicen las cosas que no conocen; y las cosas que naturalmente conocen, se corrompen en ellas, como bestias brutas.
JUD.1.11	1	11	Woe unto them! for they have gone in the way of Cain, and ran greedily after the error of Balaam for reward, and perished in the gainsaying of Core.	0.0	neutral	¡Ay de ellos! porque han seguido el camino de Caín, y se lanzaron en el error de Balaam por recompensa, y perecieron en la contradicción de Coré.
JUD.1.12	1	12	These are spots in your feasts of charity, when they feast with you, feeding themselves without fear: clouds {they are} without water, carried about of winds; trees whose fruit withereth, without fruit, twice dead, plucked up by the roots;	-0.2	negative	Estos son manchas en vuestros convites, que banquetean juntamente, apacentándose á sí mismos sin temor alguno: nubes sin agua, las cuales son llevadas de acá para allá de los vientos: árboles marchitos como en otoño, sin fruto, dos veces muertos y desarraigados;
JUD.1.13	1	13	Raging waves of the sea, foaming out their own shame; wandering stars, to whom is reserved the blackness of darkness for ever.	0.6	positive	Fieras ondas de la mar, que espuman sus mismas abominaciones; estrellas erráticas, á las cuales es reservada eternalmente la oscuridad de las tinieblas.
JUD.1.14	1	14	And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,	0.0	neutral	De los cuales también profetizó Enoc, séptimo desde Adam, diciendo: He aquí, el Señor es venido con sus santos millares,
JUD.1.15	1	15	To execute judgment upon all, and to convince all that are ungodly among them of all their ungodly deeds which they have ungodly committed, and of all their hard {speeches} which ungodly sinners have spoken against him.	-0.2917	negative	A hacer juicio contra todos, y á convencer á todos los impíos de entre ellos tocante á todas sus obras de impiedad que han hecho impíamente, y á todas las cosas duras que los pecadores impíos han hablado contra él.
JUD.1.16	1	16	These are murmurers, complainers, walking after their own lusts; and their mouth speaketh great swelling {words}, having men's persons in admiration because of advantage.	0.7	positive	Estos son murmuradores, querellosos, andando según sus deseos; y su boca habla cosas soberbias, teniendo en admiración las personas por causa del provecho.
