verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
PSA.107.41	107	41	Yet setteth he the poor on high from affliction, and maketh {him} families like a flock. {from: or, after}	-0.12	negative	Mas tira os pobres da miséria e aumenta as suas famílias como rebanhos.
PSA.107.42	107	42	The righteous shall see {it}, and rejoice: and all iniquity shall stop her mouth.	0.0	neutral	Os justos vêem tudo isso e se alegram, mas todos os perversos se calam.
PSA.107.43	107	43	Whoso {is} wise, and will observe these {things}, even they shall understand the lovingkindness of the LORD.	0.7	positive	Reflitam nisso os sábios e considerem a bondade do Senhor.
PSA.108.1	108	1	[A Song {or} Psalm of David.] O God, my heart is fixed; I will sing and give praise, even with my glory.	0.1	neutral	Meu coração está firme, ó Deus! Cantarei e louvarei, ó Glória minha!
PSA.108.2	108	2	Awake, psaltery and harp: I {myself} will awake early.	0.1	neutral	Acordem, harpa e lira! Despertarei a alvorada.
PSA.108.3	108	3	I will praise thee, O LORD, among the people: and I will sing praises unto thee among the nations.	0.0	neutral	Eu te darei graças, ó Senhor, entre os povos; cantarei louvores entre as nações,
PSA.108.4	108	4	For thy mercy {is} great above the heavens: and thy truth {reacheth} unto the clouds. {clouds: or, skies}	0.4	positive	porque o teu amor leal se eleva muito acima dos céus; a tua fidelidade alcança as nuvens!
PSA.108.5	108	5	Be thou exalted, O God, above the heavens: and thy glory above all the earth;	0.0	neutral	Exalta-te, ó Deus, acima dos céus; estenda-se a tua glória sobre toda a terra!
PSA.108.6	108	6	That thy beloved may be delivered: save {with} thy right hand, and answer me.	0.4929	positive	Salva-nos com a tua mão direita e responde-nos, para que sejam libertos aqueles a quem amas.
PSA.108.7	108	7	God hath spoken in his holiness; I will rejoice, I will divide Shechem, and mete out the valley of Succoth.	0.0	neutral	"Do seu santuário Deus falou: ""No meu triunfo dividirei Siquém e repartirei o vale de Sucote."
PSA.108.8	108	8	Gilead {is} mine; Manasseh {is} mine; Ephraim also {is} the strength of mine head; Judah {is} my lawgiver;	0.0	neutral	Gileade me pertence, e Manassés também; Efraim é o meu capacete, Judá é o meu cetro.
PSA.108.9	108	9	Moab {is} my washpot; over Edom will I cast out my shoe; over Philistia will I triumph.	0.0	neutral	"Moabe é a pia em que me lavo, em Edom atiro a minha sandália, sobre a Filístia dou meu brado de vitória! """
PSA.108.10	108	10	Who will bring me into the strong city? who will lead me into Edom?	0.4333	positive	Quem me levará à cidade fortificada? Quem me guiará a Edom?
PSA.108.11	108	11	{Wilt} not {thou}, O God, {who} hast cast us off? and wilt not thou, O God, go forth with our hosts?	0.0	neutral	Não foste tu, ó Deus, que nos rejeitaste e deixaste de sair com os nossos exércitos?
PSA.108.12	108	12	Give us help from trouble: for vain {is} the help of man.	-0.2	negative	Dá-nos ajuda contra os adversários, pois inútil é o socorro do homem.
PSA.108.13	108	13	Through God we shall do valiantly: for he {it is that} shall tread down our enemies.	-0.1556	negative	Com Deus conquistaremos a vitória, e ele pisará os nossos adversários.
