verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
2PE.1.1	1	1	Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ: {Simon: or, Symeon} {God...: Gr. of our God and Saviour}	-0.125	negative	Simão Pedro, servo e apóstolo de Jesus Cristo, àqueles que, mediante a justiça de nosso Deus e Salvador Jesus Cristo, receberam conosco uma fé igualmente valiosa:
2PE.1.2	1	2	Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord,	0.0	neutral	Graça e paz lhes sejam multiplicadas, pelo pleno conhecimento de Deus e de Jesus, o nosso Senhor.
2PE.1.3	1	3	According as his divine power hath given unto us all things that {pertain} unto life and godliness, through the knowledge of him that hath called us to glory and virtue: {to: or, by}	-0.75	negative	Seu divino poder nos deu todas as coisas de que necessitamos para a vida e para a piedade, por meio do pleno conhecimento daquele que nos chamou para a sua própria glória e virtude.
2PE.1.4	1	4	Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.	0.65	positive	Por intermédio destas ele nos deu as suas grandiosas e preciosas promessas, para que por elas vocês se tornassem participantes da natureza divina e fugissem da corrupção que há no mundo, causada pela cobiça.
2PE.1.5	1	5	And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;	0.0	neutral	Por isso mesmo, empenhem-se para acrescentar à sua fé a virtude; à virtude o conhecimento;
2PE.1.6	1	6	And to knowledge temperance; and to temperance patience; and to patience godliness;	0.0	neutral	ao conhecimento o domínio próprio; ao domínio próprio a perseverança; à perseverança a piedade;
2PE.1.7	1	7	And to godliness brotherly kindness; and to brotherly kindness charity.	0.0	neutral	à piedade a fraternidade; e à fraternidade o amor.
2PE.1.8	1	8	For if these things be in you, and abound, they make {you that ye shall} neither {be} barren nor unfruitful in the knowledge of our Lord Jesus Christ. {barren: Gr. idle}	-0.6	negative	Porque, se essas qualidades existirem e estiverem crescendo em suas vidas, elas impedirão que vocês, no pleno conhecimento de nosso Senhor Jesus Cristo, sejam inoperantes e improdutivos.
2PE.1.9	1	9	But he that lacketh these things is blind, and cannot see afar off, and hath forgotten that he was purged from his old sins.	-0.2	negative	Todavia, se alguém não as tem, está cego, só vê o que está perto, esquecendo-se da purificação dos seus antigos pecados.
2PE.1.10	1	10	Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:	0.5	positive	Portanto, irmãos, empenhem-se ainda mais para consolidar o chamado e a eleição de vocês, pois se agirem dessa forma, jamais tropeçarão,
2PE.1.11	1	11	For so an entrance shall be ministered unto you abundantly into the everlasting kingdom of our Lord and Saviour Jesus Christ.	0.6	positive	e assim vocês estarão ricamente providos quando entrarem no Reino eterno de nosso Senhor e Salvador Jesus Cristo.
2PE.1.12	1	12	Wherefore I will not be negligent to put you always in remembrance of these things, though ye know {them}, and be established in the present truth.	0.0	neutral	Por isso, sempre terei o cuidado de lembrar-lhes estas coisas, se bem que vocês já as sabem e estão solidamente firmados na verdade que receberam.
2PE.1.13	1	13	Yea, I think it meet, as long as I am in this tabernacle, to stir you up by putting {you} in remembrance;	-0.05	neutral	Considero importante, enquanto estiver no tabernáculo deste corpo, despertar a memória de vocês,
2PE.1.14	1	14	Knowing that shortly I must put off {this} my tabernacle, even as our Lord Jesus Christ hath shewed me.	0.0	neutral	porque sei que em breve deixarei este tabernáculo, como o nosso Senhor Jesus Cristo já me revelou.
2PE.1.15	1	15	Moreover I will endeavour that ye may be able after my decease to have these things always in remembrance.	0.5	positive	Eu me empenharei para que, também depois da minha partida, vocês sejam sempre capazes de lembrar-se destas coisas.
2PE.1.16	1	16	For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty.	0.0	neutral	De fato, não seguimos fábulas engenhosamente inventadas, quando lhes falamos a respeito do poder e da vinda de nosso Senhor Jesus Cristo; pelo contrário, nós fomos testemunhas oculares da sua majestade.
2PE.1.17	1	17	For he received from God the Father honour and glory, when there came such a voice to him from the excellent glory, This is my beloved Son, in whom I am well pleased.	0.55	positive	"Ele recebeu honra e glória da parte de Deus Pai, quando da suprema glória lhe foi dirigida a voz que disse: ""Este é o meu filho amado, em quem me agrado""."
2PE.1.18	1	18	And this voice which came from heaven we heard, when we were with him in the holy mount.	0.0	neutral	Nós mesmos ouvimos essa voz vinda do céu, quando estávamos com ele no monte santo.
2PE.1.19	1	19	We have also a more sure word of prophecy; whereunto ye do well that ye take heed, as unto a light that shineth in a dark place, until the day dawn, and the day star arise in your hearts:	0.3125	positive	Assim, temos ainda mais firme a palavra dos profetas, e vocês farão bem se a ela prestarem atenção, como a uma candeia que brilha em lugar escuro, até que o dia clareie e a estrela da alva nasça em seus corações.
2PE.1.20	1	20	Knowing this first, that no prophecy of the scripture is of any private interpretation.	0.125	positive	Antes de mais nada, saibam que nenhuma profecia da Escritura provém de interpretação pessoal,
2PE.1.21	1	21	For the prophecy came not in old time by the will of man: but holy men of God spake {as they were} moved by the Holy Ghost. {in old time: or, at any time}	0.1	neutral	pois jamais a profecia teve origem na vontade humana, mas homens falaram da parte de Deus, impelidos pelo Espírito Santo.
2PE.2.1	2	1	But there were false prophets also among the people, even as there shall be false teachers among you, who privily shall bring in damnable heresies, even denying the Lord that bought them, and bring upon themselves swift destruction.	-0.4	negative	No passado surgiram falsos profetas no meio do povo, como também surgirão entre vocês falsos mestres. Estes introduzirão secretamente heresias destruidoras, chegando a negar o Soberano que os resgatou, trazendo sobre si mesmos repentina destruição.
2PE.2.2	2	2	And many shall follow their pernicious ways; by reason of whom the way of truth shall be evil spoken of. {pernicious ways: or, lascivious ways, as some copies read}	-0.25	negative	Muitos seguirão os caminhos vergonhosos desses homens e, por causa deles, será difamado o caminho da verdade.
2PE.2.3	2	3	And through covetousness shall they with feigned words make merchandise of you: whose judgment now of a long time lingereth not, and their damnation slumbereth not.	-0.05	neutral	Em sua cobiça, tais mestres os explorarão com histórias que inventaram. Há muito tempo a sua condenação paira sobre eles, e a sua destruição não tarda.
2PE.2.4	2	4	For if God spared not the angels that sinned, but cast {them} down to hell, and delivered {them} into chains of darkness, to be reserved unto judgment;	-0.1556	negative	Pois Deus não poupou os anjos que pecaram, mas os lançou no inferno, prendendo-os em abismos tenebrosos a fim de serem reservados para o juízo.
2PE.2.5	2	5	And spared not the old world, but saved Noah the eighth {person}, a preacher of righteousness, bringing in the flood upon the world of the ungodly;	0.1	neutral	Ele não poupou o mundo antigo quando trouxe o dilúvio sobre aquele povo ímpio, mas preservou Noé, pregador da justiça, e mais sete pessoas.
2PE.2.6	2	6	And turning the cities of Sodom and Gomorrha into ashes condemned {them} with an overthrow, making {them} an ensample unto those that after should live ungodly;	0.1364	positive	Também condenou as cidades de Sodoma e Gomorra, reduzindo-as a cinzas, tornando-as exemplo do que acontecerá aos ímpios;
2PE.2.7	2	7	And delivered just Lot, vexed with the filthy conversation of the wicked:	-0.8	negative	mas livrou Ló, homem justo, que se afligia com o procedimento libertino dos que não tinham princípios morais
2PE.2.8	2	8	(For that righteous man dwelling among them, in seeing and hearing, vexed {his} righteous soul from day to day with {their} unlawful deeds;)	0.25	positive	( pois, vivendo entre eles, todos os dias aquele justo se atormentava em sua alma justa por causa das maldades que via e ouvia ).
2PE.2.9	2	9	The Lord knoweth how to deliver the godly out of temptations, and to reserve the unjust unto the day of judgment to be punished:	0.0	neutral	Vemos, portanto, que o Senhor sabe livrar os piedosos da provação e manter em castigo os ímpios para o dia do juízo,
2PE.2.10	2	10	But chiefly them that walk after the flesh in the lust of uncleanness, and despise government. Presumptuous {are they}, selfwilled, they are not afraid to speak evil of dignities. {government: or, dominion}	-0.35	negative	especialmente os que seguem os desejos impuros da carne e desprezam a autoridade. Insolentes e arrogantes, tais homens não têm medo de difamar os seres celestiais;
2PE.2.11	2	11	Whereas angels, which are greater in power and might, bring not railing accusation against them before the Lord. {them: some read, themselves}	0.5	positive	contudo, nem os anjos, embora sendo maiores em força e poder, fazem acusações injuriosas contra aqueles seres na presença do Senhor.
2PE.2.12	2	12	But these, as natural brute beasts, made to be taken and destroyed, speak evil of the things that they understand not; and shall utterly perish in their own corruption;	-0.075	neutral	Mas eles difamam o que desconhecem e são como criaturas irracionais, guiadas pelo instinto, nascidas para serem capturadas e destruídas; serão corrompidos pela sua própria corrupção!
2PE.2.13	2	13	And shall receive the reward of unrighteousness, {as} they that count it pleasure to riot in the day time. Spots {they are} and blemishes, sporting themselves with their own deceivings while they feast with you;	0.6	positive	Eles receberão retribuição pela injustiça que causaram. Consideram prazer entregar-se à devassidão em plena luz do dia. São nódoas e manchas, regalando-se em seus prazeres, quando participam das festas de vocês.
2PE.2.14	2	14	Having eyes full of adultery, and that cannot cease from sin; beguiling unstable souls: an heart they have exercised with covetous practices; cursed children: {adultery: Gr. an adulteress}	-0.2	negative	Tendo os olhos cheios de adultério, nunca param de pecar, iludem os instáveis e têm o coração exercitado na ganância. Malditos!
2PE.2.15	2	15	Which have forsaken the right way, and are gone astray, following the way of Balaam {the son} of Bosor, who loved the wages of unrighteousness;	0.3286	positive	Eles abandonaram o caminho reto e se desviaram, seguindo o caminho de Balaão, filho de Beor, que amou o salário da injustiça,
2PE.2.16	2	16	But was rebuked for his iniquity: the dumb ass speaking with man's voice forbad the madness of the prophet.	-0.375	negative	mas em sua transgressão foi repreendido por uma jumenta, um animal mudo, que falou com voz humana e refreou a insensatez do profeta.
2PE.2.17	2	17	These are wells without water, clouds that are carried with a tempest; to whom the mist of darkness is reserved for ever.	0.0	neutral	Esses homens são fontes sem água e névoas impelidas pela tempestade. A escuridão das trevas lhes está reservada,
2PE.2.18	2	18	For when they speak great swelling {words} of vanity, they allure through the lusts of the flesh, {through much} wantonness, those that were clean escaped from them who live in error. {clean: or, for a little, or, a while, as some read}	0.2804	positive	pois eles, com palavras de vaidosa arrogância e provocando os desejos libertinos da carne, seduzem os que estão quase conseguindo fugir daqueles que vivem no erro.
2PE.2.19	2	19	While they promise them liberty, they themselves are the servants of corruption: for of whom a man is overcome, of the same is he brought in bondage.	0.0	neutral	Prometendo-lhes liberdade, eles mesmos são escravos da corrupção, pois o homem é escravo daquilo que o domina.
2PE.2.20	2	20	For if after they have escaped the pollutions of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein, and overcome, the latter end is worse with them than the beginning.	-0.2	negative	Se, tendo escapado das contaminações do mundo por meio do conhecimento de nosso Senhor e Salvador Jesus Cristo, encontram-se novamente nelas enredados e por elas dominados, estão em pior estado do que no princípio.
2PE.2.21	2	21	For it had been better for them not to have known the way of righteousness, than, after they have known {it}, to turn from the holy commandment delivered unto them.	0.5	positive	Teria sido melhor que não tivessem conhecido o caminho da justiça, do que, depois de o terem conhecido, voltarem as costas para o santo mandamento que lhes foi transmitido.
2PE.2.22	2	22	But it is happened unto them according to the true proverb, The dog {is} turned to his own vomit again; and the sow that was washed to her wallowing in the mire.	0.475	positive	"Confirma-se neles que é verdadeiro o provérbio: ""O cão voltou ao seu vômito"" e ainda: ""A porca lavada voltou a revolver-se na lama""."
2PE.3.1	3	1	This second epistle, beloved, I now write unto you; in {both} which I stir up your pure minds by way of remembrance:	0.3048	positive	Amados, esta é agora a segunda carta que lhes escrevo. Em ambas quero despertar com estas lembranças a sua mente sincera para que vocês se lembrem
2PE.3.2	3	2	That ye may be mindful of the words which were spoken before by the holy prophets, and of the commandment of us the apostles of the Lord and Saviour:	0.0	neutral	das palavras proferidas no passado pelos santos profetas, e do mandamento de nosso Senhor e Salvador que os apóstolos de vocês lhes ensinaram.
2PE.3.3	3	3	Knowing this first, that there shall come in the last days scoffers, walking after their own lusts,	0.2833	positive	Antes de tudo saibam que, nos últimos dias, surgirão escarnecedores zombando e seguindo suas próprias paixões.
2PE.3.4	3	4	And saying, Where is the promise of his coming? for since the fathers fell asleep, all things continue as {they were} from the beginning of the creation.	0.0	neutral	"Eles dirão: ""O que houve com a promessa da sua vinda? Desde que os antepassados morreram, tudo continua como desde o princípio da criação""."
2PE.3.5	3	5	For this they willingly are ignorant of, that by the word of God the heavens were of old, and the earth standing out of the water and in the water: {standing: Gr. consisting}	-0.1333	negative	Mas eles deliberadamente se esquecem de que há muito tempo, pela palavra de Deus, existiam céus e terra, esta formada da água e pela água.
2PE.3.6	3	6	Whereby the world that then was, being overflowed with water, perished:	0.0	neutral	E pela água o mundo daquele tempo foi submerso e destruído.
2PE.3.7	3	7	But the heavens and the earth, which are now, by the same word are kept in store, reserved unto fire against the day of judgment and perdition of ungodly men.	0.0	neutral	Pela mesma palavra os céus e a terra que agora existem estão reservados para o fogo, guardados para o dia do juízo e para a destruição dos ímpios.
2PE.3.8	3	8	But, beloved, be not ignorant of this one thing, that one day {is} with the Lord as a thousand years, and a thousand years as one day.	0.7	positive	Não se esqueçam disto, amados: para o Senhor um dia é como mil anos, e mil anos como um dia.
