verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
PSA.145.20	145	20	The LORD preserveth all them that love him: but all the wicked will he destroy.	0.15	positive	Jehová guarda á todos los que le aman; Empero destruirá á todos los impíos.
PSA.145.21	145	21	My mouth shall speak the praise of the LORD: and let all flesh bless his holy name for ever and ever.	0.0	neutral	La alabanza de Jehová hablará mi boca; Y bendiga toda carne su santo nombre por siglo y para siempre.
PSA.146.1	146	1	Praise ye the LORD. Praise the LORD, O my soul. {Praise ye...: Heb. Hallelujah}	0.0	neutral	ALABA, oh alma mía, á Jehová.
PSA.146.2	146	2	While I live will I praise the LORD: I will sing praises unto my God while I have any being.	0.1364	positive	Alabaré á Jehová en mi vida: Cantaré salmos á mi Dios mientras viviere.
PSA.146.3	146	3	Put not your trust in princes, {nor} in the son of man, in whom {there is} no help. {help: or, salvation}	0.0	neutral	No confiéis en los príncipes, Ni en hijo de hombre, porque no hay en él salud.
PSA.146.4	146	4	His breath goeth forth, he returneth to his earth; in that very day his thoughts perish.	0.2	positive	Saldrá su espíritu, tornaráse en su tierra: En aquel día perecerán sus pensamientos.
PSA.146.5	146	5	Happy {is he} that {hath} the God of Jacob for his help, whose hope {is} in the LORD his God:	0.8	positive	Bienaventurado aquel en cuya ayuda es el Dios de Jacob, Cuya esperanza es en Jehová su Dios:
PSA.146.6	146	6	Which made heaven, and earth, the sea, and all that therein {is}: which keepeth truth for ever:	0.0	neutral	El cual hizo los cielos y la tierra, La mar, y todo lo que en ellos hay; Que guarda verdad para siempre;
PSA.146.7	146	7	Which executeth judgment for the oppressed: which giveth food to the hungry. The LORD looseth the prisoners:	0.0	neutral	Que hace derecho á los agraviados; Que da pan á los hambrientos: Jehová suelta á los aprisionados;
PSA.146.8	146	8	The LORD openeth {the eyes of} the blind: the LORD raiseth them that are bowed down: the LORD loveth the righteous:	-0.3278	negative	Jehová abre los ojos á los ciegos; Jehová levanta á los caídos; Jehová ama á los justos.
PSA.146.9	146	9	The LORD preserveth the strangers; he relieveth the fatherless and widow: but the way of the wicked he turneth upside down.	-0.1556	negative	Jehová guarda á los extranjeros; Al huérfano y á la viuda levanta; Y el camino de los impíos trastorna.
PSA.146.10	146	10	The LORD shall reign for ever, {even} thy God, O Zion, unto all generations. Praise ye the LORD.	0.0	neutral	Reinará Jehová para siempre; Tu Dios, oh Sión, por generación y generación. Aleluya.
