verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
1CO.12.30	12	30	Have all the gifts of healing? do all speak with tongues? do all interpret?	0.0	neutral	Têm todos dons de curar? Falam todos em línguas? Todos interpretam?
1CO.12.31	12	31	But covet earnestly the best gifts: and yet shew I unto you a more excellent way.	0.8333	positive	Entretanto, busquem com dedicação os melhores dons. Passo agora a mostrar-lhes um caminho ainda mais excelente.
1CO.13.1	13	1	Though I speak with the tongues of men and of angels, and have not charity, I am become {as} sounding brass, or a tinkling cymbal.	0.0	neutral	Ainda que eu fale as línguas dos homens e dos anjos, se não tiver amor, serei como o sino que ressoa ou como o prato que retine.
1CO.13.2	13	2	And though I have {the gift of} prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing.	0.0	neutral	Ainda que eu tenha o dom de profecia e saiba todos os mistérios e todo o conhecimento, e tenha uma fé capaz de mover montanhas, mas não tiver amor, nada serei.
1CO.13.3	13	3	And though I bestow all my goods to feed {the poor}, and though I give my body to be burned, and have not charity, it profiteth me nothing.	-0.4	negative	Ainda que eu dê aos pobres tudo o que possuo e entregue o meu corpo para ser queimado, mas não tiver amor, nada disso me valerá.
1CO.13.4	13	4	Charity suffereth long, {and} is kind; charity envieth not; charity vaunteth not itself, is not puffed up, {vaunteth...: or, is not rash}	0.275	positive	O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha.
1CO.13.5	13	5	Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil;	0.2944	positive	Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor.
1CO.13.6	13	6	Rejoiceth not in iniquity, but rejoiceth in the truth; {in the truth: or, with the truth}	0.0	neutral	O amor não se alegra com a injustiça, mas se alegra com a verdade.
1CO.13.7	13	7	Beareth all things, believeth all things, hopeth all things, endureth all things.	0.0	neutral	Tudo sofre, tudo crê, tudo espera, tudo suporta.
1CO.13.8	13	8	Charity never faileth: but whether {there be} prophecies, they shall fail; whether {there be} tongues, they shall cease; whether {there be} knowledge, it shall vanish away. {fail: Gr. vanish away}	-0.5	negative	O amor nunca perece; mas as profecias desaparecerão, as línguas cessarão, o conhecimento passará.
1CO.13.9	13	9	For we know in part, and we prophesy in part.	0.0	neutral	Pois em parte conhecemos e em parte profetizamos;
1CO.13.10	13	10	But when that which is perfect is come, then that which is in part shall be done away. {done away: Gr. vanish away}	1.0	positive	quando, porém, vier o que é perfeito, o que é imperfeito desaparecerá.
1CO.13.11	13	11	When I was a child, I spake as a child, I understood as a child, I thought as a child: but when I became a man, I put away childish things. {thought: or, reasoned} {put away: Gr. vanish away}	-0.2	negative	Quando eu era menino, falava como menino, pensava como menino e raciocinava como menino. Quando me tornei homem, deixei para trás as coisas de menino.
1CO.13.12	13	12	For now we see through a glass, darkly; but then face to face: now I know in part; but then shall I know even as also I am known. {darkly: Gr. in a riddle}	-0.15	negative	Agora, pois, vemos apenas um reflexo obscuro, como em espelho; mas, então, veremos face a face. Agora conheço em parte; então, conhecerei plenamente, da mesma forma como sou plenamente conhecido.
1CO.13.13	13	13	And now abideth faith, hope, charity, these three; but the greatest of these {is} charity.	1.0	positive	Assim, permanecem agora estes três: a fé, a esperança e o amor. O maior deles, porém, é o amor.
1CO.14.1	14	1	Follow after charity, and desire spiritual {gifts}, but rather that ye may prophesy.	0.0	neutral	Sigam o caminho do amor e busquem com dedicação os dons espirituais, principalmente o dom de profecia.
1CO.14.2	14	2	For he that speaketh in an {unknown} tongue speaketh not unto men, but unto God: for no man understandeth {him}; howbeit in the spirit he speaketh mysteries. {understandeth: Gr. heareth}	-0.1	neutral	Pois quem fala em língua não fala aos homens, mas a Deus. De fato, ninguém o entende; em espírito fala mistérios.
1CO.14.3	14	3	But he that prophesieth speaketh unto men {to} edification, and exhortation, and comfort.	0.0	neutral	Mas quem profetiza o faz para a edificação, encorajamento e consolação dos homens.
1CO.14.4	14	4	He that speaketh in an {unknown} tongue edifieth himself; but he that prophesieth edifieth the church.	-0.1	neutral	Quem fala em língua a si mesmo se edifica, mas quem profetiza edifica a igreja.
1CO.14.5	14	5	I would that ye all spake with tongues, but rather that ye prophesied: for greater {is} he that prophesieth than he that speaketh with tongues, except he interpret, that the church may receive edifying.	0.5	positive	Gostaria que todos vocês falassem em línguas, mas prefiro que profetizem. Quem profetiza é maior do que aquele que fala em línguas, a não ser que as interprete, para que a igreja seja edificada.
1CO.14.6	14	6	Now, brethren, if I come unto you speaking with tongues, what shall I profit you, except I shall speak to you either by revelation, or by knowledge, or by prophesying, or by doctrine?	0.0	neutral	Agora, irmãos, se eu for visitá-los e falar em línguas, em que lhes serei útil, a não ser que lhes leve alguma revelação, ou conhecimento, ou profecia, ou doutrina?
1CO.14.7	14	7	And even things without life giving sound, whether pipe or harp, except they give a distinction in the sounds, how shall it be known what is piped or harped? {sounds: or, tunes}	0.4	positive	Até no caso de coisas inanimadas que produzem sons, tais como a flauta ou a cítara, como alguém reconhecerá o que está sendo tocado, se os sons não forem distintos?
1CO.14.8	14	8	For if the trumpet give an uncertain sound, who shall prepare himself to the battle?	0.4	positive	Além disso, se a trombeta não emitir um som claro, quem se preparará para a batalha?
1CO.14.9	14	9	So likewise ye, except ye utter by the tongue words easy to be understood, how shall it be known what is spoken? for ye shall speak into the air. {easy...: Gr. significant}	0.3104	positive	Assim acontece com vocês. Se não proferirem palavras compreensíveis com a língua, como alguém saberá o que está sendo dito? Vocês estarão simplesmente falando ao ar.
1CO.14.10	14	10	There are, it may be, so many kinds of voices in the world, and none of them {is} without signification.	0.5	positive	Sem dúvida, há diversos idiomas no mundo; todavia, nenhum deles é sem sentido.
1CO.14.11	14	11	Therefore if I know not the meaning of the voice, I shall be unto him that speaketh a barbarian, and he that speaketh {shall be} a barbarian unto me.	-0.7	negative	Portanto, se eu não entender o significado do que alguém está falando, serei estrangeiro para quem fala, e ele, estrangeiro para mim.
1CO.14.12	14	12	Even so ye, forasmuch as ye are zealous of spiritual {gifts}, seek that ye may excel to the edifying of the church. {of spiritual gifts: Gr. of spirits}	0.0	neutral	Assim acontece com vocês. Visto que estão ansiosos por terem dons espirituais, procurem crescer naqueles que trazem a edificação para a igreja.
1CO.14.13	14	13	Wherefore let him that speaketh in an {unknown} tongue pray that he may interpret.	-0.1	neutral	Por isso, quem fala em língua, ore para que a possa interpretar.
1CO.14.14	14	14	For if I pray in an {unknown} tongue, my spirit prayeth, but my understanding is unfruitful.	-0.35	negative	Pois, se oro em língua, meu espírito ora, mas a minha mente fica infrutífera.
1CO.14.15	14	15	What is it then? I will pray with the spirit, and I will pray with the understanding also: I will sing with the spirit, and I will sing with the understanding also.	0.0	neutral	Então, que farei? Orarei com o espírito, mas também orarei com o entendimento; cantarei com o espírito, mas também cantarei com o entendimento.
1CO.14.16	14	16	Else when thou shalt bless with the spirit, how shall he that occupieth the room of the unlearned say Amen at thy giving of thanks, seeing he understandeth not what thou sayest?	0.2	positive	"Se você estiver louvando a Deus em espírito, como poderá aquele que está entre os não instruídos dizer o ""Amém"" à sua ação de graças, visto que não sabe o que você está dizendo?"
1CO.14.17	14	17	For thou verily givest thanks well, but the other is not edified.	0.0375	neutral	Pode ser que você esteja dando graças muito bem, mas o outro não é edificado.
1CO.14.18	14	18	I thank my God, I speak with tongues more than ye all:	0.5	positive	Dou graças a Deus por falar em línguas mais do que todos vocês.
1CO.14.19	14	19	Yet in the church I had rather speak five words with my understanding, that {by my voice} I might teach others also, than ten thousand words in an {unknown} tongue.	-0.05	neutral	Todavia, na igreja prefiro falar cinco palavras compreensíveis para instruir os outros a falar dez mil palavras em língua.
