verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
MIC.1.1	1	1	The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, {and} Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.	0.0	neutral	A palavra do Senhor que veio a Miquéias de Moresete durante os reinados de Jotão, Acaz e Ezequias, reis de Judá; a visão que ele teve acerca de Samaria e de Jerusalém:
MIC.1.2	1	2	Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord GOD be witness against you, the Lord from his holy temple. {all ye...: Heb. ye people, all of them} {all that...: Heb. the fulness thereof}	0.0	neutral	Ouçam, todos os povos; prestem atenção, ó terra e todos os que nela habitam; que o Senhor Soberano, do seu santo templo, testemunhe contra vocês.
MIC.1.3	1	3	For, behold, the LORD cometh forth out of his place, and will come down, and tread upon the high places of the earth.	0.0022	neutral	Vejam! O Senhor já está saindo da sua habitação; ele desce e pisa os lugares altos da terra.
MIC.1.4	1	4	And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, {and} as the waters {that are} poured down a steep place. {a steep...: Heb. a descent}	-0.1556	negative	Debaixo dele os montes se derretem como cera diante do fogo, e os vales racham ao meio, como que rasgados pelas águas que descem velozes encosta abaixo.
MIC.1.5	1	5	For the transgression of Jacob {is} all this, and for the sins of the house of Israel. What {is} the transgression of Jacob? {is it} not Samaria? and what {are} the high places of Judah? {are they} not Jerusalem?	0.16	positive	Tudo por causa da transgressão de Jacó, dos pecados da nação de Israel. Qual é a transgressão de Jacó? Acaso não é Samaria? Qual é o altar idólatra de Judá? Acaso não é Jerusalém?
MIC.1.6	1	6	Therefore I will make Samaria as an heap of the field, {and} as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.	-0.1556	negative	"""Por isso farei de Samaria um monte de entulho em campo aberto, um lugar para plantação de vinhas; atirarei as suas pedras no vale e porei a descoberto os seus alicerces."
MIC.1.7	1	7	And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered {it} of the hire of an harlot, and they shall return to the hire of an harlot.	0.0	neutral	"Todas as suas imagens esculpidas serão despedaçadas e todos os seus ganhos imorais serão consumidos pelo fogo; destruirei todas as suas imagens. Visto que o que ela ajuntou foi como ganho da prostituição, como salário de prostituição tornará a ser usado. """
MIC.1.8	1	8	Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls. {owls: Heb. daughters of the owl}	0.0	neutral	Por causa disso chorarei e lamentarei; andarei descalço e nu. Uivarei como um chacal e gemerei como um filhote de coruja.
MIC.1.9	1	9	For her wound {is} incurable; for it is come unto Judah; he is come unto the gate of my people, {even} to Jerusalem. {her...: or, she is grievously sick of her wounds}	-0.6071	negative	Pois a ferida de Samaria é incurável; e chegou a Judá. O flagelo alcançou até mesmo a porta do meu povo, até a própria Jerusalém!
MIC.1.10	1	10	Declare ye {it} not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust. {Aphrah: that is, Dust}	0.0	neutral	Não contem isso em Gate, e não chorem. Habitantes de Bete-Ofra, revolvam-se no pó.
