verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
OBA.1.1	1	1	The vision of Obadiah. Thus saith the Lord GOD concerning Edom; We have heard a rumour from the LORD, and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.	0.0	neutral	VISION de Abdías. El Señor Jehová ha dicho así cuanto á Edom: Oído hemos el pregón de Jehová, y mensajero es enviado á las gentes. Levantaos, y levantémonos contra ella en batalla.
OBA.1.2	1	2	Behold, I have made thee small among the heathen: thou art greatly despised.	0.275	positive	He aquí, pequeño te he hecho entre las gentes; abatido eres tú en gran manera.
OBA.1.3	1	3	The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation {is} high; that saith in his heart, Who shall bring me down to the ground?	0.0022	neutral	La soberbia de tu corazón te ha engañado, tú que moras en las hendiduras de las peñas, en tu altísima morada; que dices en tu corazón: ¿Quién me derribará á tierra?
OBA.1.4	1	4	Though thou exalt {thyself} as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the LORD.	-0.1556	negative	Si te encaramares como águila, y si entre las estrellas pusieres tu nido, de ahí te derribaré, dice Jehová.
OBA.1.5	1	5	If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave {some} grapes? {some...: or, gleanings?}	0.0	neutral	Si ladrones vinieran á ti, ó robadores de noche (¡cómo has sido destruído!) ¿no hurtaran lo que les bastase? Pues si entraran á ti vendimiadores, aun dejaran algún rebusco.
OBA.1.6	1	6	How are {the things} of Esau searched out! {how} are his hidden things sought up!	-0.2083	negative	¡Cómo fueron escudriñadas las cosas de Esaú! sus cosas escondidas fueron buscadas.
OBA.1.7	1	7	All the men of thy confederacy have brought thee {even} to the border: the men that were at peace with thee have deceived thee, {and} prevailed against thee; {they that eat} thy bread have laid a wound under thee: {there is} none understanding in him. {that were...: Heb. of thy peace} {they...: Heb. the men of thy bread} {in him: or, of it}	-0.75	negative	Hasta el término te hicieron llegar todos tus aliados; te han engañado tus pacíficos, prevalecieron contra ti; los que comían tu pan, pusieron el lazo debajo de ti: no hay en él entendimiento.
OBA.1.8	1	8	Shall I not in that day, saith the LORD, even destroy the wise {men} out of Edom, and understanding out of the mount of Esau?	0.25	positive	¿No haré que perezcan en aquel día, dice Jehová, los sabios de Edom, y la prudencia del monte de Esaú?
OBA.1.9	1	9	And thy mighty {men}, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.	0.4	positive	Y tus valientes, oh Temán, serán quebrantados; porque todo hombre será talado del monte de Esaú por el estrago.
OBA.1.10	1	10	For {thy} violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever.	0.0	neutral	Por la injuria de tu hermano Jacob te cubrirá vergüenza, y serás talado para siempre.
OBA.1.11	1	11	In the day that thou stoodest on the other side, in the day that the strangers carried away captive his forces, and foreigners entered into his gates, and cast lots upon Jerusalem, even thou {wast} as one of them. {captive...: or, his substance}	0.0917	neutral	El día que estando tú delante, llevaban extraños cautivo su ejército, y los extraños entraban por sus puertas, y echaban suertes sobre Jerusalem, tú también eras como uno de ellos.
OBA.1.12	1	12	But thou shouldest not have looked on the day of thy brother in the day that he became a stranger; neither shouldest thou have rejoiced over the children of Judah in the day of their destruction; neither shouldest thou have spoken proudly in the day of distress. {spoken...: Heb. magnified thy mouth}	0.8	positive	Pues no debiste tú estar mirando en el día de tu hermano, el día en que fué extrañado: no te habías de haber alegrado de los hijos de Judá en el día que se perdieron, ni habías de ensanchar tu boca en el día de la angustia:
OBA.1.13	1	13	Thou shouldest not have entered into the gate of my people in the day of their calamity; yea, thou shouldest not have looked on their affliction in the day of their calamity, nor have laid {hands} on their substance in the day of their calamity; {substance: or, forces}	0.0	neutral	No habías de haber entrado por la puerta de mi pueblo en el día de su quebrantamiento; no, no habías tú de haber mirado su mal el día de su quebranto, ni haber echado mano á sus bienes el día de su calamidad.
OBA.1.14	1	14	Neither shouldest thou have stood in the crossway, to cut off those of his that did escape; neither shouldest thou have delivered up those of his that did remain in the day of distress. {delivered up: or, shut up}	0.0	neutral	Tampoco habías de haberte parado en las encrucijadas, para matar los que de ellos escapasen; ni habías tú de haber entregado los que quedaban en el día de angustia.
OBA.1.15	1	15	For the day of the LORD {is} near upon all the heathen: as thou hast done, it shall be done unto thee: thy reward shall return upon thine own head.	0.35	positive	Porque cercano está el día de Jehová sobre todas las gentes: como tú hiciste se hará contigo: tu galardón volverá sobre tu cabeza.
OBA.1.16	1	16	For as ye have drunk upon my holy mountain, {so} shall all the heathen drink continually, yea, they shall drink, and they shall swallow down, and they shall be as though they had not been. {swallow...: or, sup up}	-0.3278	negative	De la manera que vosotros bebisteis en mi santo monte, beberán, todas las gentes de continuo: beberán, y engullirán, y serán como si no hubieran sido.
OBA.1.17	1	17	But upon mount Zion shall be deliverance, and there shall be holiness; and the house of Jacob shall possess their possessions. {deliverance: or, they that escape} {there...: or, it shall be holy}	0.0	neutral	Mas en el monte de Sión habrá salvamento, y será santidad, y la casa de Jacob, poseerá sus posesiones.
OBA.1.18	1	18	And the house of Jacob shall be a fire, and the house of Joseph a flame, and the house of Esau for stubble, and they shall kindle in them, and devour them; and there shall not be {any} remaining of the house of Esau; for the LORD hath spoken {it}.	0.0	neutral	Y la casa de Jacob será fuego, y la casa de José será llama, y la casa de Esaú estopa, y los quemarán, y los consumirán; ni aun reliquia quedará en la casa de Esaú, porque Jehová lo habló.
OBA.1.19	1	19	And {they of} the south shall possess the mount of Esau; and {they of} the plain the Philistines: and they shall possess the fields of Ephraim, and the fields of Samaria: and Benjamin {shall possess} Gilead.	-0.2143	negative	Y los del mediodía poseerán el monte de Esaú, y los llanos de los Palestinos; poseerán también los campos de Ephraim, y los campos de Samaria; y Benjamín á Galaad.
OBA.1.20	1	20	And the captivity of this host of the children of Israel {shall possess} that of the Canaanites, {even} unto Zarephath; and the captivity of Jerusalem, which {is} in Sepharad, shall possess the cities of the south. {which...: or, shall possess that which is in}	0.0	neutral	Y los cautivos de aqueste ejército de los hijos de Israel poseerán lo de los Cananeos hasta Sarepta; y los cautivos de Jerusalem, que están en Sepharad, poseerán las ciudades del mediodía.
OBA.1.21	1	21	And saviours shall come up on mount Zion to judge the mount of Esau; and the kingdom shall be the LORD'S.	0.0	neutral	Y vendrán salvadores al monte de Sión para juzgar al monte de Esaú; y el reino será de Jehová.
