verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
NAM.1.1	1	1	The burden of Nineveh. The book of the vision of Nahum the Elkoshite.	0.0	neutral	Advertência contra Nínive. Livro da visão de Naum, de Elcós.
NAM.1.2	1	2	God {is} jealous, and the LORD revengeth; the LORD revengeth, and {is} furious; the LORD will take vengeance on his adversaries, and he reserveth {wrath} for his enemies. {God...: or, The LORD is a jealous God, and a revenger, etc} {is furious: Heb. that hath fury}	0.0	neutral	O SENHOR é Deus zeloso e vingador! O SENHOR é vingador! Seu furor é terrível! O SENHOR executa vingança contra os seus adversários e manifesta o seu furor contra os seus inimigos.
NAM.1.3	1	3	The LORD {is} slow to anger, and great in power, and will not at all acquit {the wicked}: the LORD hath his way in the whirlwind and in the storm, and the clouds {are} the dust of his feet.	-0.0667	neutral	O SENHOR é muito paciente, mas o seu poder é imenso; o SENHOR não deixará impune o culpado. O seu caminho está no vendaval e na tempestade, e as nuvens são a poeira de seus pés.
NAM.1.4	1	4	He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.	-0.0667	neutral	Ele repreende o mar e o faz secar, faz que todos os rios se sequem. Basã e o Carmelo se desvanecem e as flores do Líbano murcham.
NAM.1.5	1	5	The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.	0.0	neutral	Quando ele se aproxima os montes tremem e as colinas se derretem. A terra se agita na sua presença, o mundo e todos os que nele vivem.
NAM.1.6	1	6	Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him. {abide: Heb. stand up}	-0.4278	negative	Quem pode resistir à sua indignação? Quem pode suportar o despertar de sua ira? O seu furor se derrama como fogo, e as rochas se despedaçam diante dele.
NAM.1.7	1	7	The LORD {is} good, a strong hold in the day of trouble; and he knoweth them that trust in him. {strong hold: or, strength}	0.3417	positive	O SENHOR é bom, um refúgio em tempos de angústia. Ele protege os que nele confiam,
NAM.1.8	1	8	But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.	0.0	neutral	mas com uma enchente devastadora dará fim a Nínive; expulsará os seus inimigos para a escuridão.
NAM.1.9	1	9	What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.	0.0	neutral	O SENHOR acabará com tudo o que vocês planejarem contra ele; a tribulação não precisará vir uma segunda vez.
NAM.1.10	1	10	For while {they be} folden together {as} thorns, and while they are drunken {as} drunkards, they shall be devoured as stubble fully dry.	-0.0667	neutral	Embora estejam entrelaçados como espinhos e encharcados de bebida como bêbados, serão consumidos como a palha mais seca.
NAM.1.11	1	11	There is {one} come out of thee, that imagineth evil against the LORD, a wicked counsellor. {a wicked...: Heb. a counsellor of Belial}	-1.0	negative	Foi de você, ó Nínive, que saiu aquele que trama perversidades, que planeja o mal contra o SENHOR.
NAM.1.12	1	12	Thus saith the LORD; Though {they be} quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more. {Though...: or, If they would have been at peace, so should they have been many, and so should they have been shorn, and he should have passed away} {cut down: Heb. shorn}	0.0731	neutral	"Assim diz o SENHOR: ""Apesar de serem fortes e numerosos, serão ceifados e destruídos; mas, você, Judá, embora eu a tenha afligido, não a afligirei mais."
NAM.1.13	1	13	For now will I break his yoke from off thee, and will burst thy bonds in sunder.	0.0	neutral	"Agora vou quebrar o jugo do seu pescoço e arrancar as suas algemas""."
NAM.1.14	1	14	And the LORD hath given a commandment concerning thee, {that} no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.	-0.25	negative	"O SENHOR decreta o seguinte a seu respeito, ó rei de Nínive: ""Você não terá descendentes que perpetuem o seu nome. Destruirei as imagens esculpidas e os ídolos de metal do templo dos seus deuses. Prepararei o seu túmulo, porque você é desprezível""."
NAM.1.15	1	15	Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off. {keep...: Heb. feast} {the wicked: Heb. Belial}	0.2083	positive	Vejam sobre os montes os pés do que anuncia boas notícias e proclama a paz! Comemore as suas festas, ó Judá, e cumpra os seus votos. Nunca mais o perverso a invadirá; ele será completamente destruído.
NAM.2.1	2	1	He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make {thy} loins strong, fortify {thy} power mightily. {He...: or, The disperser, or, hammer}	0.4167	positive	O destruidor avança contra você, Nínive! Guarde a fortaleza! Vigie a estrada! Prepare a resistência! Reúna todas as suas forças!
