verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JDG.1.1	1	1	Now after the death of Joshua it came to pass, that the children of Israel asked the LORD, saying, Who shall go up for us against the Canaanites first, to fight against them?	0.25	positive	"Depois da morte de Josué, os israelitas perguntaram ao Senhor: ""Quem de nós será o primeiro a atacar os cananeus? """
JDG.1.2	1	2	And the LORD said, Judah shall go up: behold, I have delivered the land into his hand.	0.0	neutral	"O Senhor respondeu: ""Judá será o primeiro; eu entreguei a terra em suas mãos""."
JDG.1.3	1	3	And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.	0.0	neutral	"Então os homens de Judá disseram aos seus irmãos de Simeão: ""Venham conosco ao território que nos foi designado por sorteio, e lutemos contra os cananeus. Iremos com vocês para o território que lhes foi dado"". E os homens de Simeão foram com eles."
JDG.1.4	1	4	And Judah went up; and the LORD delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.	0.0	neutral	Quando os homens de Judá atacaram, o Senhor entregou os cananeus e os ferezeus nas mãos deles, e eles mataram dez mil homens em Bezeque.
JDG.1.5	1	5	And they found Adonibezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.	0.0	neutral	Foi lá que encontraram Adoni-Bezeque, lutaram contra ele e derrotaram os cananeus e os ferezeus.
JDG.1.6	1	6	But Adonibezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.	0.8	positive	Adoni-Bezeque fugiu, mas eles o perseguiram e o prenderam, e lhe cortaram os polegares das mãos e dos pés.
JDG.1.7	1	7	And Adonibezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered {their meat} under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died. {their thumbs...: Heb. the thumbs of their hands and of their feet} {gathered: or, gleaned}	0.4	positive	"Então Adoni-Bezeque disse: ""Setenta reis com os polegares das mãos e dos pés cortados apanhavam migalhas debaixo da minha mesa. Agora Deus me retribuiu por aquilo que lhes fiz"". Eles o levaram para Jerusalém, onde morreu."
JDG.1.8	1	8	Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.	0.0	neutral	Os homens de Judá atacaram também Jerusalém e a conquistaram. Mataram seus habitantes ao fio da espada e a incendiaram.
JDG.1.9	1	9	And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley. {valley: or, low country}	-0.0778	neutral	Depois disso eles desceram para lutar contra os cananeus que viviam na serra, no Neguebe e na Sefelá.
JDG.1.10	1	10	And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before {was} Kirjatharba:) and they slew Sheshai, and Ahiman, and Talmai.	-0.125	negative	Avançaram contra os cananeus que viviam em Hebrom, anteriormente chamada Quiriate-Arba, e derrotaram Sesai, Aimã e Talmai.
