verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
GAL.1.1	1	1	Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)	0.025	neutral	Paulo, apóstolo enviado, não da parte de homens nem por meio de pessoa alguma, mas por Jesus Cristo e por Deus Pai, que o ressuscitou dos mortos,
GAL.1.2	1	2	And all the brethren which are with me, unto the churches of Galatia:	0.0	neutral	e todos os irmãos que estão comigo, às igrejas da Galácia:
GAL.1.3	1	3	Grace {be} to you and peace from God the Father, and {from} our Lord Jesus Christ,	0.0	neutral	A vocês, graça e paz da parte de Deus nosso Pai e do Senhor Jesus Cristo,
GAL.1.4	1	4	Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:	-0.5	negative	que se entregou a si mesmo por nossos pecados a fim de nos resgatar desta presente era perversa, segundo a vontade de nosso Deus e Pai,
GAL.1.5	1	5	To whom {be} glory for ever and ever. Amen.	0.0	neutral	a quem seja a glória para todo o sempre. Amém.
GAL.1.6	1	6	I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:	0.0	neutral	Admiro-me de que vocês estejam abandonando tão rapidamente aquele que os chamou pela graça de Cristo, para seguirem outro evangelho
GAL.1.7	1	7	Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.	-0.2	negative	que, na realidade, não é o evangelho. O que ocorre é que algumas pessoas os estão perturbando, querendo perverter o evangelho de Cristo.
GAL.1.8	1	8	But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.	-0.125	negative	Mas ainda que nós ou um anjo do céu pregue um evangelho diferente daquele que lhes pregamos, que seja amaldiçoado!
GAL.1.9	1	9	As we said before, so say I now again, If any {man} preach any other gospel unto you than that ye have received, let him be accursed.	-0.125	negative	Como já dissemos, agora repito: Se alguém lhes anuncia um evangelho diferente daquele que já receberam, que seja amaldiçoado!
GAL.1.10	1	10	For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.	0.5	positive	Acaso busco eu agora a aprovação dos homens ou a de Deus? Ou estou tentando agradar a homens? Se eu ainda estivesse procurando agradar a homens, não seria servo de Cristo.
GAL.1.11	1	11	But I certify you, brethren, that the gospel which was preached of me is not after man.	0.0	neutral	Irmãos, quero que saibam que o evangelho por mim anunciado não é de origem humana.
GAL.1.12	1	12	For I neither received it of man, neither was I taught {it}, but by the revelation of Jesus Christ.	0.0	neutral	Não o recebi de pessoa alguma nem me foi ele ensinado; pelo contrário, eu o recebi de Jesus Cristo por revelação.
GAL.1.13	1	13	For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:	-0.225	negative	Vocês ouviram qual foi o meu procedimento no judaísmo, como perseguia com violência a igreja de Deus, procurando destruí-la.
GAL.1.14	1	14	And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers. {equals: Gr. equals in years}	0.4	positive	No judaísmo, eu superava a maioria dos judeus da minha idade, e era extremamente zeloso das tradições dos meus antepassados.
