verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JHN.7.17	7	17	If any man will do his will, he shall know of the doctrine, whether it be of God, or {whether} I speak of myself.	0.0	neutral	Se alguém decidir fazer a vontade de Deus, descobrirá se o meu ensino vem de Deus ou se falo por mim mesmo.
JHN.7.18	7	18	He that speaketh of himself seeketh his own glory: but he that seeketh his glory that sent him, the same is true, and no unrighteousness is in him.	0.3167	positive	Aquele que fala por si mesmo busca a sua própria glória, mas aquele que busca a glória de quem o enviou, este é verdadeiro; não há nada de falso a seu respeito.
JHN.7.19	7	19	Did not Moses give you the law, and {yet} none of you keepeth the law? Why go ye about to kill me?	0.0	neutral	"Moisés não lhes deu a lei? No entanto, nenhum de vocês lhe obedece. Por que vocês procuram matar-me? """
JHN.7.20	7	20	The people answered and said, Thou hast a devil: who goeth about to kill thee?	0.0	neutral	"""Você está endemoninhado"", respondeu a multidão. ""Quem está procurando matá-lo? """
JHN.7.21	7	21	Jesus answered and said unto them, I have done one work, and ye all marvel.	0.0	neutral	"Jesus lhes disse: ""Fiz um milagre, e vocês todos estão admirados."
JHN.7.22	7	22	Moses therefore gave unto you circumcision; (not because it is of Moses, but of the fathers;) and ye on the sabbath day circumcise a man.	0.25	positive	No entanto, porque Moisés lhes deu a circuncisão ( embora, na verdade, ela não tenha vindo de Moisés, mas dos patriarcas ), vocês circuncidam no sábado.
JHN.7.23	7	23	If a man on the sabbath day receive circumcision, that the law of Moses should not be broken; are ye angry at me, because I have made a man every whit whole on the sabbath day? {that...: or, without breaking the law of Moses}	-0.2333	negative	Ora, se um menino pode ser circuncidado no sábado para que a lei de Moisés não seja quebrada, por que vocês ficam cheias de ira contra mim por ter curado completamente um homem no sábado?
JHN.7.24	7	24	Judge not according to the appearance, but judge righteous judgment.	0.0	neutral	"Não julguem apenas pela aparência, mas façam julgamentos justos""."
JHN.7.25	7	25	Then said some of them of Jerusalem, Is not this he, whom they seek to kill?	0.0	neutral	"Então alguns habitantes de Jerusalém começaram a perguntar: ""Não é este o homem que estão procurando matar?"
JHN.7.26	7	26	But, lo, he speaketh boldly, and they say nothing unto him. Do the rulers know indeed that this is the very Christ?	0.2667	positive	Aqui está ele, falando publicamente, e não lhe dizem uma palavra. Será que as autoridades chegaram à conclusão de que ele é realmente o Cristo?
JHN.7.27	7	27	Howbeit we know this man whence he is: but when Christ cometh, no man knoweth whence he is.	0.0	neutral	"Mas nós sabemos de onde é este homem; quando o Cristo vier, ninguém saberá de onde ele é""."
JHN.7.28	7	28	Then cried Jesus in the temple as he taught, saying, Ye both know me, and ye know whence I am: and I am not come of myself, but he that sent me is true, whom ye know not.	0.35	positive	"Enquanto ensinava no pátio do templo, Jesus exclamou: ""Sim, vocês me conhecem e sabem de onde sou. Eu não estou aqui por mim mesmo, mas aquele que me enviou é verdadeiro. Vocês não o conhecem,"
JHN.7.29	7	29	But I know him: for I am from him, and he hath sent me.	0.0	neutral	"mas eu o conheço porque venho da parte dele, e ele me enviou""."
JHN.7.30	7	30	Then they sought to take him: but no man laid hands on him, because his hour was not yet come.	0.0	neutral	Então tentaram prendê-lo, mas ninguém lhe pôs as mãos, porque a sua hora ainda não havia chegado.
JHN.7.31	7	31	And many of the people believed on him, and said, When Christ cometh, will he do more miracles than these which this {man} hath done?	0.5	positive	"Assim mesmo, muitos dentre a multidão creram nele e diziam: ""Quando o Cristo vier, fará mais sinais miraculosos do que este homem fez? """
JHN.7.32	7	32	The Pharisees heard that the people murmured such things concerning him; and the Pharisees and the chief priests sent officers to take him.	0.0	neutral	Os fariseus ouviram a multidão falando essas coisas a respeito dele. Então os chefes dos sacerdotes e os fariseus enviaram guardas do templo para o prenderem.
