verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ISA.14.27	14	27	For the LORD of hosts hath purposed, and who shall disannul {it}? and his hand {is} stretched out, and who shall turn it back?	-0.025	neutral	Porque Jehová de los ejércitos ha determinado: ¿y quién invalidará? Y su mano extendida, ¿quién la hará tornar?
ISA.14.28	14	28	In the year that king Ahaz died was this burden.	0.0	neutral	En el año que murió el rey Achâz fué esta carga:
ISA.14.29	14	29	Rejoice not thou, whole Palestina, because the rod of him that smote thee is broken: for out of the serpent's root shall come forth a cockatrice, and his fruit {shall be} a fiery flying serpent. {cockatrice: or, adder}	-0.1	neutral	No te alegres tú, Filistea toda, por haberse quebrado la vara del que te hería; porque de la raíz de la culebra saldrá basilisco, y su fruto, ceraste volador.
ISA.14.30	14	30	And the firstborn of the poor shall feed, and the needy shall lie down in safety: and I will kill thy root with famine, and he shall slay thy remnant.	-0.2778	negative	Y los primogénitos de los pobres serán apacentados, y los menesterosos se acostarán seguramente: mas yo haré morir de hambre tu raíz, y mataré tus reliquias.
ISA.14.31	14	31	Howl, O gate; cry, O city; thou, whole Palestina, {art} dissolved: for there shall come from the north a smoke, and none {shall be} alone in his appointed times. {none...: or, he shall not be alone} {appointed...: or, assemblies}	0.2	positive	Aulla, oh puerta; clama, oh ciudad; disuelta estás toda tú, Filistea: porque humo vendrá de aquilón, no quedará uno solo en sus asambleas.
ISA.14.32	14	32	What shall {one} then answer the messengers of the nation? That the LORD hath founded Zion, and the poor of his people shall trust in it. {trust...: or, betake themselves unto it}	-0.4	negative	¿Y qué se responderá á los mensajeros de la gentilidad? Que Jehová fundó á Sión, y que á ella se acogerán los afligidos de su pueblo.
ISA.15.1	15	1	The burden of Moab. Because in the night Ar of Moab is laid waste, {and} brought to silence; because in the night Kir of Moab is laid waste, {and} brought to silence; {brought...: or, cut off}	-0.2	negative	CARGA de Moab.
ISA.15.2	15	2	He is gone up to Bajith, and to Dibon, the high places, to weep: Moab shall howl over Nebo, and over Medeba: on all their heads {shall be} baldness, {and} every beard cut off.	0.16	positive	Subió á Bayith y á Dibón, lugares altos, á llorar; sobre Nebo y sobre Medeba aullará Moab: toda cabeza de ella será raída, y toda barba se mesará.
ISA.15.3	15	3	In their streets they shall gird themselves with sackcloth: on the tops of their houses, and in their streets, every one shall howl, weeping abundantly. {weeping...: Heb. descending into weeping, or, coming down with weeping}	0.2222	positive	Ceñiránse de sacos en sus plazas: en sus terrados y en sus calles aullarán todos, descendiendo en llanto.
ISA.15.4	15	4	And Heshbon shall cry, and Elealeh: their voice shall be heard {even} unto Jahaz: therefore the armed soldiers of Moab shall cry out; his life shall be grievous unto him.	-0.8	negative	Hesbón y Eleale gritarán, hasta Jahas se oirá su voz: por lo que aullarán los armados de Moab, lamentaráse el alma de cada uno de por sí.
