verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
GEN.24.9	24	9	And the servant put his hand under the thigh of Abraham his master, and sware to him concerning that matter.	0.0	neutral	Entonces el criado puso su mano debajo del muslo de Abraham su señor, y juróle sobre este negocio.
GEN.24.10	24	10	And the servant took ten camels of the camels of his master, and departed; for all the goods of his master {were} in his hand: and he arose, and went to Mesopotamia, unto the city of Nahor. {for: or, and}	0.0	neutral	Y el criado tomó diez camellos de los camellos de su señor, y fuése, pues tenía á su disposición todos los bienes de su señor: y puesto en camino, llegó á Mesopotamia, á la ciudad de Nachôr.
GEN.24.11	24	11	And he made his camels to kneel down without the city by a well of water at the time of the evening, {even} the time that women go out to draw {water}. {that...: Heb. that women who draw water go forth}	-0.1556	negative	E hizo arrodillar los camellos fuera de la ciudad, junto á un pozo de agua, á la hora de la tarde, á la hora en que salen las mozas por agua.
GEN.24.12	24	12	And he said, O LORD God of my master Abraham, I pray thee, send me good speed this day, and shew kindness unto my master Abraham.	0.7	positive	Y dijo: Jehová, Dios de mi señor Abraham, dame, te ruego, el tener hoy buen encuentro, y haz misericordia con mi señor Abraham.
GEN.24.13	24	13	Behold, I stand {here} by the well of water; and the daughters of the men of the city come out to draw water:	0.0	neutral	He aquí yo estoy junto á la fuente de agua, y las hijas de los varones de esta ciudad salen por agua:
GEN.24.14	24	14	And let it come to pass, that the damsel to whom I shall say, Let down thy pitcher, I pray thee, that I may drink; and she shall say, Drink, and I will give thy camels drink also: {let the same be} she {that} thou hast appointed for thy servant Isaac; and thereby shall I know that thou hast shewed kindness unto my master.	-0.3019	negative	Sea, pues, que la moza á quien yo dijere: Baja tu cántaro, te ruego, para que yo beba; y ella respondiere: Bebe, y también daré de beber á tus camellos: que sea ésta la que tú has destinado para tu siervo Isaac; y en esto conoceré que habrás hecho misericordia con mi señor.
GEN.24.15	24	15	And it came to pass, before he had done speaking, that, behold, Rebekah came out, who was born to Bethuel, son of Milcah, the wife of Nahor, Abraham's brother, with her pitcher upon her shoulder.	0.0	neutral	Y aconteció que antes que él acabase de hablar, he aquí Rebeca, que había nacido á Bethuel, hijo de Milca, mujer de Nachôr hermano de Abraham, la cual salía con su cántaro sobre su hombro.
GEN.24.16	24	16	And the damsel {was} very fair to look upon, a virgin, neither had any man known her: and she went down to the well, and filled her pitcher, and came up. {very...: Heb. good of countenance}	0.4109	positive	Y la moza era de muy hermoso aspecto, virgen, á la que varón no había conocido; la cual descendió á la fuente, y llenó su cántaro, y se volvía.
GEN.24.17	24	17	And the servant ran to meet her, and said, Let me, I pray thee, drink a little water of thy pitcher.	-0.1875	negative	Entonces el criado corrió hacia ella, y dijo: Ruégote que me des á beber un poco de agua de tu cántaro.
GEN.24.18	24	18	And she said, Drink, my lord: and she hasted, and let down her pitcher upon her hand, and gave him drink.	-0.1556	negative	Y ella respondió: Bebe, señor mío: y dióse prisa á bajar su cántaro sobre su mano, y le dió á beber.
GEN.24.19	24	19	And when she had done giving him drink, she said, I will draw {water} for thy camels also, until they have done drinking.	0.0	neutral	Y cuando acabó de darle á beber, dijo: También para tus camellos sacaré agua, hasta que acaben de beber.
GEN.24.20	24	20	And she hasted, and emptied her pitcher into the trough, and ran again unto the well to draw {water}, and drew for all his camels.	0.0	neutral	Y dióse prisa, y vació su cántaro en la pila, y corrió otra vez al pozo para sacar agua, y sacó para todos sus camellos.
GEN.24.21	24	21	And the man wondering at her held his peace, to wit whether the LORD had made his journey prosperous or not.	0.0	neutral	Y el hombre estaba maravillado de ella, callando, para saber si Jehová había prosperado ó no su viaje.
GEN.24.22	24	22	And it came to pass, as the camels had done drinking, that the man took a golden earring of half a shekel weight, and two bracelets for her hands of ten {shekels} weight of gold; {earring: or, jewel for the forehead}	0.0444	neutral	Y fué que como los camellos acabaron de beber, presentóle el hombre un pendiente de oro que pesaba medio siclo, y dos brazaletes que pesaban diez:
GEN.24.23	24	23	And said, Whose daughter {art} thou? tell me, I pray thee: is there room {in} thy father's house for us to lodge in?	0.0	neutral	Y dijo: ¿De quién eres hija? Ruégote me digas, ¿hay lugar en casa de tu padre donde posemos?
GEN.24.24	24	24	And she said unto him, I {am} the daughter of Bethuel the son of Milcah, which she bare unto Nahor.	0.05	neutral	Y ella respondió: Soy hija de Bethuel, hijo de Milca, el cual parió ella á Nachôr.
GEN.24.25	24	25	She said moreover unto him, We have both straw and provender enough, and room to lodge in.	0.0	neutral	Y añadió: También hay en nuestra casa paja y mucho forraje, y lugar para posar.
GEN.24.26	24	26	And the man bowed down his head, and worshipped the LORD.	-0.1556	negative	El hombre entonces se inclinó, y adoró á Jehová.
GEN.24.27	24	27	And he said, Blessed {be} the LORD God of my master Abraham, who hath not left destitute my master of his mercy and his truth: I {being} in the way, the LORD led me to the house of my master's brethren.	0.0	neutral	Y dijo: Bendito sea Jehová, Dios de mi amo Abraham, que no apartó su misericordia y su verdad de mi amo, guiándome Jehová en el camino á casa de los hermanos de mi amo.
GEN.24.28	24	28	And the damsel ran, and told {them of} her mother's house these things.	0.0	neutral	Y la moza corrió, é hizo saber en casa de su madre estas cosas.
GEN.24.29	24	29	And Rebekah had a brother, and his name {was} Laban: and Laban ran out unto the man, unto the well.	0.0	neutral	Y Rebeca tenía un hermano que se llamaba Labán, el cual corrió afuera al hombre, á la fuente;
GEN.24.30	24	30	And it came to pass, when he saw the earring and bracelets upon his sister's hands, and when he heard the words of Rebekah his sister, saying, Thus spake the man unto me; that he came unto the man; and, behold, he stood by the camels at the well.	0.0	neutral	Y fué que como vió el pendiente y los brazaletes en las manos de su hermana, que decía, Así me habló aquel hombre; vino á él: y he aquí que estaba junto á los camellos á la fuente.
GEN.24.31	24	31	And he said, Come in, thou blessed of the LORD; wherefore standest thou without? for I have prepared the house, and room for the camels.	0.0	neutral	Y díjole: Ven, bendito de Jehová; ¿por qué estás fuera? yo he limpiado la casa, y el lugar para los camellos.
