verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
TIT.1.1	1	1	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;	0.8	positive	PABLO, siervo de Dios, y apóstol de Jesucristo, según la fe de los escogidos de Dios, y el conocimiento de la verdad que es según la piedad,
TIT.1.2	1	2	In hope of eternal life, which God, that cannot lie, promised before the world began; {In: or, For}	0.0	neutral	Para la esperanza de la vida eterna, la cual Dios, que no puede mentir, prometió antes de los tiempos de los siglos,
TIT.1.3	1	3	But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;	-0.125	negative	Y manifestó á sus tiempos su palabra por la predicación, que me es á mí encomendada por mandamiento de nuestro Salvador Dios;
TIT.1.4	1	4	To Titus, {mine} own son after the common faith: Grace, mercy, {and} peace, from God the Father and the Lord Jesus Christ our Saviour.	0.15	positive	A Tito, verdadero hijo en la común fe: Gracia, misericordia, y paz de Dios Padre, y del Señor Jesucristo Salvador nuestro.
TIT.1.5	1	5	For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee: {wanting: or, left undone}	-0.25	negative	Por esta causa te dejé en Creta, para que corrigieses lo que falta, y pusieses ancianos por las villas, así como yo te mandé:
TIT.1.6	1	6	If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.	0.0	neutral	El que fuere sin crimen, marido de una mujer, que tenga hijos fieles que no estén acusados de disolución, ó contumaces.
TIT.1.7	1	7	For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;	-0.65	negative	Porque es menester que el obispo sea sin crimen, como dispensador de Dios; no soberbio, no iracundo, no amador del vino, no heridor, no codicioso de torpes ganancias;
TIT.1.8	1	8	But a lover of hospitality, a lover of good men, sober, just, holy, temperate; {men: or, things}	0.4	positive	Sino hospedador, amador de lo bueno, templado, justo, santo, continente;
TIT.1.9	1	9	Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers. {as...: or, in teaching}	0.3667	positive	Retenedor de la fiel palabra que es conforme á la doctrina: para que también pueda exhortar con sana doctrina, y convencer á los que contradijeren.
TIT.1.10	1	10	For there are many unruly and vain talkers and deceivers, specially they of the circumcision:	0.4286	positive	Porque hay aún muchos contumaces, habladores de vanidades, y engañadores de las almas, mayormente los que son de la circuncisión,
TIT.1.11	1	11	Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.	-0.3	negative	A los cuales es preciso tapar la boca; que trastornan casas enteras; enseñando lo que no conviene, por torpe ganancia.
TIT.1.12	1	12	One of themselves, {even} a prophet of their own, said, The Cretians {are} alway liars, evil beasts, slow bellies.	-0.2333	negative	Dijo uno de ellos, propio profeta de ellos: Los Cretenses, siempre mentirosos, malas bestias, vientres perezosos.
TIT.1.13	1	13	This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;	0.2083	positive	Este testimonio es verdadero: por tanto, repréndelos duramente, para que sean sanos en la fe,
TIT.1.14	1	14	Not giving heed to Jewish fables, and commandments of men, that turn from the truth.	0.0	neutral	No atendiendo á fábulas judaicas, y á mandamientos de hombres que se apartan de la verdad.
TIT.1.15	1	15	Unto the pure all things {are} pure: but unto them that are defiled and unbelieving {is} nothing pure; but even their mind and conscience is defiled.	0.2143	positive	Todas las cosas son limpias á los limpios; mas á los contaminados é infieles nada es limpio: antes su alma y conciencia están contaminadas.
TIT.1.16	1	16	They profess that they know God; but in works they deny {him}, being abominable, and disobedient, and unto every good work reprobate. {reprobate: or, void of judgment}	0.7	positive	Profésanse conocer á Dios; mas con los hechos lo niegan, siendo abominables y rebeldes, reprobados para toda buena obra.
