verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
PRO.31.17	31	17	She girdeth her loins with strength, and strengtheneth her arms.	0.0	neutral	Entrega-se com vontade ao seu trabalho; seus braços são fortes e vigorosos.
PRO.31.18	31	18	She perceiveth that her merchandise {is} good: her candle goeth not out by night. {She...: Heb. She tasteth}	0.7	positive	Administra bem o seu comércio lucrativo, e a sua lâmpada fica acesa durante a noite.
PRO.31.19	31	19	She layeth her hands to the spindle, and her hands hold the distaff.	0.0	neutral	Nas mãos segura o fuso e com os dedos pega a roca.
PRO.31.20	31	20	She stretcheth out her hand to the poor; yea, she reacheth forth her hands to the needy. {She...: Heb. She spreadeth}	-0.4	negative	Acolhe os necessitados e estende as mãos aos pobres.
PRO.31.21	31	21	She is not afraid of the snow for her household: for all her household {are} clothed with scarlet. {scarlet: or, double garments}	0.15	positive	Não receia a neve por seus familiares, pois todos eles vestem agasalhos.
PRO.31.22	31	22	She maketh herself coverings of tapestry; her clothing {is} silk and purple.	0.0	neutral	Faz cobertas para a sua cama; veste-se de linho fino e de púrpura.
PRO.31.23	31	23	Her husband is known in the gates, when he sitteth among the elders of the land.	0.0	neutral	Seu marido é respeitado na porta da cidade, onde toma assento entre as autoridades da sua terra.
PRO.31.24	31	24	She maketh fine linen, and selleth {it}; and delivereth girdles unto the merchant.	0.4167	positive	Ela faz vestes de linho e as vende, e fornece cintos aos comerciantes.
PRO.31.25	31	25	Strength and honour {are} her clothing; and she shall rejoice in time to come.	0.0	neutral	Reveste-se de força e dignidade; sorri diante do futuro.
PRO.31.26	31	26	She openeth her mouth with wisdom; and in her tongue {is} the law of kindness.	0.0	neutral	Fala com sabedoria e ensina com amor.
PRO.31.27	31	27	She looketh well to the ways of her household, and eateth not the bread of idleness.	0.0	neutral	Cuida dos negócios de sua casa e não dá lugar à preguiça.
PRO.31.28	31	28	Her children arise up, and call her blessed; her husband {also}, and he praiseth her.	0.0	neutral	Seus filhos se levantam e a elogiam; seu marido também a elogia, dizendo:
PRO.31.29	31	29	Many daughters have done virtuously, but thou excellest them all. {have...: or, have gotten riches}	0.5	positive	"""Muitas mulheres são exemplares, mas você a todas supera""."
PRO.31.30	31	30	Favour {is} deceitful, and beauty {is} vain: {but} a woman {that} feareth the LORD, she shall be praised.	-0.75	negative	A beleza é enganosa, e a formosura é passageira; mas a mulher que teme ao Senhor será elogiada.
PRO.31.31	31	31	Give her of the fruit of her hands; and let her own works praise her in the gates.	0.6	positive	Que ela receba a recompensa merecida, e as suas obras sejam elogiadas à porta da cidade.
