verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
HAG.1.1	1	1	In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the LORD by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, saying, {by: Heb. by the hand of} {governor: or, captain}	0.1367	positive	EN el año segundo del rey Darío en el mes sexto, en el primer día del mes, fué palabra de Jehová, por mano del profeta Haggeo, á Zorobabel hijo de Sealtiel, gobernador de Judá, y á Josué hijo de Josadac, gran sacerdote, diciendo:
HAG.1.2	1	2	Thus speaketh the LORD of hosts, saying, This people say, The time is not come, the time that the LORD'S house should be built.	0.0	neutral	Jehová de los ejércitos habla así, diciendo: Este pueblo dice: No es aún venido el tiempo, el tiempo de que la casa de Jehová sea reedificada.
HAG.1.3	1	3	Then came the word of the LORD by Haggai the prophet, saying,	0.0	neutral	Fué pues palabra de Jehová por mano del profeta Haggeo, diciendo:
HAG.1.4	1	4	{Is it} time for you, O ye, to dwell in your cieled houses, and this house {lie} waste?	-0.2	negative	¿Es para vosotros tiempo, para vosotros, de morar en vuestras casas enmaderadas, y esta casa está desierta?
HAG.1.5	1	5	Now therefore thus saith the LORD of hosts; Consider your ways. {Consider...: Heb. Set your heart on your ways}	0.0	neutral	Pues así ha dicho Jehová de los ejércitos: Pensad bien sobre vuestros caminos.
HAG.1.6	1	6	Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages {to put it} into a bag with holes. {with holes: Heb. pierced through}	0.0825	neutral	Sembráis mucho, y encerráis poco; coméis, y no os hartáis; bebéis, y no os saciáis; os vestís, y no os calentáis; y el que anda á jornal recibe su jornal en trapo horadado.
HAG.1.7	1	7	Thus saith the LORD of hosts; Consider your ways. {Consider...: Heb. Set your heart on your ways}	0.0	neutral	Así ha dicho Jehová de los ejércitos: Meditad sobre vuestros caminos.
HAG.1.8	1	8	Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the LORD.	0.0	neutral	Subid al monte, y traed madera, y reedificad la casa; y pondré en ella, mi voluntad, y seré honrado, ha dicho Jehová.
HAG.1.9	1	9	Ye looked for much, and, lo, {it came} to little; and when ye brought {it} home, I did blow upon it. Why? saith the LORD of hosts. Because of mine house that {is} waste, and ye run every man unto his own house. {blow...: or, blow it away}	0.1031	positive	Buscáis mucho, y halláis poco; y encerráis en casa, y soplo en ello. ¿Por qué? dice Jehová de los ejércitos. Por cuanto mi casa está desierta, y cada uno de vosotros corre á su propia casa.
HAG.1.10	1	10	Therefore the heaven over you is stayed from dew, and the earth is stayed {from} her fruit.	0.0	neutral	Por eso se detuvo de los cielos sobre vosotros la lluvia, y la tierra detuvo sus frutos.
HAG.1.11	1	11	And I called for a drought upon the land, and upon the mountains, and upon the corn, and upon the new wine, and upon the oil, and upon {that} which the ground bringeth forth, and upon men, and upon cattle, and upon all the labour of the hands.	0.1364	positive	Y llamé la sequedad sobre esta tierra, y sobre los montes, y sobre el trigo, y sobre el vino, y sobre el aceite, y sobre todo lo que la tierra produce, y sobre los hombres sobre y las bestias, y sobre todo trabajo de manos.
HAG.1.12	1	12	Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him, and the people did fear before the LORD.	0.16	positive	Y oyó Zorobabel hijo de Sealtiel, y Josué hijo de Josadac, gran sacerdote, y todo el demás pueblo, la voz de Jehová su Dios, y las palabras del porfeta Haggeo, como lo había enviado Jehová el Dios de ellos; y temió el pueblo delante de Jehová.
HAG.1.13	1	13	Then spake Haggai the LORD'S messenger in the LORD'S message unto the people, saying, I {am} with you, saith the LORD.	0.0	neutral	Entonces Haggeo, enviado de Jehová, habló por mandado de Jehová, al pueblo, diciendo: Yo soy con vosotros, dice Jehová.
HAG.1.14	1	14	And the LORD stirred up the spirit of Zerubbabel the son of Shealtiel, governor of Judah, and the spirit of Joshua the son of Josedech, the high priest, and the spirit of all the remnant of the people; and they came and did work in the house of the LORD of hosts, their God,	0.16	positive	Y despertó Jehová el espíritu de Zorobabel hijo de Sealtiel, gobernador de Judá, y el espíritu de Josué hijo de Josadac, gran sacerdote, y el espíritu de todo el resto del pueblo; y vinieron é hicieron obra en la casa de Jehová de los ejércitos, su Dios.
HAG.1.15	1	15	In the four and twentieth day of the sixth month, in the second year of Darius the king.	0.0	neutral	En el día veinte y cuatro del mes sexto, en el segundo año del rey Darío.
HAG.2.1	2	1	In the seventh {month}, in the one and twentieth {day} of the month, came the word of the LORD by the prophet Haggai, saying, {by: Heb. by the hand of}	0.0	neutral	EN el mes séptimo, á los veinte y uno del mes, fué palabra de Jehová por mano del profeta Haggeo, diciendo:
HAG.2.2	2	2	Speak now to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Josedech, the high priest, and to the residue of the people, saying,	0.16	positive	Habla ahora á Zorobabel hijo de Sealtiel, gobernador de Judá, y á Josué hijo de Josadac, gran sacerdote, y al resto del pueblo, diciendo:
HAG.2.3	2	3	Who {is} left among you that saw this house in her first glory? and how do ye see it now? {is it} not in your eyes in comparison of it as nothing?	0.125	positive	¿Quién ha quedado entre vosotros que haya visto esta casa en su primera gloria, y cual ahora la veis? ¿No es ella como nada delante de vuestros ojos?
HAG.2.4	2	4	Yet now be strong, O Zerubbabel, saith the LORD; and be strong, O Joshua, son of Josedech, the high priest; and be strong, all ye people of the land, saith the LORD, and work: for I {am} with you, saith the LORD of hosts:	0.365	positive	Pues ahora, Zorobabel, esfuérzate, dice Jehová; esfuérzate también Josué, hijo de Josadac, gran sacerdote; y cobra ánimo, pueblo todo de la tierra, dice Jehová, y obrad: porque yo soy con vosotros, dice Jehová de los ejércitos.
HAG.2.5	2	5	{According to} the word that I covenanted with you when ye came out of Egypt, so my spirit remaineth among you: fear ye not.	0.0	neutral	Según el pacto que concerté con vosotros a vuestra salida de Egipto, así mi espíritu estará en medio de vosotros: no temáis.
HAG.2.6	2	6	For thus saith the LORD of hosts; Yet once, it {is} a little while, and I will shake the heavens, and the earth, and the sea, and the dry {land};	-0.1271	negative	Porque así dice Jehová de los ejércitos: De aquí á poco aun haré yo temblar los cielos y la tierra, y la mar y la seca:
HAG.2.7	2	7	And I will shake all nations, and the desire of all nations shall come: and I will fill this house with glory, saith the LORD of hosts.	0.0	neutral	Y haré temblar á todas las gentes, y vendrá el Deseado de todas las gentes; y henchiré esta casa de gloria, ha dicho Jehová de los ejércitos.
HAG.2.8	2	8	The silver {is} mine, and the gold {is} mine, saith the LORD of hosts.	0.0	neutral	Mía es la plata, y mío el oro, dice Jehová de los ejércitos.
HAG.2.9	2	9	The glory of this latter house shall be greater than of the former, saith the LORD of hosts: and in this place will I give peace, saith the LORD of hosts.	0.1667	positive	La gloria de aquesta casa postrera será mayor que la de la primera, ha dicho Jehová de los ejércitos; y daré paz en este lugar, dice Jehová de los ejércitos.
HAG.2.10	2	10	In the four and twentieth {day} of the ninth {month}, in the second year of Darius, came the word of the LORD by Haggai the prophet, saying,	0.0	neutral	A veinticuatro del noveno mes, en el segundo año de Darío, fué palabra de Jehová por mano del profeta Haggeo, diciendo:
HAG.2.11	2	11	Thus saith the LORD of hosts; Ask now the priests {concerning} the law, saying,	0.0	neutral	Así ha dicho Jehová de los ejércitos: Pregunta ahora á los sacerdotes acerca de la ley, diciendo:
HAG.2.12	2	12	If one bear holy flesh in the skirt of his garment, and with his skirt do touch bread, or pottage, or wine, or oil, or any meat, shall it be holy? And the priests answered and said, No.	0.0	neutral	Si llevare alguno las carnes sagradas en la falda de su ropa, y con el vuelo de ella tocare el pan, ó la vianda, ó el vino, ó el aceite, ú otra cualquier comida, ¿será santificado? Y respondieron los sacerdotes, y dijeron: No.
HAG.2.13	2	13	Then said Haggai, If {one that is} unclean by a dead body touch any of these, shall it be unclean? And the priests answered and said, It shall be unclean.	-0.2	negative	Y dijo Haggeo: Si un inmundo á causa de cuerpo muerto tocare alguna cosa de éstas, ¿será inmunda? Y respondieron los sacerdotes, y dijeron: Inmunda será.
HAG.2.14	2	14	Then answered Haggai, and said, So {is} this people, and so {is} this nation before me, saith the LORD; and so {is} every work of their hands; and that which they offer there {is} unclean.	0.0	neutral	Y respondió Haggeo y dijo: Así es este pueblo, y esta gente, delante de mí, dice Jehová; y asimismo toda obra de sus manos; y todo lo que aquí ofrecen es inmundo.
HAG.2.15	2	15	And now, I pray you, consider from this day and upward, from before a stone was laid upon a stone in the temple of the LORD:	0.0	neutral	Ahora pues, poned vuestro corazón desde este día en adelante, antes que pusiesen piedra sobre piedra en el templo de Jehová,
