verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
MIC.1.1	1	1	The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, {and} Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.	0.0	neutral	PALABRA de Jehová que fué á Miqueas de Morasti en días de Jotham, Achâz, y Ezechîas, reyes de Judá: lo que vió sobre Samaria y Jerusalem.
MIC.1.2	1	2	Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord GOD be witness against you, the Lord from his holy temple. {all ye...: Heb. ye people, all of them} {all that...: Heb. the fulness thereof}	0.0	neutral	Oid, pueblos todos: está atenta, tierra, y todo lo que en ella hay: y el Señor Jehová, el Señor desde su santo templo sea testigo contra vosotros.
MIC.1.3	1	3	For, behold, the LORD cometh forth out of his place, and will come down, and tread upon the high places of the earth.	0.0022	neutral	Porque he aquí, Jehová sale de su lugar, y descenderá, y hollará sobre las alturas de la tierra.
MIC.1.4	1	4	And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, {and} as the waters {that are} poured down a steep place. {a steep...: Heb. a descent}	-0.1556	negative	Y debajo de él se derretirán los montes, y los valles se hendirán como la cera delante del fuego, como las aguas que corren por un precipicio.
MIC.1.5	1	5	For the transgression of Jacob {is} all this, and for the sins of the house of Israel. What {is} the transgression of Jacob? {is it} not Samaria? and what {are} the high places of Judah? {are they} not Jerusalem?	0.16	positive	Todo esto por la rebelión de Jacob, y por los pecados de la casa de Israel. ¿Cuál es la rebelión de Jacob? ¿no es Samaria? ¿Y cuáles son los excelsos de Judá? ¿no es Jerusalem?
MIC.1.6	1	6	Therefore I will make Samaria as an heap of the field, {and} as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.	-0.1556	negative	Pondré pues á Samaria en majanos de heredad, en tierra de viñas; y derramaré sus piedras por el valle, y descubriré sus fundamentos.
MIC.1.7	1	7	And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered {it} of the hire of an harlot, and they shall return to the hire of an harlot.	0.0	neutral	Y todas sus estatuas serán despedazadas, y todos sus dones serán quemados en fuego, y asolaré todos sus ídolos; porque de dones de rameras los juntó, y á dones de rameras volverán.
MIC.1.8	1	8	Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls. {owls: Heb. daughters of the owl}	0.0	neutral	Por tanto lamentaré y aullaré, y andaré despojado y desnudo; haré gemido como de chacales, y lamento como de avestruces.
MIC.1.9	1	9	For her wound {is} incurable; for it is come unto Judah; he is come unto the gate of my people, {even} to Jerusalem. {her...: or, she is grievously sick of her wounds}	-0.6071	negative	Porque su llaga es dolorosa, que llegó hasta Judá; llegó hasta la puerta de mi pueblo, hasta Jerusalem.
MIC.1.10	1	10	Declare ye {it} not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust. {Aphrah: that is, Dust}	0.0	neutral	No lo digáis en Gath, ni lloréis mucho: revuélcate en el polvo de Beth-le-aphrah.
