verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
ZEC.1.1	1	1	In the eighth month, in the second year of Darius, came the word of the LORD unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,	0.0	neutral	No oitavo mês do segundo ano do reinado de Dario, a palavra do Senhor veio ao profeta Zacarias, filho de Berequias e neto de Ido:
ZEC.1.2	1	2	The LORD hath been sore displeased with your fathers. {sore...: Heb. with displeasure}	0.0	neutral	"""O Senhor muito se irou contra os seus antepassados."
ZEC.1.3	1	3	Therefore say thou unto them, Thus saith the LORD of hosts; Turn ye unto me, saith the LORD of hosts, and I will turn unto you, saith the LORD of hosts.	0.0	neutral	Por isso diga ao povo: Assim diz o Senhor dos Exércitos: 'Voltem para mim, e eu me voltarei para vocês', diz o Senhor dos Exércitos.
ZEC.1.4	1	4	Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the LORD of hosts; Turn ye now from your evil ways, and {from} your evil doings: but they did not hear, nor hearken unto me, saith the LORD.	-0.6667	negative	Não sejam como os seus antepassados aos quais os antigos profetas proclamaram: Assim diz o Senhor dos Exércitos: 'Deixem os seus caminhos e as suas más obras. Mas eles não me ouviram nem me deram atenção', declara o Senhor.
ZEC.1.5	1	5	Your fathers, where {are} they? and the prophets, do they live for ever?	0.1364	positive	Onde estão agora os seus antepassados? E os profetas, acaso vivem eles para sempre?
ZEC.1.6	1	6	But my words and my statutes, which I commanded my servants the prophets, did they not take hold of your fathers? and they returned and said, Like as the LORD of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us. {take...: or, overtake}	0.0	neutral	"Mas as minhas palavras e os meus decretos, que ordenei aos meus servos, os profetas, alcançaram os seus antepassados e os levaram a converter-se e a dizer: 'O Senhor dos Exércitos fez conosco o que os nossos caminhos e práticas mereciam, conforme prometeu' ""."
ZEC.1.7	1	7	Upon the four and twentieth day of the eleventh month, which {is} the month Sebat, in the second year of Darius, came the word of the LORD unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,	0.0	neutral	No dia vigésimo quarto do décimo primeiro mês, o mês de sebate, no segundo ano do reinado de Dario, a palavra do Senhor veio ao profeta Zacarias, filho de Berequias e neto de Ido:
ZEC.1.8	1	8	I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that {were} in the bottom; and behind him {were there} red horses, speckled, and white. {speckled: or, bay}	-0.1	neutral	Durante a noite tive uma visão; apareceu na minha frente um homem montado num cavalo vermelho. Ele estava parado entre as murtas num desfiladeiro. Atrás dele havia cavalos vermelhos, marrons e brancos.
ZEC.1.9	1	9	Then said I, O my lord, what {are} these? And the angel that talked with me said unto me, I will shew thee what these {be}.	0.0	neutral	"Então perguntei: Quem são estes, meu senhor? O anjo que estava falando comigo respondeu: ""Eu lhe mostrarei quem são""."
ZEC.1.10	1	10	And the man that stood among the myrtle trees answered and said, These {are they} whom the LORD hath sent to walk to and fro through the earth.	0.0	neutral	"Então o homem que estava entre as murtas explicou: ""São aqueles que o Senhor enviou por toda a terra""."
ZEC.1.11	1	11	And they answered the angel of the LORD that stood among the myrtle trees, and said, We have walked to and fro through the earth, and, behold, all the earth sitteth still, and is at rest.	0.0	neutral	"E eles relataram ao anjo do Senhor que estava entre as murtas: ""Percorremos toda a terra e a encontramos em paz e tranqüila""."
ZEC.1.12	1	12	Then the angel of the LORD answered and said, O LORD of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?	-0.025	neutral	"Então o anjo do Senhor respondeu: ""Senhor dos Exércitos, até quando deixarás de ter misericórdia de Jerusalém e das cidades de Judá, com as quais estás indignado há setenta anos? """
ZEC.1.13	1	13	And the LORD answered the angel that talked with me {with} good words {and} comfortable words.	0.55	positive	Então o Senhor respondeu palavras boas e confortadoras ao anjo que falava comigo.
ZEC.1.14	1	14	So the angel that communed with me said unto me, Cry thou, saying, Thus saith the LORD of hosts; I am jealous for Jerusalem and for Zion with a great jealousy.	0.8	positive	"E o anjo me disse: ""Proclame: Assim diz o Senhor dos Exércitos: 'Eu tenho sido muito zeloso com Jerusalém e Sião,"
ZEC.1.15	1	15	And I am very sore displeased with the heathen {that are} at ease: for I was but a little displeased, and they helped forward the affliction.	0.0063	neutral	mas estou muito irado contra as nações que se sentem seguras. Porque eu estava apenas um pouco irado com meu povo, mas elas aumentaram a dor que ele sofria! '
ZEC.1.16	1	16	Therefore thus saith the LORD; I am returned to Jerusalem with mercies: my house shall be built in it, saith the LORD of hosts, and a line shall be stretched forth upon Jerusalem.	-0.05	neutral	"""Por isso, assim diz o Senhor: 'Estou voltando-me para Jerusalém com misericórdia, e ali o meu templo será reconstruído. A corda de medir será esticada sobre Jerusalém', declara o Senhor dos Exércitos."
ZEC.1.17	1	17	Cry yet, saying, Thus saith the LORD of hosts; My cities through prosperity shall yet be spread abroad; and the LORD shall yet comfort Zion, and shall yet choose Jerusalem. {prosperity: Heb. good}	0.7	positive	"""Diga mais: Assim diz o Senhor dos Exércitos: 'As minhas cidades transbordarão de prosperidade novamente, e o Senhor consolará novamente a Sião e escolherá Jerusalém' ""."
ZEC.1.18	1	18	Then lifted I up mine eyes, and saw, and behold four horns.	0.0	neutral	Depois eu olhei para o alto, e vi quatro chifres.
ZEC.1.19	1	19	And I said unto the angel that talked with me, What {be} these? And he answered me, These {are} the horns which have scattered Judah, Israel, and Jerusalem.	0.0	neutral	"Então perguntei ao anjo que falava comigo: ""O que são estes? "" Ele me respondeu: ""Estes são os chifres que dispersaram Judá, Israel e Jerusalém""."
ZEC.1.20	1	20	And the LORD shewed me four carpenters.	0.0	neutral	Depois o Senhor mostrou-me quatro artesãos.
ZEC.1.21	1	21	Then said I, What come these to do? And he spake, saying, These {are} the horns which have scattered Judah, so that no man did lift up his head: but these are come to fray them, to cast out the horns of the Gentiles, which lifted up {their} horn over the land of Judah to scatter it.	0.0	neutral	"Eu perguntei: ""O que eles vêm fazer? "" Ele respondeu: ""Estes são os chifres que dispersaram Judá a ponto de ninguém sequer conseguir levantar a cabeça, mas os artesãos vieram aterrorizar e quebrar esses chifres das nações que se levantaram contra o povo de Judá para dispersá-lo""."
ZEC.2.1	2	1	I lifted up mine eyes again, and looked, and behold a man with a measuring line in his hand.	0.0	neutral	Olhei em seguida, e vi um homem segurando uma corda de medir.
ZEC.2.2	2	2	Then said I, Whither goest thou? And he said unto me, To measure Jerusalem, to see what {is} the breadth thereof, and what {is} the length thereof.	0.0	neutral	"Eu lhe perguntei: ""Aonde você vai? "" Ele me respondeu: ""Vou medir Jerusalém para saber o seu comprimento e a sua largura""."
ZEC.2.3	2	3	And, behold, the angel that talked with me went forth, and another angel went out to meet him,	0.0	neutral	Então o anjo que falava comigo retirou-se, e outro anjo foi ao seu encontro
ZEC.2.4	2	4	And said unto him, Run, speak to this young man, saying, Jerusalem shall be inhabited {as} towns without walls for the multitude of men and cattle therein:	0.1	neutral	"e lhe disse: ""Corra e diga àquele jovem: 'Jerusalém será habitada como uma cidade sem muros por causa dos seus muitos habitantes e rebanhos."
ZEC.2.5	2	5	For I, saith the LORD, will be unto her a wall of fire round about, and will be the glory in the midst of her.	-0.2	negative	E eu mesmo serei para ela um muro de fogo ao seu redor', declara o Senhor, 'e dentro dela serei a sua glória'.
ZEC.2.6	2	6	Ho, ho, {come forth}, and flee from the land of the north, saith the LORD: for I have spread you abroad as the four winds of the heaven, saith the LORD.	0.0	neutral	"""Atenção! Atenção! Fujam da terra do norte"", declara o Senhor, ""porque eu os espalhei aos quatro ventos da terra"", diz o Senhor."
ZEC.2.7	2	7	Deliver thyself, O Zion, that dwellest {with} the daughter of Babylon.	0.0	neutral	"""Atenção, ó Sião! Escapem, vocês que vivem na cidade da Babilônia!"
ZEC.2.8	2	8	For thus saith the LORD of hosts; After the glory hath he sent me unto the nations which spoiled you: for he that toucheth you toucheth the apple of his eye.	0.0	neutral	Porque assim diz o Senhor dos Exércitos: 'Ele me enviou para buscar a sua glória entre as nações que saquearam vocês, porque todo o que neles tocar, toca na pupila dos olhos dele'.
ZEC.2.9	2	9	For, behold, I will shake mine hand upon them, and they shall be a spoil to their servants: and ye shall know that the LORD of hosts hath sent me.	0.0	neutral	Certamente levantarei a minha mão contra elas de forma que serão um espólio para os seus servos. Então vocês saberão que foi o Senhor dos Exércitos que me enviou.
ZEC.2.10	2	10	Sing and rejoice, O daughter of Zion: for, lo, I come, and I will dwell in the midst of thee, saith the LORD.	0.0	neutral	"""Cante e alegre-se, ó cidade de Sião! Porque venho fazer de você a minha habitação"", declara o Senhor."
ZEC.2.11	2	11	And many nations shall be joined to the LORD in that day, and shall be my people: and I will dwell in the midst of thee, and thou shalt know that the LORD of hosts hath sent me unto thee.	0.5	positive	"""Muitas nações se unirão ao Senhor naquele dia e se tornarão meu povo. Então você será a minha habitação e você reconhecerá que o Senhor dos Exércitos me enviou a você."
ZEC.2.12	2	12	And the LORD shall inherit Judah his portion in the holy land, and shall choose Jerusalem again.	0.0	neutral	O Senhor herdará Judá como sua propriedade na terra santa e escolherá de novo Jerusalém.
ZEC.2.13	2	13	Be silent, O all flesh, before the LORD: for he is raised up out of his holy habitation. {his...: Heb. the habitation of his holiness}	0.0	neutral	"Aquietem-se todos perante o Senhor, porque ele se levantou de sua santa habitação""."
ZEC.3.1	3	1	And he shewed me Joshua the high priest standing before the angel of the LORD, and Satan standing at his right hand to resist him. {Satan: that is, an adversary} {to...: Heb. to be his adversary}	0.2229	positive	Depois disso ele me mostrou o sumo sacerdote Josué diante do anjo do Senhor, e Satanás, à sua direita, para acusá-lo.
ZEC.3.2	3	2	And the LORD said unto Satan, The LORD rebuke thee, O Satan; even the LORD that hath chosen Jerusalem rebuke thee: {is} not this a brand plucked out of the fire?	-0.75	negative	"O anjo do Senhor disse a Satanás: ""O Senhor o repreenda, Satanás! O Senhor que escolheu Jerusalém o repreenda! Este homem não parece um tição tirado do fogo? """
ZEC.3.3	3	3	Now Joshua was clothed with filthy garments, and stood before the angel.	-0.8	negative	Ora, Josué, vestido de roupas impuras, estava de pé diante do anjo.
ZEC.3.4	3	4	And he answered and spake unto those that stood before him, saying, Take away the filthy garments from him. And unto him he said, Behold, I have caused thine iniquity to pass from thee, and I will clothe thee with change of raiment.	-0.8	negative	"O anjo disse aos que estavam diante dele: ""Tirem as roupas impuras dele"". Depois disse a Josué: ""Veja, eu tirei de você o seu pecado, e coloquei vestes nobres sobre você""."
ZEC.3.5	3	5	And I said, Let them set a fair mitre upon his head. So they set a fair mitre upon his head, and clothed him with garments. And the angel of the LORD stood by.	0.7	positive	"Disse também: ""Coloquem um turbante limpo em sua cabeça"". Colocaram o turbante nele e o vestiram, enquanto o anjo do Senhor observava."
ZEC.3.6	3	6	And the angel of the LORD protested unto Joshua, saying,	0.0	neutral	O anjo do Senhor exortou a Josué, dizendo:
ZEC.3.7	3	7	Thus saith the LORD of hosts; If thou wilt walk in my ways, and if thou wilt keep my charge, then thou shalt also judge my house, and shalt also keep my courts, and I will give thee places to walk among these that stand by. {charge: or, ordinance} {places...: Heb. walks}	0.0	neutral	"""Assim diz o Senhor dos Exércitos: 'Se você andar nos meus caminhos e obedecer aos meus preceitos, você governará a minha casa e também estará encarregado das minhas cortes, e eu lhe darei um lugar entre estes que estão aqui."
ZEC.3.8	3	8	Hear now, O Joshua the high priest, thou, and thy fellows that sit before thee: for they {are} men wondered at: for, behold, I will bring forth my servant the BRANCH. {wondered...: Heb. of wonder, or, sign}	0.16	positive	""" 'Ouçam bem, sumo sacerdote Josué e seus companheiros sentados diante de você, homens que prefiguram coisas que virão: Vou trazer o meu servo, o Renovo."
ZEC.3.9	3	9	For behold the stone that I have laid before Joshua; upon one stone {shall be} seven eyes: behold, I will engrave the graving thereof, saith the LORD of hosts, and I will remove the iniquity of that land in one day.	0.0	neutral	Vejam a pedra que coloquei na frente de Josué! Ela tem sete pares de olhos, e eu gravarei nela uma inscrição', declara o Senhor dos Exércitos, 'e removerei o pecado desta terra num único dia.
ZEC.3.10	3	10	In that day, saith the LORD of hosts, shall ye call every man his neighbour under the vine and under the fig tree.	0.0	neutral	""" 'Naquele dia', declara o Senhor dos Exércitos, 'cada um de vocês convidará seu próximo para assentar-se debaixo da sua videira e debaixo da sua figueira' ""."
ZEC.4.1	4	1	And the angel that talked with me came again, and waked me, as a man that is wakened out of his sleep,	0.0	neutral	Depois o anjo que falava comigo tornou a despertar-me, como se desperta alguém do sono,
ZEC.4.2	4	2	And said unto me, What seest thou? And I said, I have looked, and behold a candlestick all {of} gold, with a bowl upon the top of it, and his seven lamps thereon, and seven pipes to the seven lamps, which {are} upon the top thereof: {a bowl: Heb. her bowl} {seven pipes...: or, seven several pipes to the lamps}	0.0625	neutral	"e me perguntou: ""O que você está vendo? "" Respondi: ""Vejo um candelabro de ouro maciço com um recipiente para azeite na parte superior e sete lâmpadas e sete canos para as lâmpadas."
ZEC.4.3	4	3	And two olive trees by it, one upon the right {side} of the bowl, and the other upon the left {side} thereof.	0.0536	neutral	"Há também duas oliveiras junto ao recipiente, uma à direita e outra à esquerda""."
ZEC.4.4	4	4	So I answered and spake to the angel that talked with me, saying, What {are} these, my lord?	0.0	neutral	"Perguntei ao anjo que falava comigo: ""O que significa isto, meu senhor? """
ZEC.4.5	4	5	Then the angel that talked with me answered and said unto me, Knowest thou not what these be? And I said, No, my lord.	0.0	neutral	"Ele disse: ""Você não sabe? "" ""Não, meu senhor"", respondi."
ZEC.4.6	4	6	Then he answered and spake unto me, saying, This {is} the word of the LORD unto Zerubbabel, saying, Not by might, nor by power, but by my spirit, saith the LORD of hosts. {might: or, army}	0.0	neutral	"""Esta é a palavra do Senhor para Zorobabel: 'Não por força nem por violência, mas pelo meu Espírito', diz o Senhor dos Exércitos."
ZEC.4.7	4	7	Who {art} thou, O great mountain? before Zerubbabel {thou shalt become} a plain: and he shall bring forth the headstone {thereof with} shoutings, {crying}, Grace, grace unto it.	0.1286	positive	"""Quem você pensa que é, ó montanha majestosa? Diante de Zorobabel você se tornará uma planície. Ele colocará a pedra principal aos gritos de 'Deus abençoe! Deus abençoe! ' """
ZEC.4.8	4	8	Moreover the word of the LORD came unto me, saying,	0.0	neutral	Então o Senhor me falou:
ZEC.4.9	4	9	The hands of Zerubbabel have laid the foundation of this house; his hands shall also finish it; and thou shalt know that the LORD of hosts hath sent me unto you.	0.0	neutral	"""As mãos de Zorobabel colocacaram os fundamentos deste templo; suas mãos também o terminarão. Assim saberão que o Senhor dos Exércitos me enviou a vocês."
ZEC.4.10	4	10	For who hath despised the day of small things? for they shall rejoice, and shall see the plummet in the hand of Zerubbabel {with} those seven; they {are} the eyes of the LORD, which run to and fro through the whole earth. {for they...: or, since the seven eyes of the LORD shall rejoice} {plummet: Heb. stone of tin}	-0.025	neutral	"""Pois aqueles que desprezaram o dia das pequenas coisas terão grande alegria ao verem a pedra principal nas mãos de Zorobabel"". Então ele me disse: ""Estas sete lâmpadas são os olhos do Senhor, que sondam toda a terra""."
ZEC.4.11	4	11	Then answered I, and said unto him, What {are} these two olive trees upon the right {side} of the candlestick and upon the left {side} thereof?	0.1429	positive	"A seguir perguntei ao anjo: ""O que significam estas duas oliveiras à direita e à esquerda do candelabro? """
