verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
2CO.1.1	1	1	Paul, an apostle of Jesus Christ by the will of God, and Timothy {our} brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:	0.0	neutral	PABLO, apóstol de Jesucristo por la voluntad de Dios, y Timoteo el hermano, á la iglesia de Dios que está en Corinto, juntamente con todos los santos que están por toda la Acaya:
2CO.1.2	1	2	Grace {be} to you and peace from God our Father, and {from} the Lord Jesus Christ.	0.0	neutral	Gracia y paz á vosotros de Dios nuestro Padre, y del Señor Jesucristo.
2CO.1.3	1	3	Blessed {be} God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;	0.0	neutral	Bendito sea el Dios y Padre del Señor Jesucristo, el Padre de misericordias, y el Dios de toda consolación,
2CO.1.4	1	4	Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God.	0.15	positive	El cual nos consuela en todas nuestras tribulaciones, para que podamos también nosotros consolar á los que están en cualquiera angustia, con la consolación con que nosotros somos consolados de Dios.
2CO.1.5	1	5	For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ.	0.0	neutral	Porque de la manera que abundan en nosotros las aflicciones de Cristo, así abunda también por el mismo Cristo nuestra consolación.
2CO.1.6	1	6	And whether we be afflicted, {it is} for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, {it is} for your consolation and salvation. {is effectual: or, is wrought}	0.0	neutral	Mas si somos atribulados, es por vuestra consolación y salud; la cual es obrada en el sufrir las mismas aflicciones que nosotros también padecemos: ó si somos consolados, es por vuestra consolación y salud;
2CO.1.7	1	7	And our hope of you {is} stedfast, knowing, that as ye are partakers of the sufferings, so {shall ye be} also of the consolation.	0.0	neutral	Y nuestra esperanza de vosotros es firme; estando ciertos que como sois compañeros de las aflicciones, así también lo sois de la consolación.
2CO.1.8	1	8	For we would not, brethren, have you ignorant of our trouble which came to us in Asia, that we were pressed out of measure, above strength, insomuch that we despaired even of life:	-0.1	neutral	Porque hermanos, no queremos que ignoréis de nuestra tribulación que nos fué hecha en Asia; que sobremanera fuimos cargados sobre nuestras fuerzas de tal manera que estuviésemos en duda de la vida.
2CO.1.9	1	9	But we had the sentence of death in ourselves, that we should not trust in ourselves, but in God which raiseth the dead: {sentence: or, answer}	-0.475	negative	Mas nosotros tuvimos en nosotros mismos respuesta de muerte, para que no confiemos en nosotros mismos, sino en Dios que levanta los muertos:
2CO.1.10	1	10	Who delivered us from so great a death, and doth deliver: in whom we trust that he will yet deliver {us};	0.8	positive	El cual nos libró y libra de tanta muerte; en el cual esperamos que aun nos librará;
2CO.1.11	1	11	Ye also helping together by prayer for us, that for the gift {bestowed} upon us by the means of many persons thanks may be given by many on our behalf.	0.4	positive	Ayudándonos también vosotros con oración por nosotros, para que por la merced hecha á nos por respeto de muchos, por muchos sean hechas gracias por nosotros.
2CO.1.12	1	12	For our rejoicing is this, the testimony of our conscience, that in simplicity and godly sincerity, not with fleshly wisdom, but by the grace of God, we have had our conversation in the world, and more abundantly to you-ward.	0.55	positive	Porque nuestra gloria es esta: el testimonio de nuestra conciencia, que con simplicidad y sinceridad de Dios, no con sabiduría carnal, mas con la gracia de Dios, hemos conversado en el mundo, y muy más con vosotros.
2CO.1.13	1	13	For we write none other things unto you, than what ye read or acknowledge; and I trust ye shall acknowledge even to the end;	-0.125	negative	Porque no os escribimos otras cosas de las que leéis, ó también conocéis: y espero que aun hasta el fin las conoceréis:
2CO.1.14	1	14	As also ye have acknowledged us in part, that we are your rejoicing, even as ye also {are} ours in the day of the Lord Jesus.	0.0	neutral	Como también en parte habéis conocido que somos vuestra gloria, así como también vosotros la nuestra, para el día del Señor Jesús.
2CO.1.15	1	15	And in this confidence I was minded to come unto you before, that ye might have a second benefit; {benefit: or, grace}	0.0	neutral	Y con esta confianza quise primero ir á vosotros, para que tuvieseis una segunda gracia;
2CO.1.16	1	16	And to pass by you into Macedonia, and to come again out of Macedonia unto you, and of you to be brought on my way toward Judaea.	0.0	neutral	Y por vosotros pasar á Macedonia, y de Macedonia venir otra vez á vosotros, y ser vuelto de vosotros á Judea.
2CO.1.17	1	17	When I therefore was thus minded, did I use lightness? or the things that I purpose, do I purpose according to the flesh, that with me there should be yea yea, and nay nay?	0.0	neutral	Así que, pretendiendo esto, ¿usé quizá de liviandad? ó lo que pienso hacer, ¿piénsolo según la carne, para que haya en mí Sí y No?
2CO.1.18	1	18	But {as} God {is} true, our word toward you was not yea and nay. {word: or, preaching}	0.35	positive	Antes, Dios fiel sabe que nuestra palabra para con vosotros no es Sí y No.
2CO.1.19	1	19	For the Son of God, Jesus Christ, who was preached among you by us, {even} by me and Silvanus and Timotheus, was not yea and nay, but in him was yea.	0.0	neutral	Porque el Hijo de Dios, Jesucristo, que por nosotros ha sido entre vosotros predicado, por mí y Silvano y Timoteo, no ha sido Sí y No; mas ha sido Sí en él.
2CO.1.20	1	20	For all the promises of God in him {are} yea, and in him Amen, unto the glory of God by us.	0.0	neutral	Porque todas las promesas de Dios son en él Sí, y en él Amén, por nosotros á gloria de Dios.
2CO.1.21	1	21	Now he which stablisheth us with you in Christ, and hath anointed us, {is} God;	0.0	neutral	Y el que nos confirma con vosotros en Cristo, y el que nos ungió, es Dios;
