verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
2SA.22.21	22	21	The LORD rewarded me according to my righteousness: according to the cleanness of my hands hath he recompensed me.	0.0	neutral	Remuneróme Jehová conforme á mi justicia: Y conforme á la limpieza de mis manos, me dió la paga.
2SA.22.22	22	22	For I have kept the ways of the LORD, and have not wickedly departed from my God.	0.0	neutral	Porque yo guardé los caminos de Jehová; Y no me aparté impíamente de mi Dios.
2SA.22.23	22	23	For all his judgments {were} before me: and {as for} his statutes, I did not depart from them.	0.0	neutral	Porque delante de mí tengo todas sus ordenanzas; Y atento á sus fueros, no me retiraré de ellos.
2SA.22.24	22	24	I was also upright before him, and have kept myself from mine iniquity. {before: Heb. to}	0.0	neutral	Y fuí íntegro para con él, Y guardéme de mi iniquidad.
2SA.22.25	22	25	Therefore the LORD hath recompensed me according to my righteousness; according to my cleanness in his eye sight. {in...: Heb. before his eyes}	0.0	neutral	Remuneróme por tanto Jehová conforme á mi justicia, Y conforme á mi limpieza delante de sus ojos.
2SA.22.26	22	26	With the merciful thou wilt shew thyself merciful, {and} with the upright man thou wilt shew thyself upright.	0.0	neutral	Con el bueno eres benigno, Y con el íntegro te muestras íntegro;
2SA.22.27	22	27	With the pure thou wilt shew thyself pure; and with the froward thou wilt shew thyself unsavoury. {shew thyself unsavoury: or, wrestle}	0.2143	positive	Limpio eres para con el limpio, Mas con el perverso eres rígido.
2SA.22.28	22	28	And the afflicted people thou wilt save: but thine eyes {are} upon the haughty, {that} thou mayest bring {them} down.	-0.1556	negative	Y tú salvas al pueblo humilde; Mas tus ojos sobre los altivos, para abatirlos.
2SA.22.29	22	29	For thou {art} my lamp, O LORD: and the LORD will lighten my darkness. {lamp: or, candle}	0.0	neutral	Porque tú eres mi lámpara, oh Jehová: Jehová da luz á mis tinieblas.
2SA.22.30	22	30	For by thee I have run through a troop: by my God have I leaped over a wall. {run: or, broken}	-0.4	negative	Porque en ti romperé ejércitos, Y con mi Dios saltaré las murallas.
2SA.22.31	22	31	{As for} God, his way {is} perfect; the word of the LORD {is} tried: he {is} a buckler to all them that trust in him. {tried: or, refined}	1.0	positive	Dios, perfecto su camino: La palabra de Jehová purificada, Escudo es de todos los que en él esperan.
2SA.22.32	22	32	For who {is} God, save the LORD? and who {is} a rock, save our God?	0.0	neutral	Porque ¿qué Dios hay sino Jehová? ¿O quién es fuerte sino nuestro Dios?
2SA.22.33	22	33	God {is} my strength {and} power: and he maketh my way perfect. {maketh: Heb. riddeth, or, looseth}	1.0	positive	Dios es el que con virtud me corrobora, y el que despeja mi camino;
2SA.22.34	22	34	He maketh my feet like hinds' {feet}: and setteth me upon my high places. {maketh: Heb. equalleth}	0.16	positive	El que hace mis pies como de ciervas, Y el que me asienta en mis alturas;
2SA.22.35	22	35	He teacheth my hands to war; so that a bow of steel is broken by mine arms. {to war: Heb. for the war}	-0.4	negative	El que enseña mis manos para la pelea, y da que con mis brazos quiebre el arco de acero.
2SA.22.36	22	36	Thou hast also given me the shield of thy salvation: and thy gentleness hath made me great. {made...: Heb. multiplied me}	0.8	positive	Tú me diste asimismo el escudo de tu salud, Y tu benignidad me ha acrecentado.
2SA.22.37	22	37	Thou hast enlarged my steps under me; so that my feet did not slip. {feet: Heb. ankles}	0.0	neutral	Tú ensanchaste mis pasos debajo de mí, Para que no titubeasen mis rodillas.
2SA.22.38	22	38	I have pursued mine enemies, and destroyed them; and turned not again until I had consumed them.	0.0	neutral	Perseguiré á mis enemigos, y quebrantarélos; Y no me volveré hasta que los acabe.
