verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
HOS.1.1	1	1	The word of the LORD that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, {and} Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.	0.0	neutral	Palavra do Senhor que veio a Oséias, filho de Beeri, durante os reinados de Uzias, Jotão, Acaz e Ezequias, reis de Judá, e de Jeroboão, filho de Jeoás, rei de Israel:
HOS.1.2	1	2	The beginning of the word of the LORD by Hosea. And the LORD said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, {departing} from the LORD.	0.8	positive	"Quando o Senhor começou a falar por meio de Oséias, o Senhor lhe disse: ""Vá, tome uma mulher adúltera e filhos da infidelidade, porque a nação é culpada do mais vergonhoso adultério por afastar-se do Senhor""."
HOS.1.3	1	3	So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son.	0.05	neutral	Por isso ele se casou com Gômer, filha de Diblaim; ela engravidou e lhe deu um filho.
HOS.1.4	1	4	And the LORD said unto him, Call his name Jezreel; for yet a little {while}, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel. {avenge: Heb. visit}	-0.1875	negative	"Então o Senhor disse a Oséias: ""Dê a ele o nome de Jezreel, porque logo castigarei a dinastia de Jeú por causa do massacre ocorrido em Jezreel, e darei fim ao reino de Israel."
HOS.1.5	1	5	And it shall come to pass at that day, that I will break the bow of Israel in the valley of Jezreel.	0.0	neutral	"Naquele dia quebrarei o arco de Israel no vale de Jezreel""."
HOS.1.6	1	6	And she conceived again, and bare a daughter. And {God} said unto him, Call her name Loruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away. {Loruhamah: that is, Not having obtained mercy} {no...: Heb. not add any more to} {but...: or, that I should altogether pardon them}	0.075	neutral	"Gômer engravidou novamente e deu à luz uma filha. Então o Senhor disse a Oséias: ""Dê a ela o nome de Lo-Ruama, pois não mais mostrarei amor para com a nação de Israel, a ponto de perdoá-la."
HOS.1.7	1	7	But I will have mercy upon the house of Judah, and will save them by the LORD their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen.	0.0	neutral	"Contudo, tratarei com amor a nação de Judá; e eu lhes concederei vitória, não pelo arco, pela espada ou por combate, nem por cavalos e cavaleiros, mas pelo Senhor, o seu Deus""."
HOS.1.8	1	8	Now when she had weaned Loruhamah, she conceived, and bare a son.	0.05	neutral	Depois de ter desmamado Lo-Ruama, Gômer teve outro filho.
HOS.1.9	1	9	Then said {God}, Call his name Loammi: for ye {are} not my people, and I will not be your {God}. {Loammi: that is, Not my people}	0.0	neutral	"Então o Senhor disse: ""Dê a ele o nome de Lo-Ami, pois vocês não são meu povo, e eu não sou seu Deus."
HOS.1.10	1	10	Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, {that} in the place where it was said unto them, Ye {are} not my people, {there} it shall be said unto them, {Ye are} the sons of the living God. {in...: or, instead of that}	0.0	neutral	"""Contudo os israelitas ainda serão como a areia da praia, que não se pode medir nem contar. No lugar onde se dizia a eles: 'Vocês não são meu povo', eles serão chamados 'filhos do Deus vivo'."
HOS.1.11	1	11	Then shall the children of Judah and the children of Israel be gathered together, and appoint themselves one head, and they shall come up out of the land: for great {shall be} the day of Jezreel.	0.8	positive	O povo de Judá e o povo de Israel serão reunidos, e eles designarão para si um só líder, e se levantarão da terra, pois será grande o dia de Jezreel.
HOS.2.1	2	1	Say ye unto your brethren, Ammi; and to your sisters, Ruhamah. {Ammi: that is, My people} {Ruhamah: that is, Having obtained mercy}	0.0	neutral	"""Chamem a seus irmãos 'meu povo', e a suas irmãs 'minhas amadas'."
HOS.2.2	2	2	Plead with your mother, plead: for she {is} not my wife, neither {am} I her husband: let her therefore put away her whoredoms out of her sight, and her adulteries from between her breasts;	0.0	neutral	"""Repreendam sua mãe, repreendam-na, pois ela não é minha mulher, e eu não sou seu marido. Retire ela do rosto a aparência adúltera e do meio dos seios a infidelidade."
HOS.2.3	2	3	Lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst.	-0.0333	neutral	Do contrário, eu a deixarei nua, como no dia em que nasceu; eu farei dela um deserto, eu a transformarei em terra ressequida, e a matarei de sede.
HOS.2.4	2	4	And I will not have mercy upon her children; for they {be} the children of whoredoms.	0.0	neutral	Não tratarei com amor os seus filhos, porque são filhos de adultério.
