verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
2PE.1.1	1	1	Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ: {Simon: or, Symeon} {God...: Gr. of our God and Saviour}	-0.125	negative	SIMON Pedro, siervo y apóstol de Jesucristo, á los que habéis alcanzado fe igualmente preciosa con nosotros en la justicia de nuestro Dios y Salvador Jesucristo:
2PE.1.2	1	2	Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord,	0.0	neutral	Gracia y paz os sea multiplicada en el conocimiento de Dios, y de nuestro Señor Jesús.
2PE.1.3	1	3	According as his divine power hath given unto us all things that {pertain} unto life and godliness, through the knowledge of him that hath called us to glory and virtue: {to: or, by}	-0.75	negative	Como todas las cosas que pertenecen á la vida y á la piedad nos sean dadas de su divina potencia, por el conocimiento de aquel que nos ha llamado por su gloria y virtud:
2PE.1.4	1	4	Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust.	0.65	positive	Por las cuales nos son dadas preciosas y grandísimas promesas, para que por ellas fueseis hechos participantes de la naturaleza divina, habiendo huído de la corrupción que está en el mundo por concupiscencia.
2PE.1.5	1	5	And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;	0.0	neutral	Vosotros también, poniendo toda diligencia por esto mismo, mostrad en vuestra fe virtud, y en la virtud ciencia;
2PE.1.6	1	6	And to knowledge temperance; and to temperance patience; and to patience godliness;	0.0	neutral	Y en la ciencia templanza, y en la templanza paciencia, y en la paciencia temor de Dios;
2PE.1.7	1	7	And to godliness brotherly kindness; and to brotherly kindness charity.	0.0	neutral	Y en el temor de Dios, amor fraternal, y en el amor fraternal caridad.
2PE.1.8	1	8	For if these things be in you, and abound, they make {you that ye shall} neither {be} barren nor unfruitful in the knowledge of our Lord Jesus Christ. {barren: Gr. idle}	-0.6	negative	Porque si en vosotros hay estas cosas, y abundan, no os dejarán estar ociosos, ni estériles en el conocimiento de nuestro Señor Jesucristo.
2PE.1.9	1	9	But he that lacketh these things is blind, and cannot see afar off, and hath forgotten that he was purged from his old sins.	-0.2	negative	Mas el que no tiene estas cosas, es ciego, y tiene la vista muy corta, habiendo olvidado la purificación de sus antiguos pecados.
2PE.1.10	1	10	Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:	0.5	positive	Por lo cual, hermanos, procurad tanto más de hacer firme vuestra vocación y elección; porque haciendo estas cosas, no caeréis jamás.
