verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
1JN.1.1	1	1	That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;	0.0	neutral	O que era desde o princípio, o que ouvimos, o que vimos com os nossos olhos, o que contemplamos e as nossas mãos apalparam — isto proclamamos a respeito da Palavra da vida.
1JN.1.2	1	2	(For the life was manifested, and we have seen {it}, and bear witness, and shew unto you that eternal life, which was with the Father, and was manifested unto us;)	0.25	positive	A vida se manifestou; nós a vimos e dela testemunhamos, e proclamamos a vocês a vida eterna, que estava com o Pai e nos foi manifestada.
1JN.1.3	1	3	That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship {is} with the Father, and with his Son Jesus Christ.	0.0	neutral	Nós lhes proclamamos o que vimos e ouvimos para que vocês também tenham comunhão conosco. Nossa comunhão é com o Pai e com seu Filho Jesus Cristo.
1JN.1.4	1	4	And these things write we unto you, that your joy may be full.	0.575	positive	Escrevemos estas coisas para que a nossa alegria seja completa.
1JN.1.5	1	5	This then is the message which we have heard of him, and declare unto you, that God is light, and in him is no darkness at all.	0.4	positive	Esta é a mensagem que dele ouvimos e transmitimos a vocês: Deus é luz; nele não há treva alguma.
1JN.1.6	1	6	If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:	0.0	neutral	Se afirmarmos que temos comunhão com ele, mas andamos nas trevas, mentimos e não praticamos a verdade.
1JN.1.7	1	7	But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus Christ his Son cleanseth us from all sin.	0.4	positive	Se, porém, andamos na luz, como ele está na luz, temos comunhão uns com os outros, e o sangue de Jesus, seu Filho, nos purifica de todo pecado.
1JN.1.8	1	8	If we say that we have no sin, we deceive ourselves, and the truth is not in us.	0.0	neutral	Se afirmarmos que estamos sem pecado, enganamo-nos a nós mesmos, e a verdade não está em nós.
1JN.1.9	1	9	If we confess our sins, he is faithful and just to forgive us {our} sins, and to cleanse us from all unrighteousness.	0.0	neutral	Se confessarmos os nossos pecados, ele é fiel e justo para perdoar os nossos pecados e nos purificar de toda injustiça.
1JN.1.10	1	10	If we say that we have not sinned, we make him a liar, and his word is not in us.	0.0	neutral	Se afirmarmos que não temos cometido pecado, fazemos de Deus um mentiroso, e a sua palavra não está em nós.
1JN.2.1	2	1	My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:	-0.1875	negative	Meus filhinhos, escrevo-lhes estas coisas para que vocês não pequem. Se, porém, alguém pecar, temos um intercessor junto ao Pai, Jesus Cristo, o Justo.
1JN.2.2	2	2	And he is the propitiation for our sins: and not for ours only, but also for {the sins of} the whole world.	0.1	neutral	Ele é a propiciação pelos nossos pecados, e não somente pelos nossos, mas também pelos pecados de todo o mundo.
1JN.2.3	2	3	And hereby we do know that we know him, if we keep his commandments.	0.0	neutral	Sabemos que o conhecemos, se obedecemos aos seus mandamentos.
1JN.2.4	2	4	He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.	0.0	neutral	"Aquele que diz: ""Eu o conheço"", mas não obedece aos seus mandamentos, é mentiroso, e a verdade não está nele."
1JN.2.5	2	5	But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him.	0.5	positive	Mas, se alguém obedece à sua palavra, nele verdadeiramente o amor de Deus está aperfeiçoado. Desta forma sabemos que estamos nele:
1JN.2.6	2	6	He that saith he abideth in him ought himself also so to walk, even as he walked.	0.0	neutral	aquele que afirma que permanece nele, deve andar como ele andou.
1JN.2.7	2	7	Brethren, I write no new commandment unto you, but an old commandment which ye had from the beginning. The old commandment is the word which ye have heard from the beginning.	0.0439	neutral	Amados, não lhes escrevo um mandamento novo, mas um mandamento antigo, que vocês têm desde o princípio: a mensagem que ouviram.
1JN.2.8	2	8	Again, a new commandment I write unto you, which thing is true in him and in you: because the darkness is past, and the true light now shineth.	0.1973	positive	No entanto, eu lhes escrevo um mandamento novo, o qual é verdadeiro nele e em vocês, pois as trevas estão se dissipando e já brilha a verdadeira luz.
1JN.2.9	2	9	He that saith he is in the light, and hateth his brother, is in darkness even until now.	0.4	positive	Quem afirma estar na luz mas odeia seu irmão, continua nas trevas.
1JN.2.10	2	10	He that loveth his brother abideth in the light, and there is none occasion of stumbling in him. {occasion...: Gr. scandal}	0.4	positive	Quem ama seu irmão permanece na luz, e nele não há causa de tropeço.
1JN.2.11	2	11	But he that hateth his brother is in darkness, and walketh in darkness, and knoweth not whither he goeth, because that darkness hath blinded his eyes.	0.0	neutral	Mas quem odeia seu irmão está nas trevas e anda nas trevas; não sabe para onde vai, porque as trevas o cegaram.
1JN.2.12	2	12	I write unto you, little children, because your sins are forgiven you for his name's sake.	-0.1875	negative	Filhinhos, eu lhes escrevo porque os seus pecados foram perdoados, graças ao nome de Jesus.
1JN.2.13	2	13	I write unto you, fathers, because ye have known him {that is} from the beginning. I write unto you, young men, because ye have overcome the wicked one. I write unto you, little children, because ye have known the Father.	-0.0437	neutral	Pais, eu lhes escrevo porque vocês conhecem aquele que é desde o princípio. Jovens, eu lhes escrevo porque venceram o Maligno.
1JN.2.14	2	14	I have written unto you, fathers, because ye have known him {that is} from the beginning. I have written unto you, young men, because ye are strong, and the word of God abideth in you, and ye have overcome the wicked one.	0.2667	positive	Filhinhos, eu lhes escrevi porque vocês conhecem o Pai. Pais, eu lhes escrevi porque vocês conhecem aquele que é desde o princípio. Jovens, eu lhes escrevi, porque vocês são fortes, e em vocês a Palavra de Deus permanece e vocês venceram o Maligno.
1JN.2.15	2	15	Love not the world, neither the things {that are} in the world. If any man love the world, the love of the Father is not in him.	0.5	positive	Não amem o mundo nem o que nele há. Se alguém amar o mundo, o amor do Pai não está nele.
1JN.2.16	2	16	For all that {is} in the world, the lust of the flesh, and the lust of the eyes, and the pride of life, is not of the Father, but is of the world.	0.0	neutral	Pois tudo o que há no mundo — a cobiça da carne, a cobiça dos olhos e a ostentação dos bens — não provém do Pai, mas do mundo.
1JN.2.17	2	17	And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever.	0.0	neutral	O mundo e a sua cobiça passam, mas aquele que faz a vontade de Deus permanece para sempre.
1JN.2.18	2	18	Little children, it is the last time: and as ye have heard that antichrist shall come, even now are there many antichrists; whereby we know that it is the last time.	0.0781	neutral	Filhinhos, esta é a última hora; e, assim como vocês ouviram que o anticristo está vindo, já agora muitos anticristos têm surgido. Por isso sabemos que esta é a última hora.
1JN.2.19	2	19	They went out from us, but they were not of us; for if they had been of us, they would {no doubt} have continued with us: but {they went out}, that they might be made manifest that they were not all of us.	0.0	neutral	Eles saíram do nosso meio, mas na realidade não eram dos nossos, pois, se fossem dos nossos, teriam permanecido conosco; o fato de terem saído mostra que nenhum deles era dos nossos.
1JN.2.20	2	20	But ye have an unction from the Holy One, and ye know all things.	0.0	neutral	Mas vocês têm uma unção que procede do Santo, e todos vocês têm conhecimento.
1JN.2.21	2	21	I have not written unto you because ye know not the truth, but because ye know it, and that no lie is of the truth.	0.0	neutral	Não lhes escrevo porque não conhecem a verdade, mas porque vocês a conhecem e porque nenhuma mentira procede da verdade.
1JN.2.22	2	22	Who is a liar but he that denieth that Jesus is the Christ? He is antichrist, that denieth the Father and the Son.	0.0	neutral	Quem é o mentiroso, senão aquele que nega que Jesus é o Cristo? Este é o anticristo: aquele que nega o Pai e o Filho.
1JN.2.23	2	23	Whosoever denieth the Son, the same hath not the Father: {but) he that acknowledgeth the Son hath the Father also}.	-0.375	negative	Todo o que nega o Filho também não tem o Pai; quem confessa publicamente o Filho tem também o Pai.
1JN.2.24	2	24	Let that therefore abide in you, which ye have heard from the beginning. If that which ye have heard from the beginning shall remain in you, ye also shall continue in the Son, and in the Father.	0.0	neutral	Quanto a vocês, cuidem para que aquilo que ouviram desde o princípio permaneça em vocês. Se o que ouviram desde o princípio permanecer em vocês, vocês também permanecerão no Filho e no Pai.
1JN.2.25	2	25	And this is the promise that he hath promised us, {even} eternal life.	0.0	neutral	E esta é a promessa que ele nos fez: a vida eterna.
1JN.2.26	2	26	These {things} have I written unto you concerning them that seduce you.	0.0	neutral	Escrevo-lhes estas coisas a respeito daqueles que os querem enganar.
1JN.2.27	2	27	But the anointing which ye have received of him abideth in you, and ye need not that any man teach you: but as the same anointing teacheth you of all things, and is truth, and is no lie, and even as it hath taught you, ye shall abide in him. {in him: or, in it}	0.0	neutral	Quanto a vocês, a unção que receberam dele permanece em vocês, e não precisam que alguém os ensine; mas, como a unção dele recebida, que é verdadeira e não falsa, os ensina acerca de todas as coisas, permaneçam nele como ele os ensinou.
1JN.2.28	2	28	And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.	-0.1875	negative	Filhinhos, agora permaneçam nele para que, quando ele se manifestar, tenhamos confiança e não sejamos envergonhados diante dele na sua vinda.
