verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
1CH.1.1	1	1	Adam, Sheth, Enosh,	0.0	neutral	ADAM, Seth, Enos,
1CH.1.2	1	2	Kenan, Mahalaleel, Jered,	0.0	neutral	Cainán, Mahalaleel, Jared,
1CH.1.3	1	3	Henoch, Methuselah, Lamech,	0.0	neutral	Enoch, Mathusalem, Lamech,
1CH.1.4	1	4	Noah, Shem, Ham, and Japheth.	0.0	neutral	Noé, Sem, Châm, y Japhet.
1CH.1.5	1	5	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.	0.0	neutral	Los hijos de Japhet: Gomer, Magog, Dadai, Javán, Tubal, Mesec, y Thiras.
1CH.1.6	1	6	And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah. {Riphath: or, Diphath as it is in some copies}	0.0	neutral	Los hijos de Gomer: Askenaz, Riphath, y Thogorma.
1CH.1.7	1	7	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim. {Dodanim: or, Rodanim, according to some copies}	0.0	neutral	Los hijos de Javán: Elisa, Tharsis, Chîthim, y Dodanim.
1CH.1.8	1	8	The sons of Ham; Cush, and Mizraim, Put, and Canaan.	0.0	neutral	Los hijos de Châm: Chûs, Misraim, Phuth, y Canaán.
1CH.1.9	1	9	And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.	0.0	neutral	Los hijos de Chûs: Seba, Havila, Sabtha, Raema, y Sabtechâ. Y los hijos de Raema: Seba y Dedán.
1CH.1.10	1	10	And Cush begat Nimrod: he began to be mighty upon the earth.	0.4	positive	Chûs engendró á Nimrod: éste comenzó á ser poderoso en la tierra.
1CH.1.11	1	11	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,	0.0	neutral	Misram engendró á Ludim, Ananim, Laabim, Nephtuim,
1CH.1.12	1	12	And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.	0.0	neutral	Phetrusim y Casluim: de éstos salieron los Filisteos, y los Caphtoreos.
1CH.1.13	1	13	And Canaan begat Zidon his firstborn, and Heth,	0.0	neutral	Canaán engendró á Sidón, su primogénito;
1CH.1.14	1	14	The Jebusite also, and the Amorite, and the Girgashite,	0.0	neutral	Y al Hetheo, y al Jebuseo, y al Amorrheo, y al Gergeseo;
1CH.1.15	1	15	And the Hivite, and the Arkite, and the Sinite,	0.0	neutral	Y al Heveo, y al Araceo, y al Sineo;
1CH.1.16	1	16	And the Arvadite, and the Zemarite, and the Hamathite.	0.0	neutral	Al Aradeo, y al Samareo, y al Hamatheo.
1CH.1.17	1	17	The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech. {Meshech: or, Mash}	0.0	neutral	Los hijos de Sem: Elam, Assur, Arphaxad, Lud, Aram, Hus, Hul, Gether, y Mesec.
1CH.1.18	1	18	And Arphaxad begat Shelah, and Shelah begat Eber.	0.0	neutral	Arphaxad engendró á Sela, y Sela engendró á Heber.
1CH.1.19	1	19	And unto Eber were born two sons: the name of the one {was} Peleg; because in his days the earth was divided: and his brother's name {was} Joktan. {Peleg: that is, division}	0.0	neutral	Y á Heber nacieron dos hijos: el nombre del uno fué Peleg, por cuanto en sus días fué dividida la tierra; y el nombre de su hermano fué Joctán.
1CH.1.20	1	20	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,	0.0	neutral	Y Joctán engendró á Elmodad, Seleph, Asarmaveth, y Jera,
1CH.1.21	1	21	Hadoram also, and Uzal, and Diklah,	0.0	neutral	A Adoram también, á Uzal, Dicla,
1CH.1.22	1	22	And Ebal, and Abimael, and Sheba,	0.0	neutral	Hebal, Abimael, Seba,
1CH.1.23	1	23	And Ophir, and Havilah, and Jobab. All these {were} the sons of Joktan.	0.0	neutral	Ophir, Havila, y Jobab: todos hijos de Joctán.
1CH.1.24	1	24	Shem, Arphaxad, Shelah,	0.0	neutral	Sem, Arphaxad, Sela,
1CH.1.25	1	25	Eber, Peleg, Reu,	0.0	neutral	Heber, Peleg, Reu,
1CH.1.26	1	26	Serug, Nahor, Terah,	0.0	neutral	Serug, Nachôr, Thare,
1CH.1.27	1	27	Abram; the same {is} Abraham.	0.0	neutral	Y Abram, el cual es Abraham.
1CH.1.28	1	28	The sons of Abraham; Isaac, and Ishmael.	0.0	neutral	Los hijos de Abraham: Isaac é Ismael.
1CH.1.29	1	29	These {are} their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,	0.0	neutral	Y estas son sus descendencias: el primogénito de Ismael, Nabajoth; después Cedar, Adbeel, Misam,
1CH.1.30	1	30	Mishma, and Dumah, Massa, Hadad, and Tema, {Hadad: also called, Hadar}	0.0	neutral	Misma, Duma, Maasa, Hadad, Thema, Jetur, Naphis, y Cedma. Estos son los hijos de Ismael.
1CH.1.31	1	31	Jetur, Naphish, and Kedemah. These are the sons of Ishmael.	0.0	neutral	Y Cethura, concubina de Abraham, parió á Zimram, Jocsán, Medán, Madián, Isbac, y á Súa.
1CH.1.32	1	32	Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.	0.05	neutral	Los hijos de Jobsán: Seba y Dedán.
1CH.1.33	1	33	And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these {are} the sons of Keturah.	0.0	neutral	Los hijos de Madián: Epha, Epher, Henoch, Abida, y Eldaa; todos estos fueron hijos de Cethura.
1CH.1.34	1	34	And Abraham begat Isaac. The sons of Isaac; Esau and Israel.	0.0	neutral	Y Abraham engendró á Isaac: y los hijos de Isaac fueron Esaú é Israel.
