verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
AMO.1.1	1	1	The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.	0.0	neutral	Palavras que Amós, criador de ovelhas em Tecoa, recebeu em visões, a respeito de Israel dois anos antes do terremoto. Nesse tempo, Uzias era rei de Judá e Jeroboão, filho de Jeoás, era rei de Israel.
AMO.1.2	1	2	And he said, The LORD will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither.	0.25	positive	"Ele disse: ""O SENHOR ruge de Sião e troveja de Jerusalém; secam-se as pastagens dos pastores, e murcha o topo do Carmelo""."
AMO.1.3	1	3	Thus saith the LORD; For three transgressions of Damascus, and for four, I will not turn away {the punishment} thereof; because they have threshed Gilead with threshing instruments of iron: {and...: or, yea, for four} {turn...: or, convert it, or, let it be quiet}	-0.375	negative	"Assim diz o SENHOR: ""Por três transgressões de Damasco e ainda mais por quatro, não anularei o castigo. Porque trilhou Gileade com trilhos de ferro pontudos,"
AMO.1.4	1	4	But I will send a fire into the house of Hazael, which shall devour the palaces of Benhadad.	0.0	neutral	porei fogo na casa de Hazael que consumirá as fortalezas de Ben-Hadade.
AMO.1.5	1	5	I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the LORD. {the plain...: or, Bikathaven} {the house...: or, Betheden}	-0.2143	negative	"Derrubarei a porta de Damasco; destruirei o rei que está no vale de Áven e aquele que segura o cetro em Bete-Éden. O povo da Síria irá para o exílio em Quir"", diz o SENHOR."
AMO.1.6	1	6	Thus saith the LORD; For three transgressions of Gaza, and for four, I will not turn away {the punishment} thereof; because they carried away captive the whole captivity, to deliver {them} up to Edom: {away captive...: or, them away with an entire}	-0.03	neutral	"Assim diz o SENHOR: ""Por três transgressões de Gaza, e ainda mais por quatro, não anularei o castigo. Porque levou cativas comunidades inteiras e as vendeu a Edom,"
AMO.1.7	1	7	But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:	0.0	neutral	porei fogo nos muros de Gaza, que consumirá as suas fortalezas.
AMO.1.8	1	8	And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord GOD.	0.0	neutral	"Destruirei o rei de Asdode e aquele que segura o cetro em Ascalom. Erguerei a minha mão contra Ecrom, até que morra o último dos filisteus"", diz o SENHOR Soberano."
AMO.1.9	1	9	Thus saith the LORD; For three transgressions of Tyrus, and for four, I will not turn away {the punishment} thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant: {the brotherly...: Heb. the covenant of brethren}	-0.275	negative	"Assim diz o SENHOR: ""Por três transgressões de Tiro, e ainda mais por quatro, não anularei o castigo. Porque vendeu comunidades inteiras de cativos a Edom, desprezando irmãos,"
AMO.1.10	1	10	But I will send a fire on the wall of Tyrus, which shall devour the palaces thereof.	0.0	neutral	"porei fogo nos muros de Tiro, que consumirá as suas fortalezas""."
AMO.1.11	1	11	Thus saith the LORD; For three transgressions of Edom, and for four, I will not turn away {the punishment} thereof; because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever: {did cast...: Heb. corrupted his compassions}	-0.4	negative	"Assim diz o SENHOR: ""Por três transgressões de Edom, e ainda mais por quatro, não anularei o castigo. Porque com a espada perseguiu seu irmão, e reprimiu toda a compaixão, mutilando-o furiosamente e perpetuando para sempre a sua ira,"
AMO.1.12	1	12	But I will send a fire upon Teman, which shall devour the palaces of Bozrah.	0.0	neutral	"porei fogo em Temã, que consumirá as fortalezas de Bozra""."
AMO.1.13	1	13	Thus saith the LORD; For three transgressions of the children of Ammon, and for four, I will not turn away {the punishment} thereof; because they have ripped up the women with child of Gilead, that they might enlarge their border: {ripped...: or, divided the mountains}	-0.75	negative	"Assim diz o SENHOR: ""Por três transgressões de Amom, e ainda mais por quatro, não anularei o castigo. Porque rasgou ao meio as grávidas de Gileade a fim de ampliar as suas fronteiras,"
AMO.1.14	1	14	But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind:	0.0	neutral	porei fogo nos muros de Rabá, que consumirá as suas fortalezas em meio a gritos de guerra no dia do combate, em meio a ventos violentos num dia de tempestade.
AMO.1.15	1	15	And their king shall go into captivity, he and his princes together, saith the LORD.	0.0	neutral	"O seu rei irá para o exílio, ele e toda a sua corte"", diz o SENHOR."
